Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,4,0,0,23,26377740,108535504,,1743044,19264388,3717752,1652556,,28264180,24507216,27486724,28277384
1,1,1,0,0,15952104,104601132,,1748040,4866456,3713804,5623804,,28286548,24524232,27484912,24305440
2,1,1,1,0,15845972,104670504,,1716928,4885416,3624268,5619360,,28289272,24505072,27572044,24304116
3,7,3,0,0,23687736,96788764,,5711492,4702996,7639856,5633392,,24271640,24675512,23545412,24296200
4,1,3,1,0,25468648,94475632,,5715428,6465112,7663972,5624136,,24295000,22308564,23542804,24329264
5,3,5,0,0,31694804,88798024,,5715900,8740892,7617420,9620592,,24286256,20650916,23561380,20299472
6,3,6,0,0,33925628,85837832,,7971128,8716848,7617288,9620364,,21310352,20671988,23561692,20293800
7,3,7,0,0,39593804,80791556,,9711628,8727324,11525060,9629792,,20287288,20658644,19555984,20289640
8,4,8,0,0,42256016,78006240,,9710268,11296472,11630280,9618996,,20281284,17876576,19542012,20306368
9,1,8,1,0,43735216,76278720,,9742816,12740036,11629000,9623364,,19792392,16640076,19545708,20300544
10,1,9,1,0,51748320,68723800,,13715988,12752404,11663152,13616776,,16278716,16624832,19514680,16305572
11,1,10,1,0,53874044,66222524,,13708632,12747296,13811364,13606752,,16284860,16628936,16988836,16319892
12,0,11,1,0,56664564,63303572,,13705912,13687840,15670444,13600368,,16289072,15213380,15488964,16312156
13,22,13,0,0,63867432,56563588,,13726808,16757964,15771816,17610844,,16263912,12612292,15377488,12309896
14,1,13,0,0,64111336,55682552,,13922668,16787008,15808776,17592884,,15459092,12540252,15354416,12328792
15,0,14,0,0,68261936,51762720,,17726560,16797912,16135604,17601860,,12242780,12569708,14640984,12309248
16,1,15,0,0,73244116,46736168,,17719800,18049368,19855460,17619488,,12251252,10871128,11307812,12305976
17,118,16,0,0,76540024,43853252,,17723692,21122828,20086428,17607076,,12267776,8252028,11056080,12277368
18,1,16,0,0,76206424,44208156,,17732420,20906524,19975952,17591528,,12262428,8487504,11159284,12298940
19,1,16,0,0,80241084,40105652,,17708888,20883484,20040488,21608224,,12280304,8457396,11077828,8290124
20,13,19,0,0,88255248,31051656,,21381508,21090500,24169304,21613936,,8290184,7535256,6938172,8288044
21,7,20,1,0,96555512,23696152,,21689736,25022372,24229040,25614364,,8289444,4252884,6852772,4301052
22,8,21,1,0,96869896,22946104,,21718464,25170668,24388516,25592248,,7841324,4136228,6693904,4274648
23,20,23,0,0,103862244,16050280,,25699832,25167820,27387656,25606936,,4252304,4127124,3385548,4285304
24,2,23,0,0,105726592,14174496,,25701364,25967024,28465468,25592736,,4252560,2958396,2682260,4281280
25,6,24,0,0,109097732,11530928,,25698428,29330472,28477224,25591608,,4243280,352296,2630088,4305264
26,36,24,0,0,109429548,11480992,,25718256,29599920,28507148,25604224,,4263056,330408,2610036,4277492
27,7,24,0,0,109445144,11441980,,25702936,29583748,28558412,25600048,,4254856,339784,2579832,4267508
28,2,24,0,0,109639520,11441136,,25706384,29743564,28575564,25614008,,4250932,387664,2539972,4262568
29,23,24,0,0,109868516,11220908,,25715708,29796900,28752352,25603556,,4243436,392440,2319808,4265224
30,4,24,0,0,109911068,11187224,,25712800,29780028,28795896,25622344,,4247696,366840,2313356,4259332
31,63,24,0,0,109955628,11138044,,25702560,29783140,28859908,25610020,,4266636,330072,2269700,4271636
32,19,24,0,0,109971652,11098068,,25709960,29765240,28893996,25602456,,4239840,371988,2198420,4287820
33,37,24,0,0,109928520,11122772,,25717284,29819344,28784260,25607632,,4213212,332992,2297984,4278584
34,63,24,0,0,109857856,11288828,,25707936,29702124,28837344,25610452,,4261572,521272,2227784,4278200
35,4,24,0,0,109881716,11271472,,25725128,29714600,28834288,25607700,,4248584,534412,2218880,4269596
36,1,24,0,0,109787616,11375176,,25711388,29625928,28843292,25607008,,4256820,625324,2219796,4273236
37,4,24,2,0,114078312,6637528,,25745712,29790756,28882588,29659256,,4229868,408204,1736184,263272
38,119,0,0,0,112186520,7467620,,29743168,28078632,24706588,29658132,,391232,3180728,3618676,276984
39,37,0,0,0,112492752,7495800,,29732740,28317236,24807104,29635672,,392152,3308928,3511320,283400
40,209,0,0,0,112731548,7698280,,29751948,28311568,24991400,29676632,,387684,3364216,3542408,403972
