Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,0,0,0,2,17533496,84353240,,1443828,7304180,1449436,7336052,,24414444,18075088,23986712,17876996
1,3,1,0,2,17857716,84021228,,1759980,7307728,1449012,7340996,,24096076,18064956,23994708,17865488
2,3,2,0,2,19104056,82828584,,2574116,7306528,1865860,7357552,,23307728,18083112,23581964,17855780
3,2,3,0,2,20754184,81137544,,3194908,7723968,2476396,7358912,,22675544,17630244,22966536,17865220
4,5,4,0,2,23602936,78318296,,3902252,8637716,3195308,7867660,,21962616,16743820,22262244,17349616
5,3,5,0,0,17973576,83968968,,4416968,5258736,3811076,4486796,,21448996,20125016,21639056,20755900
6,3,6,0,0,21383548,80498092,,5746504,5780316,4836384,5020344,,20102624,19596656,20605220,20193592
7,2,7,0,0,24691336,77183284,,6464260,6203200,5758612,6265264,,19392632,19173768,19666312,18950572
8,1,8,0,0,27845804,74043316,,7075264,7013564,6578052,7178924,,18785468,18359836,18855128,18042884
9,2,9,0,0,31329168,70539408,,7906332,7923924,7296236,8202676,,17945828,17461328,18124672,17007580
10,2,10,0,0,35007760,66852720,,8818948,8844116,8424508,8920188,,17041716,16529236,17002844,16278924
11,3,11,0,0,38905384,62932724,,9844264,9457036,9143304,10460780,,16012580,15902960,16286976,14730208
12,1,12,0,0,42411672,59423584,,10561496,10388828,9873544,11587804,,15287652,14978820,15550880,13606232
13,3,13,0,0,46386596,55440716,,11381676,11405008,11092260,12507652,,14474188,13956452,14330184,12679892
14,3,14,0,0,51133644,50672160,,12517576,12429176,12421868,13765024,,13329796,12912976,12992832,11436556
15,5,15,0,0,56215536,45592032,,13735968,14274088,13960348,14245132,,12099580,11090644,11451444,10950364
16,2,16,0,0,59685152,42113580,,14351396,15298688,14678440,15356628,,11493240,10048620,10741908,9829812
17,2,17,0,0,62771004,38996188,,15182212,16015728,15395472,16177592,,10634736,9335488,10017944,9008020
18,2,18,0,0,65331580,36446292,,15886108,16424576,16125228,16895668,,9954696,8935896,9272232,8283468
19,5,19,0,0,68092152,33671364,,16302140,17060500,17007044,17722468,,9527916,8279528,8383868,7480052
20,2,20,0,0,70137896,31615092,,16605356,17556408,17446084,18530048,,9224948,7772440,7959664,6658040
21,3,21,0,0,72831792,28895832,,17027104,18068612,18163152,19572924,,8803732,7255412,7235632,5601056
22,3,22,0,0,76322572,25424728,,18143900,18784112,18986672,20407888,,7696564,6561588,6410572,4756004
23,3,23,0,0,79500232,22227064,,19077540,19705836,19910768,20806088,,6753304,5632204,5479640,4361916
24,2,24,0,0,83582304,18130868,,19885808,20934312,20832700,21929484,,5931992,4392304,4558448,3248124
25,3,25,0,0,86912608,14773008,,20654960,21753776,21551384,22952488,,5165884,3575880,3829784,2201460
26,4,26,0,0,89560428,12107648,,21322804,22468164,22405668,23363792,,4493184,2857140,2971580,1785744
27,2,27,0,0,92208972,9439760,,22038840,23202236,22986244,23981652,,3779096,2111572,2388696,1160396
28,9,28,0,0,98967792,3254132,,23674856,24825920,25034720,25432296,,2146088,480928,331388,295728
29,1,29,0,0,100986764,2351736,,24302472,25365504,25298952,26019836,,1503388,276644,340744,230960
30,2,30,0,0,103975900,1311768,,25594800,26007160,25996120,26377820,,319956,349968,294108,347736
31,5,31,0,0,107977980,1119804,,26680800,27172228,27082380,27042572,,289984,266664,294696,268460
32,4,32,0,0,112058980,1084708,,27849804,28328028,28022684,27858464,,238648,248996,283192,313872
33,2,33,0,0,115307448,1248592,,28663968,29151780,28991816,28499884,,331492,235500,323512,358088
34,4,34,0,0,120855796,1246420,,30440980,30261488,30547772,29605556,,343496,317772,297772,287380
35,1,35,0,0,123194660,1423660,,31063268,30735956,30917788,30477648,,346400,376524,337720,363016
36,2,36,0,0,122911256,1242736,,31453460,29386168,31290424,30781204,,307228,345672,283904,305932
37,4,36,0,0,117435944,9745804,,25676992,31130372,28972196,31656384,,6338736,262664,2860008,284396
38,1,38,0,0,113828492,11553264,,27674076,28842768,30294188,27017460,,4329996,2402772,1529524,3290972
39,2,39,0,0,119387808,3582024,,30025848,29815512,30262544,29283904,,1971440,295912,290872,1023800
40,4,39,0,0,109615288,13854408,,27597348,27584028,27653084,26780828,,4121728,2249712,3995356,3487612
41,9,40,0,0,119365620,4502820,,31445484,27349812,31220860,29349464,,237444,2769040,418044,1078292
42,6,40,0,0,110566856,7813960,,31044632,24859720,24786384,29876120,,715316,3886352,2928320,283972
43,2,43,0,0,112293724,6801948,,28352520,27231068,26647788,30062348,,2658796,2822484,1061348,259320
44,2,44,0,0,111313420,4841648,,30540788,29471536,27331044,23970052,,454196,597212,247848,3542392
45,3,45,0,0,108433452,5491808,,28690640,26822796,27027092,25892924,,1555260,2088932,242256,1605360
46,3,45,0,0,97940396,10394900,,26606652,23873956,21670288,25789500,,3051064,3829988,1954468,1559380
47,9,44,0,0,97120676,9263120,,27584704,23902328,21169520,24464124,,2122932,1550000,2766260,2823928
48,4,46,0,0,99891200,8232016,,25948028,23354460,23523940,27064772,,3069180,1949692,2949240,263904
49,2,49,0,0,99261624,12753464,,24903540,23639232,25286392,25432460,,3697204,3836816,2364676,2854768
50,3,48,0,0,104971332,5002688,,25155676,26940876,25360492,27514288,,3425328,509708,279088,788564
51,0,48,0,0,105052320,5904460,,28278392,26334404,23831304,26608220,,311008,2507120,2784456,301876
52,0,47,0,0,105703436,7622788,,26894536,28414996,25507632,24886272,,1821520,431872,1092900,4276496
53,2,44,0,0,100791468,11672060,,25905172,26522212,22140772,26223312,,2856100,1947396,3931496,2937068
54,1,45,0,0,106448124,8007720,,27962852,26978348,24011644,27495280,,243000,4059788,2055500,1649432
55,0,44,0,0,109600324,5532368,,26937476,28197108,25772264,28693476,,1969700,2841960,265392,455316
56,1,45,0,0,101315860,12301976,,24350540,29475140,22656312,24833868,,4001320,1559392,2587304,4153960
57,0,46,0,0,108385608,5235904,,26412680,30735404,24604740,26632784,,1931556,289432,634920,2379996
58,0,45,0,0,104698476,7767316,,28020320,27220064,21432144,28025948,,320476,3033104,3443364,970372
59,0,47,0,0,101966352,9052084,,25195424,29962132,22833780,23975016,,3029492,281048,2035888,3705656
60,0,45,0,0,102972136,5941028,,26883296,25865604,24593836,25629400,,1333988,2262032,284720,2060288
61,0,46,0,0,101700196,7761572,,25101576,27841420,21578600,27178600,,3721576,310608,3215712,513676
62,0,44,0,0,97001800,9144796,,26791496,21804284,23445812,24960208,,2044356,2810664,1343520,2946256
63,0,45,0,0,99764832,8557564,,27113172,23588528,22929632,26133500,,1773036,1025156,3984636,1774736
64,1,44,0,0,104461476,6384520,,26403284,24713508,24712680,28632004,,2490752,1411452,2225116,257200
65,0,44,0,0,99134408,9891784,,24492512,23746324,26447172,24448400,,4027680,2388844,269624,3205636
66,0,44,0,0,100944184,6862160,,26156572,24500908,23682448,26604256,,2380872,261932,3159364,1059992
67,3,45,0,0,101818736,5397776,,25192852,22409356,26442672,27773856,,3342580,1505640,262836,286720
68,0,46,0,0,99117428,10595108,,27441612,24045716,20085076,27545024,,1099056,3742516,3031796,2721740
69,0,44,0,0,102689496,7390884,,25427432,26691112,22641556,27929396,,3406080,1101572,555872,2327360
70,0,45,0,0,97284744,11109252,,26421256,22712904,19793196,28357388,,2412844,3325748,3480108,1890552
71,1,43,0,0,103374188,5014060,,27889960,24948944,21815252,28720032,,944248,1068496,1465124,1536192
72,0,44,0,0,96148832,12948916,,24556400,23096876,19531916,28963640,,4038736,3796780,3832788,1280612
73,0,44,0,0,102735224,6382724,,26733836,25013160,21299656,29688572,,1871544,1888236,2073936,549008
74,0,46,0,0,100121244,9130592,,23899956,23350820,22968424,29902044,,4116928,4149192,494552,369920
75,0,44,0,0,99463792,10151464,,24966992,24443132,21514284,28539384,,3035424,3058388,3803380,254272
76,0,43,0,0,106034188,4887988,,27120388,26290296,22778104,29845400,,884712,1210256,2528628,264392
