Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,0,0,0,1,12763248,108433632,,2197492,2270508,4148456,4146792,,28701108,27606176,25771432,26354916
1,8,1,0,0,12930736,108261936,,2365732,2272008,4141952,4151044,,28538240,27613124,25769880,26340692
2,7,2,0,0,13631700,107555488,,2466956,2886296,4145708,4132740,,28445968,26963060,25779136,26367324
3,9,3,0,0,14438880,106667388,,2575432,2988592,4144500,4730356,,28324424,26853960,25764280,25724724
4,9,4,0,0,15396824,105690288,,2684424,3093256,4762156,4856988,,28220224,26751380,25108808,25609876
5,8,5,0,0,16650612,104431732,,3445520,3302080,4863940,5039072,,27439116,26540536,25018808,25433272
6,8,6,0,0,17738600,103302956,,3653200,3965068,4969132,5151200,,27224940,25866764,24914568,25296684
7,8,7,0,0,18926320,102098352,,3867060,4172620,5091992,5794648,,27020636,25647504,24786456,24643756
8,8,8,0,0,20219560,100783648,,4077064,4381688,5762964,5997844,,26800904,25431856,24105240,24445648
9,12,9,0,0,22131980,98865060,,5042976,4694288,6076644,6318072,,25826576,25128544,23789392,24120548
10,8,10,0,0,23615660,97334128,,5354276,5457984,6278276,6525124,,25502108,24349328,23584400,23898292
11,10,11,0,0,25512576,95403472,,5664220,5866624,6593548,7388184,,25175908,23940128,23254380,23033056
12,8,12,0,0,27212584,93647628,,5976512,6179508,7361952,7694612,,24866408,23613428,22458648,22709144
13,7,13,0,0,29043384,91840332,,6861908,6485772,7666788,8028916,,23981920,23307080,22162108,22389224
14,7,14,0,0,30867200,89998396,,7272068,7354728,7905560,8334844,,23565348,22423832,21932400,22076816
15,7,15,0,0,32866468,87958792,,7683944,7771248,8204836,9206440,,23145968,22013380,21619972,21179472
16,8,16,0,0,35065308,85742704,,8094476,8186324,9161056,9623452,,22729812,21596992,20641744,20774156
17,9,17,0,0,37404836,83336668,,9073204,8614200,9673992,10043440,,21736004,21149088,20123216,20328360
18,8,18,0,0,39745924,80983048,,9583848,9575436,10123332,10463308,,21217972,20184512,19675196,19905368
19,12,19,0,0,42989064,77714352,,10208548,10404848,10637396,11738272,,20594660,19349780,19156224,18613688
20,8,20,0,0,45619920,75025228,,10738168,10925604,11697552,12258596,,20063604,18809724,18056884,18095016
21,7,21,0,0,48217532,72382608,,11878744,11435708,12121924,12781156,,18894156,18294844,17628872,17564736
22,10,22,0,0,51459228,69149716,,12723776,12601936,12728016,13405500,,18048020,17125112,17037208,16939376
23,8,23,0,0,54517960,66036904,,13444092,13209328,13291868,14572672,,17326628,16499064,16462696,15748516
24,9,24,0,0,57516636,62994984,,14064244,13832560,14421564,15198268,,16698360,15868152,15302308,15126164
25,9,25,0,0,60588552,59887696,,15238480,14469596,15045428,15835048,,15502740,15221576,14698472,14464908
26,7,26,0,0,63734856,56728784,,15972448,15640560,15673728,16448120,,14773612,14049152,14045904,13860116
27,7,26,0,0,66635556,53801316,,16679092,16352820,16289644,17314000,,14067448,13329732,13438504,12965632
28,8,27,0,0,69900760,50501464,,17407288,17081844,17478452,17933176,,13321812,12599196,12232508,12347948
29,8,29,0,0,73435584,46916700,,18763092,17805092,18090936,18776464,,11948960,11859528,11606664,11501548
30,8,30,0,0,76272192,44087212,,18759412,19196620,18809276,19506884,,11952248,10465924,10897704,10771336
31,7,31,0,0,78350120,41959632,,18760024,19259556,20104300,20226240,,11946256,10402268,9558792,10052316
32,8,32,0,0,80016048,40275016,,18727752,19262036,20822584,21203676,,12008304,10396188,8832852,9037672
33,14,31,0,0,77844492,42402656,,17732404,17653864,21223020,21235204,,12963260,11991220,8431500,9016676
34,8,34,0,0,78776652,41430988,,18366948,18772640,21216312,20420752,,12316536,10826180,8451080,9837192
35,53,29,0,0,77332252,42801384,,16998228,18995724,21370112,19968188,,13673252,10606796,8279236,10242100
36,54,35,0,0,79763456,40303220,,18876724,19392320,20094416,21399996,,11787200,10212576,9512632,8790812
37,88,36,0,0,77173548,42844168,,16362784,18636692,21410744,20763328,,14277752,10948024,8180644,9437748
38,8,37,0,0,78582312,41431004,,16643156,19397964,21391028,21150164,,14009280,10180512,8210784,9030428
39,42,36,0,0,80156076,39780256,,17579876,19480712,21496172,21599316,,13056936,10075092,8079224,8569004
40,89,36,0,0,76170744,43784068,,18984744,18764336,16786944,21634720,,11656464,10806188,12789220,8532196
41,87,37,0,0,78275036,41575184,,17482636,18904072,20280804,21607524,,13134504,10657664,9250080,8532936
42,12,40,0,0,79916696,39945184,,17876692,19575016,20875792,21589196,,12744372,9970604,8667264,8562944
43,0,40,0,0,80189832,39655476,,17900132,19577800,21098196,21613704,,12728048,9966896,8434508,8526024
44,1,40,0,0,80280508,39573660,,17986148,19584052,21095804,21614504,,12646324,9955112,8431624,8540600
45,0,40,0,0,80476108,39370220,,18086604,19565768,21205280,21618456,,12537448,9976712,8323168,8532892
46,0,40,0,0,80929828,38904316,,18088004,19565516,21650704,21625604,,12527592,9975732,7888340,8512652
47,0,40,0,0,81105256,38712508,,18191472,19558240,21718576,21636968,,12416372,9982256,7811520,8502360
48,1,40,0,0,80157860,39686420,,18301068,19560548,21716936,20579308,,12308024,9989172,7808556,9580668
49,0,40,0,0,80817752,38996428,,18301148,19560724,21748600,21207280,,12318784,9993176,7770484,8913984
50,0,41,0,0,81024828,38779096,,18404940,19558816,21747588,21313484,,12203108,10007000,7769232,8799756
