Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,2,27,0,32,46385124,49738472,,18454436,8648684,11972224,7309780,,11196632,11458684,7643840,19439316
1,1,0,1,28,22331604,89721008,,3573044,3986532,7193040,7578988,,26257368,24741116,19545840,19176684
2,10,2,0,23,22908188,89105704,,3578768,3694944,7761236,7873240,,26246136,25049284,18953796,18856488
3,9,3,0,23,23656904,88327496,,4126080,3683108,7855284,7992432,,25701980,25033448,18855140,18736928
4,9,4,0,19,24553416,87447408,,4231316,4230380,7977600,8114120,,25575932,24500480,18748920,18622076
5,12,5,0,19,25305728,86703516,,4330348,4333936,7895228,8746216,,25483968,24402312,18814076,18003160
6,8,6,0,19,26392416,85593184,,4434564,4431816,8572212,8953824,,25376796,24304224,18135184,17776980
7,9,7,0,19,27627820,84347328,,5097660,4538280,8794652,9197228,,24709424,24189912,17916532,17531460
8,8,8,0,19,28853140,83067236,,5302408,5202092,9008444,9340196,,24499300,23502664,17696384,17368888
9,10,9,0,19,30311348,81600160,,5517136,5406228,9208772,10179212,,24263028,23320080,17491800,16525252
10,8,10,0,19,31835600,80101920,,5731120,5613056,9999912,10491512,,24066844,23123812,16695584,16215680
11,7,11,0,19,33260296,78666624,,6421532,5819504,10217376,10801884,,23355692,22918764,16472632,15919536
12,10,12,0,19,35135740,76746744,,6787428,6585388,10627980,11134944,,22973544,22133776,16070688,15568736
13,10,13,0,19,36921496,74921936,,7102204,6895680,11499232,11424380,,22676336,21801800,15163060,15280740
14,8,14,0,19,38825264,72997404,,7411952,7204016,11911200,12298096,,22367500,21488624,14755980,14385300
15,9,15,0,19,40883748,70923976,,8283204,7522920,12360780,12716844,,21476000,21186816,14298584,13962576
16,10,16,0,19,43191972,68606100,,8790728,8449684,12794472,13157088,,20959020,20248892,13872024,13526164
17,8,17,0,19,45392152,66405204,,9208344,8871452,13748532,13563824,,20564640,19824544,12894028,13121992
18,8,18,0,19,47539856,64205972,,9521936,9247240,14260456,14510224,,20223952,19440436,12380716,12160868
19,8,19,0,19,49953012,61827692,,10493452,9634112,14797388,15028060,,19262272,19054280,11864080,11647060
20,7,20,0,19,52109016,59632520,,10898300,10600624,15224064,15386028,,18857172,18078164,11406160,11291024
21,10,21,0,19,55272176,56428232,,11582544,11221572,15838624,16629436,,18146328,17460888,10801028,10019988
22,8,22,0,19,57989380,53690188,,12125556,11733388,16901712,17228724,,17626680,16934408,9713416,9415684
23,8,23,0,19,60647572,51004952,,13145844,12150396,17517992,17833340,,16601424,16516284,9086520,8800724
24,1,23,0,19,60827020,50822828,,13207932,12253556,17523500,17842032,,16525020,16403600,9102664,8791544
25,0,23,0,19,61020736,50621144,,13317360,12260368,17523916,17919092,,16410876,16393296,9093244,8723728
26,0,23,0,19,61287856,50358096,,13422048,12367232,17530604,17967972,,16303148,16286648,9087888,8680412
27,0,23,0,19,62379168,49261568,,13528376,12564448,17932408,18353936,,16197732,16096016,8679544,8288276
28,0,23,0,19,63181056,48487832,,13836672,12769972,18142532,18431880,,15895236,15901224,8477524,8213848
29,0,23,0,19,63355012,48284520,,13939092,12774244,18145224,18496452,,15783912,15888272,8473244,8139092
30,0,23,0,19,63432300,48207936,,13941324,12778784,18152788,18559404,,15780916,15890728,8461324,8074968
31,1,23,0,19,64128032,47515388,,14142784,12881004,18356124,18748120,,15575108,15786932,8264744,7888604
32,0,23,0,19,65096108,46558048,,14345748,13181204,18568176,19000980,,15376408,15493556,8058268,7629816
33,0,23,0,19,65534272,46120300,,14474268,13282268,18766164,19011572,,15248180,15390224,7857680,7624216
