Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,1,22,0,118,84298664,26761876,,19953940,20666144,23815696,19862884,,9682580,7841428,2614460,6623408
1,2,0,0,39,32220664,79522888,,12592828,3867684,7655972,8104180,,17176084,24833544,18968244,18545016
2,14,2,0,25,23559548,88152576,,3735228,3867284,7906600,8050436,,26058792,24816240,18693816,18583728
3,8,3,0,25,24382912,87341288,,4293848,3866660,8017300,8205104,,25515412,24817180,18581008,18427688
4,8,4,0,19,25233304,86453584,,4399024,4427796,8117708,8288776,,25386168,24242700,18485552,18339164
5,14,5,0,19,26289984,85417352,,4483624,4523788,8222176,9060396,,25309816,24142588,18381776,17583172
6,10,6,0,19,27338100,84364432,,4598588,4633748,8930820,9174944,,25186804,24040792,17666820,17470016
7,8,7,0,19,28526492,83157832,,5252176,4739384,9145752,9389180,,24539236,23950240,17444844,17223512
8,7,8,0,19,29799084,81878396,,5465228,5403056,9351280,9579520,,24332588,23268632,17232768,17044408
9,13,9,0,19,31311700,80370472,,5676008,5693988,9573332,10368372,,24118536,22981200,17020632,16250104
10,7,10,0,19,32756632,78868064,,5896220,5870500,10353088,10636824,,23892304,22796572,16217872,15961316
11,8,11,0,19,34251908,77362636,,6641560,6029924,10661712,10918712,,23144220,22627996,15897872,15692548
12,11,12,0,19,36087016,75486600,,6973280,6914316,10975404,11224016,,22805464,21734396,15587016,15359724
13,11,13,0,19,38152260,73409292,,7383716,7305132,11867328,11596084,,22387628,21349156,14671320,15001188
14,7,14,0,19,39918800,71629332,,7694572,7519660,12275300,12429268,,22073748,21126460,14277256,14151868
15,14,15,0,19,42548880,68958740,,8769196,7935856,12809092,13034736,,20975484,20701448,13723532,13558276
16,8,16,0,19,44522060,67007764,,9089416,8811512,13161800,13459332,,20661596,19827264,13396048,13122856
17,9,17,0,19,46759496,64732908,,9484188,9230740,13642672,14401896,,20259832,19390964,12909884,12172228
18,8,18,0,19,49002020,62479192,,9899156,9614408,14558404,14930052,,19853916,19009448,11978884,11636944
19,8,19,0,19,51369700,60108900,,10859608,10034548,15029952,15445592,,18900720,18589984,11511784,11106412
20,8,20,0,19,53670568,57792512,,11177672,10993076,15540980,15958840,,18584240,17629932,10991420,10586920
21,8,21,0,19,55891656,55543272,,11585768,11367744,15992276,16945868,,18161116,17252916,10532020,9597220
22,8,22,0,19,58259980,53171024,,12114376,11739808,17033312,17372484,,17633672,16884160,9471524,9181668
23,7,23,0,19,61069060,50345828,,13187016,12266228,17653316,17962500,,16544512,16346076,8874324,8580916
24,0,23,0,19,61475848,49916448,,13192272,12371168,17750256,18162152,,16529280,16234460,8768740,8383968
25,1,23,0,19,62127828,49246340,,13495476,12517792,17851888,18262672,,16229664,16084548,8659832,8272296
26,0,23,0,19,62367680,49016588,,13566596,12576224,17956220,18268640,,16153212,16027888,8572136,8263352
27,0,23,0,19,62975048,48415556,,13682312,12690560,18139984,18462192,,16035272,15925780,8387264,8067240
28,0,23,0,19,63503996,47885084,,13784788,12793624,18263200,18662384,,15939072,15814460,8238128,7893424
29,0,23,0,19,64040012,47355604,,13888056,12896872,18467568,18787516,,15834520,15714684,8035152,7771248
30,0,23,0,19,64563416,46823040,,14081136,13099992,18495804,18886484,,15647136,15510792,8010504,7654608
31,1,23,0,19,64891440,46501240,,14196536,13170880,18622244,18901780,,15526688,15442280,7883872,7648400
32,0,23,0,19,65446544,45928428,,14404132,13194936,18701132,19146344,,15313648,15415188,7803320,7396272
33,0,23,0,19,65910380,45443108,,14399476,13302528,18902408,19305968,,15320292,15301628,7603192,7217996
34,0,23,0,19,66444652,44912572,,14505684,13423936,19107680,19407352,,15213344,15186180,7396860,7116188
35,0,23,0,19,67128992,44241384,,14814652,13586660,19216164,19511516,,14894464,15036012,7295080,7015828
36,1,23,0,19,67430292,43903744,,14909432,13693656,19312268,19514936,,14794228,14918668,7187072,7003776
37,0,23,0,19,67893636,43455852,,15026228,13685716,19364416,19817276,,14692264,14925744,7131440,6706404
38,0,23,0,19,68369344,42979608,,15128144,13799428,19522256,19919516,,14588312,14803196,6977776,6610324
39,0,23,0,19,69032004,42330016,,15247676,14005672,19721824,20056832,,14461576,14599368,6778024,6491048
40,0,23,0,19,69488212,41839676,,15430456,14092936,19825956,20138864,,14284280,14522536,6651228,6381632
41,0,23,0,19,69808272,41525320,,15537856,14213320,19922716,20134380,,14187792,14398920,6561252,6377356
42,1,23,0,19,70308808,41063192,,15627724,14202316,20042556,20436212,,14097008,14420832,6444872,6100480
43,1,23,0,19,70860588,40508112,,15744832,14317016,20254604,20544136,,13979740,14299388,6239748,5989236
44,0,23,0,19,71498864,39855212,,15896160,14525056,20332824,20744824,,13820600,14092272,6155780,5786560
45,0,23,0,19,72012572,39335824,,16136572,14619824,20502656,20753520,,13584460,13988560,5984732,5778072
46,0,23,0,19,72218932,39130084,,16182428,14740820,20536396,20759288,,13544340,13860348,5951076,5774320
47,0,23,0,19,72815164,38529968,,16261452,14743204,20755020,21055488,,13462788,13851744,5743140,5472296
48,1,23,0,19,73321692,38022028,,16355920,14854452,20961396,21149924,,13368436,13747980,5532524,5373088
49,0,23,0,19,74223484,37089176,,16665984,15135924,21066460,21355116,,13050276,13466744,5408208,5163948
50,0,23,0,19,74450100,36863572,,16756116,15164680,21169436,21359868,,12964184,13432320,5303152,5163916
51,0,23,0,19,74690480,36688784,,16880844,15254284,21190388,21364964,,12846716,13347964,5325244,5168860
52,0,23,0,19,75366648,35971648,,16983484,15316256,21398032,21668876,,12734576,13273844,5098240,4864988
53,1,23,0,19,75892084,35433044,,17080188,15461096,21581180,21769620,,12630772,13127444,4922084,4752744
54,0,23,0,19,76694832,34619340,,17376408,15661132,21684528,21972764,,12345164,12926908,4809188,4538080
55,0,23,0,19,76917920,34381928,,17380808,15765620,21791472,21980020,,12337132,12814164,4702172,4528460
56,0,23,0,19,77139856,34176452,,17475600,15771524,21894712,21998020,,12237252,12820092,4598472,4520636
57,0,23,0,19,77723800,33606172,,17585960,15747516,22100948,22289376,,12120160,12850372,4398244,4237396
58,0,23,0,19,78377908,32941248,,17897104,15946744,22244180,22289880,,11820448,12648548,4244672,4227580
59,1,23,0,19,79158964,32170768,,17990116,16162432,22410052,22596364,,11733980,12429436,4083644,3923708
60,0,23,0,19,79288728,32004576,,18010056,16269392,22413500,22595780,,11709640,12315972,4061776,3917188
61,0,23,0,19,79579044,31732896,,18165800,16260932,22509272,22643040,,11553400,12335184,3970992,3873320
62,0,23,0,19,80462824,30864008,,18294612,16456832,22814684,22896696,,11430780,12138588,3670328,3624312
63,0,23,0,19,80877768,30400188,,18497564,16557084,22920144,22902976,,11218264,12035560,3548616,3597748
64,1,23,0,19,81562732,29704788,,18600144,16768516,23022688,23171384,,11107572,11823944,3444576,3328696
65,1,23,0,19,81830332,29451908,,18699788,16785052,23125580,23219912,,11003496,11807780,3363048,3277584
66,0,23,0,19,81993400,29288056,,18805352,16775212,23128420,23284416,,10898540,11830356,3343556,3215604
67,0,23,0,19,82910064,28382808,,18906984,16986888,23496084,23520108,,10794096,11620764,2974016,2993932
68,0,23,0,19,83585980,27714492,,19222452,17189108,23643276,23531144,,10477548,11419192,2839688,2978064
69,0,23,0,19,83863480,27425880,,19227864,17279752,23674272,23681592,,10475280,11313140,2809852,2827608
70,1,23,0,19,84278132,27010432,,19384156,17300928,23751844,23841204,,10316084,11293584,2735728,2665036
71,0,23,0,19,84475904,26805020,,19432512,17302688,23809920,23930784,,10266720,11290336,2672092,2575872
72,0,23,0,19,85492148,25784160,,19735352,17495572,24116828,24144396,,9963604,11099532,2361768,2359256
73,0,23,0,19,85940612,25330296,,19738508,17788808,24262164,24151132,,9966532,10804472,2210032,2349260
74,0,23,0,19,86127484,25157856,,19842228,17812804,24294020,24178432,,9865256,10781792,2188732,2322076
75,1,23,0,19,86335448,24936372,,20044656,17818524,24294644,24177624,,9663908,10781004,2174324,2317136
76,0,23,0,19,86488968,24754112,,20147020,17881096,24281504,24179348,,9541220,10719820,2182096,2310976
77,0,23,0,19,86944956,24310288,,20353592,18124956,24284140,24182268,,9335736,10470780,2194376,2309396
78,0,23,0,19,87256140,24003732,,20457244,18339756,24284980,24174160,,9234696,10256696,2198788,2313552
79,1,23,0,19,87292648,23978908,,20480788,18348068,24290296,24173496,,9212900,10240524,2191508,2333976
80,0,23,0,19,87289788,23983348,,20474832,18352660,24287840,24174456,,9211680,10241844,2189408,2340416
81,0,23,0,19,87496920,23759900,,20475740,18556836,24287868,24176476,,9204336,10038748,2199420,2317396
82,0,23,0,19,87704452,23550540,,20478764,18757924,24288348,24179416,,9206492,9837508,2197208,2309332
83,1,23,0,19,87804816,23450244,,20480432,18862444,24287076,24174864,,9212944,9731416,2185908,2319976
84,0,23,0,19,87758824,23473440,,20480564,18823572,24279508,24175180,,9210676,9756384,2187524,2318856
85,0,23,0,19,87857076,23412196,,20480076,18921372,24279916,24175712,,9207680,9675220,2201784,2327512
86,0,23,0,19,87972912,23289224,,20480680,19036672,24280272,24175288,,9206992,9557460,2196464,2328308
87,1,23,0,19,88180100,23081896,,20480096,19242028,24282324,24175652,,9206992,9344168,2213804,2316932
88,0,23,0,19,86536196,24727296,,20480684,19333624,24279680,22442208,,9206752,9253168,2196052,4071324
89,0,21,0,19,84579832,26698112,,20480664,19344792,21941256,22813120,,9206276,9243396,4555928,3692512
90,0,21,0,19,85092088,26173964,,20481036,19548880,22130860,22931312,,9217056,9042080,4341432,3573396
91,1,21,0,19,85378300,25819800,,20481300,19737340,22147548,23012112,,9203060,8838768,4308056,3469916
92,0,21,0,19,85492556,25747928,,20487800,19750528,22146100,23108128,,9202836,8824304,4334172,3386616
93,0,21,0,19,84552696,26677388,,19424236,19861600,22149380,23117480,,10273684,8714860,4324820,3364024
94,0,21,0,19,84980020,26242200,,19652572,19884160,22323712,23119576,,10038436,8686996,4136520,3380248
95,1,22,0,19,85365024,25837192,,19693936,20125236,22425212,23120640,,9978148,8451820,4044732,3362492
96,1,23,0,19,85772624,25442012,,19856164,20273888,22422696,23219876,,9835640,8297620,4043464,3265288
97,0,23,0,19,85878540,25355512,,19857816,20380512,22423264,23216948,,9836804,8194752,4046732,3277224
98,0,23,0,19,86152200,25081580,,20061112,20383652,22503068,23204368,,9639236,8188984,3968680,3284680
99,0,23,0,19,86266804,24937656,,20062356,20473212,22526624,23204612,,9626540,8103760,3928872,3278484
