Iteration,Elapsed,Running,Creating,Terminating,Total Active Memory,Total Free Memory, Active,0,1,2,3,Free,0,1,2,3
0,0,0,0,1,23146372,90026652,,3963172,4163728,7397316,7622156,,25813528,24483200,19994236,19735688
1,2,1,0,1,23180956,89977164,,3989028,4172276,7398260,7621392,,25775456,24459576,19993824,19748308
2,3,2,0,1,23174376,89986040,,3979956,4181544,7387940,7624936,,25780852,24463572,20007800,19733816
3,2,3,0,1,23207544,89959952,,3979624,4191856,7387832,7648232,,25780548,24450000,20006100,19723304
4,2,4,0,1,23213604,89941380,,3979328,4181472,7415100,7637704,,25779628,24460864,19976476,19724412
5,3,5,0,1,23216008,89977720,,4000128,4180520,7395492,7639868,,25779208,24462516,20009788,19726208
6,2,6,0,1,23217168,89973412,,3991188,4194072,7394712,7637196,,25777524,24451696,20013840,19730352
7,2,7,0,1,23256072,89898860,,4007552,4197936,7395832,7654752,,25774836,24437024,19983128,19703872
8,1,8,0,0,23254688,89906996,,3999844,4189824,7418748,7646272,,25789844,24433884,19976580,19706688
9,2,9,0,0,23257244,89917760,,4003516,4196488,7408588,7648652,,25759692,24432456,20002740,19722872
10,2,10,0,0,23270756,89887060,,3993192,4218104,7409000,7650460,,25778836,24408220,19999764,19700240
11,1,11,0,0,23305592,89847192,,3993604,4212464,7431712,7667812,,25763916,24411032,19978268,19693976
12,5,12,0,0,23290060,89858532,,3992520,4214780,7420036,7662724,,25779288,24398912,19984260,19696072
13,2,13,0,0,23319068,89801096,,4016148,4221456,7417920,7663544,,25734120,24396332,19977272,19693372
14,2,14,0,0,23293360,89856112,,4007480,4210184,7419348,7656348,,25778244,24393616,19983228,19701024
15,2,15,0,0,23317648,89843240,,4007624,4213292,7417992,7678740,,25756084,24423708,19984008,19679440
16,1,16,0,0,23339756,89797272,,4010864,4201948,7446624,7680320,,25753568,24436060,19945984,19661660
17,2,17,0,0,23371168,89766632,,4035600,4215760,7436248,7683560,,25724712,24428584,19953176,19660160
18,7,18,0,0,23411276,89720988,,4020732,4231912,7474988,7683644,,25749084,24377932,19919796,19674176
19,2,19,0,0,23447824,89694752,,4022164,4231932,7479292,7714436,,25744380,24394956,19916172,19639244
20,2,20,0,0,23463300,89673168,,4025316,4224236,7498636,7715112,,25739448,24408328,19891836,19633556
21,5,21,0,0,23467460,89685808,,4042548,4220132,7489404,7715376,,25725048,24398204,19916720,19645836
22,6,22,0,0,23529804,89558876,,4046868,4269164,7494304,7719468,,25718148,24341652,19891304,19607772
23,7,23,0,0,23530952,89546012,,4055300,4253068,7502244,7720340,,25705976,24356984,19873276,19609776
24,2,24,0,0,23569040,89538040,,4061884,4269228,7503012,7734916,,25711840,24345308,19877920,19602972
25,2,25,0,0,23589064,89523588,,4094440,4255004,7503756,7735864,,25662928,24366424,19881184,19613052
26,2,26,0,0,23628892,89464316,,4090312,4292116,7505852,7740612,,25679604,24316348,19880080,19588284
27,2,27,0,0,23625720,89494712,,4090544,4274444,7508900,7751832,,25677404,24341612,19876112,19599584
28,6,28,0,0,23632040,89466044,,4090348,4272396,7515932,7753364,,25687776,24345164,19862904,19570200
29,2,29,0,0,23658268,89465436,,4112552,4282900,7518784,7744032,,25665424,24336612,19873504,19589896
30,3,30,0,0,23681532,89405776,,4102876,4310364,7520684,7747608,,25669828,24307324,19844612,19584012
31,2,31,0,0,23675592,89446188,,4097840,4304364,7523308,7750080,,25664064,24321740,19873996,19586388
32,3,32,0,0,23712224,89374000,,4111140,4309388,7531004,7760692,,25643296,24301424,19846184,19583096
33,2,33,0,0,23728372,89374592,,4125456,4308324,7531168,7763424,,25626024,24309676,19855828,19583064
34,1,34,0,0,23749464,89322472,,4115680,4337256,7532612,7763916,,25638912,24272604,19846460,19564496
35,3,35,0,0,23714240,89355352,,4114752,4328052,7506408,7765028,,25637760,24278268,19875852,19563472
36,2,36,0,0,23744652,89341964,,4114396,4332412,7514540,7783304,,25643424,24276028,19871100,19551412
37,2,37,0,0,23744176,89345832,,4145824,4301868,7513340,7783144,,25606696,24313652,19863348,19562136
38,2,38,0,0,23758056,89310200,,4134932,4330836,7508356,7783932,,25604740,24276096,19876276,19553088
39,1,39,0,0,23758172,89333432,,4134124,4307356,7507756,7808936,,25616108,24327580,19869892,19519852
40,1,40,0,0,23783292,89270944,,4132680,4320232,7531856,7798524,,25609616,24298404,19836504,19526420
41,3,41,0,0,23794964,89253076,,4150292,4324352,7520872,7799448,,25600632,24286372,19852436,19513636
42,1,42,0,0,23788072,89275988,,4137396,4334520,7518836,7797320,,25631308,24263856,19856444,19524380
43,2,43,0,0,23799024,89288040,,4138796,4338688,7520744,7800796,,25620676,24278640,19859196,19529528
44,5,44,0,0,23815948,89249016,,4139796,4336824,7541968,7797360,,25617852,24263036,19824704,19543424
45,6,45,0,0,23797216,89267244,,4145936,4333020,7515104,7803156,,25592568,24275700,19864052,19534924
46,2,46,0,0,23824380,89217404,,4147424,4356828,7515236,7804892,,25600556,24242600,19840832,19533416
47,2,47,0,0,23827588,89220496,,4147616,4339328,7537072,7803572,,25602204,24276796,19817768,19523728
48,2,48,0,0,23844968,89195436,,4148376,4349532,7530512,7816548,,25595184,24272808,19826164,19501280
49,3,49,0,0,23871680,89192928,,4180848,4336864,7536180,7817788,,25560092,24285396,19834692,19512748
50,2,50,0,0,23915040,89109548,,4172436,4371376,7557060,7814168,,25570284,24235124,19799932,19504208
51,2,51,0,0,23906192,89117028,,4161388,4368108,7548716,7827980,,25577492,24235244,19827792,19476500
52,2,52,0,0,23920180,89092544,,4163524,4355484,7571036,7830136,,25573780,24252248,19776600,19489916
53,2,53,0,0,23934388,89077764,,4188148,4360820,7553764,7831656,,25554816,24236624,19802336,19483988
54,3,54,0,0,23928940,89097872,,4176352,4377924,7542564,7832100,,25563920,24225156,19816232,19492564
55,3,55,0,0,23946772,89082644,,4177164,4376804,7543824,7848980,,25555016,24231516,19823264,19472848
56,3,56,0,0,23948908,89082384,,4176988,4366952,7568252,7836716,,25563740,24241560,19784944,19492140
57,2,57,0,0,23979172,89047344,,4194468,4386320,7559648,7838736,,25535048,24220368,19808912,19483016
58,3,58,0,0,23975616,89013580,,4187396,4388300,7558788,7841132,,25539200,24209220,19796560,19468600
59,1,58,0,0,23981860,89028632,,4187664,4383896,7569408,7840892,,25561044,24221724,19787980,19457884
60,4,60,0,0,24012064,88986564,,4183992,4385492,7574692,7867888,,25557124,24212064,19787120,19430256
61,2,61,0,0,24043308,88963092,,4206648,4382476,7586224,7867960,,25524376,24226684,19759764,19452268
62,2,62,0,0,24079588,88918232,,4194124,4417172,7593444,7874848,,25550980,24163220,19763992,19440040
63,12,63,0,0,24059504,88948240,,4196616,4390664,7589540,7882684,,25552060,24214676,19753200,19428304
64,2,64,0,0,24092180,88901176,,4193800,4392528,7621360,7884492,,25549356,24209204,19719752,19422864
65,2,65,0,0,24121812,88854100,,4218968,4392716,7625688,7884440,,25504312,24211016,19711332,19427440
66,2,66,0,0,24108328,88904836,,4206876,4409116,7604732,7887604,,25529616,24190276,19753236,19431708
67,2,67,0,0,24119336,88889972,,4213856,4401132,7621640,7882708,,25528372,24211120,19728852,19421628
68,2,68,0,0,24132940,88843488,,4206056,4395912,7621924,7909048,,25508456,24211964,19723776,19399292
69,5,69,0,0,24079192,88892624,,4214768,4395024,7571680,7897720,,25505768,24209932,19773176,19403748
70,2,70,0,0,24120868,88862900,,4212408,4422308,7590064,7896088,,25525656,24177068,19749596,19410580
71,2,71,0,0,24159472,88825560,,4213516,4418500,7629880,7897576,,25517572,24183676,19715032,19409280
72,2,72,0,0,24159848,88804556,,4222924,4413108,7613204,7910612,,25503704,24184276,19723960,19392616
73,2,73,0,0,24185916,88759732,,4235232,4414016,7617132,7919536,,25479284,24180036,19714748,19385664
74,2,74,0,0,24192572,88755612,,4229084,4435412,7617548,7910528,,25498168,24158096,19715996,19383352
75,3,75,0,0,24202832,88772040,,4230824,4429112,7613500,7929396,,25491356,24171860,19728672,19380152
76,2,76,0,0,24221968,88724948,,4231080,4421076,7640160,7929652,,25498416,24160628,19691048,19374856
