Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,39204636,62339908,106401288,5424,44655576,,7704588,8398200,11286136,11815712,,21680832,19924488,10951728,9782860,,28964224,28700164,24382336,24354564,,1984,1984,636,820,,7429152,8907076,13593616,14725732
2,1,1,0,1,0,1,39212212,62319808,106381496,5424,44655880,,7716140,8397976,11291956,11806140,,21687348,19921980,10934544,9775936,,28970820,28697664,24365272,24347740,,1984,1984,636,820,,7429304,8907080,13593700,14725796
4,1,2,1,1,0,1,39222288,62296876,106359932,5424,44657600,,7721072,8409204,11278148,11813864,,21684292,19902384,10945972,9764228,,28968620,28678092,24377092,24336128,,1984,1984,636,820,,7430380,8907208,13594116,14725896
7,0,3,1,2,0,1,39265460,62263156,106326660,5424,44658240,,7717484,8418924,11288800,11840252,,21677480,19907100,10934176,9744400,,28961812,28682908,24365396,24316544,,1984,1984,636,820,,7430364,8907372,13594204,14726300
9,0,4,3,1,0,1,39281280,62225108,106293208,5424,44662996,,7722056,8408636,11309476,11841112,,21669748,19913512,10905460,9736388,,28958188,28689332,24337100,24308588,,1984,1984,636,820,,7434456,8907384,13594748,14726408
11,0,5,4,1,0,1,39251656,62274648,106343092,5424,44663400,,7723492,8399140,11300356,11828668,,21675072,19912540,10932548,9754488,,28963564,28688372,24364352,24326804,,1984,1984,636,820,,7434572,8907400,13594948,14726480
13,1,6,5,1,0,1,39281580,62252776,106325960,5424,44668276,,7734784,8414776,11304168,11827852,,21659132,19900212,10929188,9764244,,28947696,28680184,24361016,24337064,,1984,1984,636,820,,7434740,8911580,13594980,14726976
16,0,7,6,1,0,1,39306420,62210920,106284932,5424,44669364,,7724652,8426936,11305420,11849412,,21678684,19870648,10932672,9728916,,28967268,28650696,24364684,24302284,,1984,1984,636,820,,7434760,8911764,13595156,14727684
18,0,8,7,1,0,1,39327432,62217548,106292288,5424,44670264,,7724500,8413924,11338380,11850628,,21677268,19914188,10893220,9732872,,28965856,28694252,24325604,24306576,,1984,1984,636,820,,7434768,8911776,13595700,14728020
20,0,9,8,1,0,1,39329928,62225836,106301208,5424,44670896,,7758596,8402728,11329092,11839512,,21650024,19903548,10907756,9764508,,28938644,28683628,24340604,24338332,,1984,1984,636,820,,7434812,8911796,13596148,14728140
22,1,10,9,1,0,1,39353616,62202944,106278640,5424,44671412,,7747352,8425992,11340340,11839932,,21646476,19893480,10891260,9771728,,28935192,28673624,24324224,24345600,,1984,1984,636,820,,7435060,8911904,13596264,14728184
25,0,11,10,1,0,1,39377600,62156112,106232564,5424,44672452,,7737348,8431900,11362228,11846124,,21649092,19893056,10854716,9759248,,28937812,28673268,24287856,24333628,,1984,1984,636,820,,7435068,8912096,13596584,14728704
27,0,12,11,1,0,1,39387120,62140056,106217080,5424,44673176,,7739396,8420024,11352140,11875560,,21648868,19903884,10877444,9709860,,28937600,28684108,24310888,24284484,,1984,1984,636,820,,7435068,8912104,13596904,14729100
29,1,13,12,1,0,1,39388572,62133464,106207944,5424,44671804,,7748324,8420540,11356044,11863664,,21646604,19879676,10862196,9744988,,28935428,28659912,24295760,24316844,,1984,1984,636,820,,7435232,8912116,13597084,14727372
32,0,14,13,1,0,0,39352404,62154476,106231468,5424,44674476,,7752668,8442284,11356092,11801360,,21638372,19881788,10856640,9777676,,28927248,28662120,24290444,24351656,,1984,1984,636,820,,7435380,8912320,13597268,14729508
34,0,15,14,1,0,0,39364360,62134356,106211852,5424,44675200,,7742236,8444200,11356156,11821768,,21634212,19877516,10867960,9754668,,28923096,28657872,24302064,24328820,,1984,1984,636,820,,7435388,8912396,13597588,14729828
36,1,16,15,1,0,0,39369156,62147252,106225216,5424,44675740,,7744368,8433492,11377440,11813856,,21632948,19899124,10856076,9759104,,28921852,28679492,24290436,24333436,,1984,1984,636,820,,7435404,8912404,13597924,14730008
39,0,17,16,1,0,0,39378996,62169404,106247928,5424,44676428,,7755432,8436072,11378356,11809136,,21644436,19894968,10846816,9783184,,28933376,28675348,24281564,24357640,,1984,1984,636,820,,7435472,8912424,13598368,14730164
41,0,18,17,1,0,0,39403504,62130644,106209564,5424,44677000,,7777040,8449836,11367368,11809260,,21625136,19869700,10855592,9780216,,28914160,28650160,24290476,24354768,,1984,1984,636,820,,7435688,8912572,13598508,14730232
43,1,19,17,2,0,0,39413252,62126880,106206364,5424,44677624,,7769268,8451232,11380300,11812452,,21626840,19866984,10853012,9780044,,28915880,28647460,24288004,24355020,,1984,1984,636,820,,7435700,8912580,13598692,14730652
46,0,20,17,3,0,0,39435904,62080676,106162152,5424,44678732,,7771236,8443124,11395044,11826500,,21615652,19883292,10823160,9758572,,28904700,28663784,24259620,24334048,,1984,1984,636,820,,7435720,8912596,13599136,14731280
48,0,21,18,3,0,0,39433468,62078920,106161012,5424,44679276,,7786296,8441404,11384868,11820900,,21590868,19884184,10829740,9774128,,28879976,28664692,24266460,24349884,,1984,1984,636,820,,7435816,8912608,13599336,14731516
50,1,22,19,3,0,0,39383632,62151348,106239552,5424,44684164,,7811500,8487232,11264088,11820812,,21584036,19825296,10969104,9772912,,28876352,28608092,24406240,24348868,,1984,1984,636,820,,7438060,8914604,13599804,14731696
53,0,23,21,2,0,0,39445540,62060428,106150876,5424,44684944,,7802648,8495300,11302376,11845216,,21586732,19815344,10902108,9756244,,28879052,28598712,24340796,24332316,,1984,1984,636,820,,7438072,8914760,13600200,14731912
55,1,24,22,2,0,0,39478844,62027364,106118928,5424,44685116,,7806108,8487156,11298436,11887144,,21582140,19831936,10916316,9696972,,28873720,28615324,24355232,24274652,,1984,1984,636,820,,7437240,8914784,13600424,14732668
58,0,25,24,1,0,0,39491236,62051256,106135068,5424,44677444,,7819980,8487196,11298508,11885552,,21583780,19828756,10927448,9711272,,28867240,28612172,24366544,24289112,,1984,1984,636,820,,7429184,8914816,13600612,14732832
60,0,26,25,1,0,0,39536828,61965400,106050724,5424,44678112,,7843840,8497816,11300072,11895100,,21567576,19789816,10916744,9691264,,28852124,28573328,24355960,24269312,,1984,1984,636,820,,7429340,8914964,13600776,14733032
63,0,27,26,1,0,0,39544860,61940204,106028524,5424,44678712,,7828724,8498396,11307284,11910456,,21565388,19818212,10903044,9653560,,28849964,28603072,24342404,24233084,,1984,1984,636,820,,7429356,8915112,13600860,14733384
65,0,28,27,1,0,0,39597488,61912900,106003204,5424,44679548,,7829636,8497520,11350704,11919628,,21570868,19814540,10850292,9677200,,28855456,28599416,24291516,24256816,,1984,1984,636,820,,7429376,8915132,13601564,14733476
67,1,29,28,1,0,0,39548860,61983500,106074208,5424,44679984,,7838524,8499300,11344352,11866684,,21560452,19823468,10883312,9716268,,28845132,28608360,24324644,24296072,,1984,1984,636,820,,7429520,8915144,13601664,14733656
70,0,30,29,1,0,0,39580964,61944456,106037276,5424,44680812,,7850116,8510548,11350108,11870192,,21536460,19816912,10881840,9709244,,28822520,28602016,24323556,24289184,,1984,1984,636,820,,7429660,8915304,13602048,14733800
72,1,31,30,1,0,0,39617340,61852524,105948476,5424,44681780,,7839908,8521944,11385596,11869892,,21542260,19792952,10809976,9707336,,28828348,28579260,24253064,24287804,,1984,1984,636,820,,7429688,8915448,13602344,14734300
75,0,32,31,1,0,0,39628000,61888600,105986340,5424,44682420,,7839536,8513544,11381328,11893592,,21550764,19814176,10826596,9697064,,28836864,28600512,24269968,24278996,,1984,1984,636,820,,7429708,8915468,13602588,14734656
