Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,10675728,92314384,119094104,8080,28146508,,1314548,3425992,3614404,2320784,,25381728,21612440,21581812,23738404,,31177328,29002416,28790400,30123960,,2020,2020,2020,2020,,6145480,7739420,7556168,6705440
5,0,1,0,1,0,1,10896052,92114620,118896192,8080,28147428,,1314404,3429100,3615188,2537360,,25378764,21602532,21610664,23522660,,31174404,28992896,28819384,29909508,,2020,2020,2020,2020,,6145500,7739832,7556260,6705836
7,0,2,1,1,0,1,11336060,91656756,118438800,8080,28147800,,1350848,3430108,3617444,2937660,,25332116,21604452,21595280,23124908,,31127784,28995076,28804116,29511824,,2020,2020,2020,2020,,6145508,7740028,7556412,6705852
10,0,3,1,2,0,1,11634388,91270020,118140356,8080,28236252,,1326808,3444552,3617724,3245304,,25256860,21592060,21602732,22818368,,31139916,28983456,28811696,29205288,,2020,2020,2020,2020,,6233012,7740868,7556516,6705856
12,1,4,1,3,0,1,11768840,90499188,117947112,8080,28798888,,1317444,3471920,3635428,3344048,,24949996,21312132,21539864,22697196,,31154896,28933656,28774400,29084160,,2020,2020,2020,2020,,6544432,7966484,7582096,6705876
15,1,5,1,4,0,1,12325684,89225196,117389968,8080,29475452,,1532864,3472300,3661308,3659212,,24662908,20933072,21236040,22393176,,30943360,28928388,28736312,28781908,,2020,2020,2020,2020,,6607868,8320736,7840708,6706140
18,0,6,4,2,0,1,13533972,87801744,116163828,8080,29650612,,1953788,3856248,3664456,4059480,,24224832,20671688,20908408,21996816,,30505340,28552652,28720260,28385576,,2020,2020,2020,2020,,6607904,8201692,8134856,6706160
21,0,7,5,2,0,1,15006860,86430760,114685728,8080,29534844,,2564912,4223736,3955256,4262956,,23611888,20277520,20751512,21789840,,29894508,28160724,28451892,28178604,,2020,2020,2020,2020,,6608284,8202164,8018236,6706160
24,0,8,7,1,0,1,16698280,84706140,112964152,8080,29535760,,3065720,4883008,4382500,4367052,,23104404,19622652,20293804,21685280,,29387036,27506356,27996644,28074116,,2020,2020,2020,2020,,6608276,8202472,8018836,6706176
26,1,9,8,1,0,1,18222320,83184908,111444936,8080,29536296,,3373892,5392288,5088312,4367828,,22797112,19109664,19594084,21684048,,29079760,26995240,27297040,28072896,,2020,2020,2020,2020,,6608304,8202904,8018892,6706196
29,0,10,9,1,0,1,18522100,82894968,111156808,8080,29536808,,3366280,5986740,5502724,3666356,,22795108,18523776,19177292,22398792,,29077780,26409836,26880352,28788840,,2020,2020,2020,2020,,6608308,8203012,8018972,6706516
32,0,11,10,1,0,0,19544172,81843644,110105788,8080,29536948,,3377708,6296064,5707424,4162976,,22785828,18198260,18977628,21881928,,29068596,26084376,26680984,28271832,,2020,2020,2020,2020,,6608340,8203076,8019264,6706268
35,0,12,11,1,0,0,20543212,80825336,109091872,8080,29537912,,3773784,6498820,5901544,4369064,,22390228,17991820,18765800,21677488,,28674940,25878168,26471368,28067396,,2020,2020,2020,2020,,6608592,8203336,8019712,6706272
38,0,13,12,1,0,0,21061704,80352980,108620352,8080,29538528,,3988112,6500144,6203972,4369476,,22170348,18013720,18492392,21676520,,28455524,25900224,26198152,28066452,,2020,2020,2020,2020,,6608860,8203492,8019876,6706300
41,0,14,13,1,0,0,22516460,78906176,107176976,8080,29539480,,4711536,6500932,6511412,4792580,,21452408,18015800,18180028,21257940,,27739432,25902704,25885964,27648876,,2020,2020,2020,2020,,6608992,8203876,8020044,6706568
44,0,15,14,1,0,0,23532992,77878268,106152020,8080,29540464,,5111404,6620612,6714180,5086796,,21047780,17892068,17975436,20962984,,27334832,25781276,25681800,27354112,,2020,2020,2020,2020,,6609012,8204404,8020336,6706712
47,0,16,15,1,0,0,24559124,76827960,105104424,8080,29541352,,5419600,6916344,6930420,5292760,,20734232,17590260,17744396,20759072,,27021308,25479844,25453060,27150212,,2020,2020,2020,2020,,6609016,8204676,8020940,6706720
50,0,17,16,1,0,0,25595444,75771800,104051164,8080,29542216,,5418180,7225992,7236652,5714620,,20732480,17275584,17428952,20334784,,27019628,25165364,25138076,26728096,,2020,2020,2020,2020,,6609048,8204872,8021368,6706928
53,0,18,17,1,0,0,26625156,74737968,103017732,8080,29542700,,5430232,7538080,7646900,6009944,,20720280,16956312,17018104,20043272,,27007552,24846356,24727348,26436476,,2020,2020,2020,2020,,6609176,8205112,8021480,6706932
55,1,19,18,1,0,0,27549392,73806848,102090868,8080,29543392,,5839736,7530508,7861688,6317460,,20313992,16965232,16794404,19733220,,26603088,24855384,24505960,26126436,,2020,2020,2020,2020,,6609324,8205204,8021920,6706944
58,1,20,19,1,0,0,28357944,72990196,101276892,8080,29544024,,6137124,7641868,8159608,6419344,,20013516,16830080,16517796,19628804,,26302716,24722596,24229552,26022028,,2020,2020,2020,2020,,6609340,8205700,8022028,6706956
61,0,21,20,1,0,0,29149556,72192552,100482300,8080,29544864,,6366596,7996136,8366500,6420324,,19791324,16483608,16307416,19610204,,26082616,24376632,24019576,26003476,,2020,2020,2020,2020,,6609676,8205800,8022412,6706976
