Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,15105684,105717340,115630804,128,11581212,,2738192,4546096,4763960,3057436,,29007032,23981988,23995452,28732868,,29829120,28086028,28210164,29505492,,32,32,32,32,,1239048,4541640,4629740,1170784
3,0,1,0,1,0,1,15129156,105704184,115622780,128,11585712,,2746448,4546988,4764152,3071568,,29001528,23972900,23998800,28730956,,29827520,28076960,28214652,29503648,,32,32,32,32,,1242912,4541688,4630204,1170908
6,0,2,0,2,0,1,15242948,105600080,115521416,128,11588076,,2760116,4551444,4765548,3165840,,28988556,23989572,23994104,28627848,,29816260,28093804,28210244,29401108,,32,32,32,32,,1244692,4541836,4630496,1171052
8,0,3,2,1,0,1,16072120,104747244,114672140,128,11591704,,2966112,4661696,4765996,3678316,,28761964,23871212,23992876,28121192,,29592880,27975648,28209112,28894500,,32,32,32,32,,1247840,4542196,4630596,1171072
11,0,4,3,1,0,1,17201508,103633408,113566836,128,11600292,,3365980,4961496,4785712,4088320,,28373912,23589936,23959072,27710488,,29204836,27694548,28183636,28483816,,32,32,32,32,,1247848,4542372,4638988,1171084
13,0,5,3,2,0,1,18746152,102075144,112013000,128,11603936,,3675380,5374720,5291876,4404176,,28059852,23150956,23465400,27398936,,28890788,27255788,27693176,28173248,,32,32,32,32,,1247860,4542600,4642136,1171340
16,0,6,5,1,0,1,19840504,100973864,110912080,128,11604392,,3755988,5579440,5598984,4906092,,27969756,22954276,23155376,26894456,,28800768,27059288,27383264,27668760,,32,32,32,32,,1248004,4542768,4642260,1171360
19,0,7,6,1,0,1,20671668,100136036,110075352,128,11605380,,4175920,5586316,5799344,5110088,,27563056,22946004,22942644,26684332,,28394420,27051464,27170816,27458652,,32,32,32,32,,1248148,4543316,4642544,1171372
21,0,8,7,1,0,1,21503452,99303888,109243616,128,11606004,,4479468,5895316,6018984,5109684,,27240656,22636084,22735204,26691944,,28072028,26741668,26963620,27466300,,32,32,32,32,,1248156,4543516,4642944,1171388
24,0,9,8,1,0,1,23011832,97762100,107703272,128,11606672,,4772884,6396728,6515800,5326420,,26958984,22138336,22213768,26451012,,27790364,26244220,26442312,27226376,,32,32,32,32,,1248160,4543804,4643060,1171648
27,0,10,9,1,0,1,23952596,96882844,106824824,128,11607484,,4795388,6603868,6823580,5729760,,26943404,21940648,21923744,26075048,,27774848,26046916,26152628,26850432,,32,32,32,32,,1248252,4544200,4643372,1171660
29,1,11,10,1,0,1,23972256,96803024,106746688,128,11608272,,5325600,6711692,6825124,5109840,,26413612,21796656,21917132,26675624,,27245764,25903656,26146452,27450816,,32,32,32,32,,1248444,4544664,4643800,1171364
32,0,12,11,1,0,0,24968600,95792228,105736836,128,11608820,,5703052,7110796,7044328,5110424,,26032964,21414960,21673968,26670336,,26865144,25522032,25904120,27445540,,32,32,32,32,,1248456,4544732,4644260,1171372
35,0,13,12,1,0,0,26316344,94493488,104438448,128,11609268,,5814572,7626304,7444068,5431400,,25919384,20904076,21300404,26369624,,26751580,25011252,25530636,27144980,,32,32,32,32,,1248476,4544880,4644336,1171576
38,0,14,13,1,0,0,27034968,93750340,103695932,128,11609896,,5828724,7619668,7857368,5729208,,25901136,20897320,20885468,26066416,,26733416,25004652,25116072,26841792,,32,32,32,32,,1248620,4545000,4644696,1171580
