Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,2,17733316,97229300,115639232,7920,19852168,,4082760,4663944,5116428,3870184,,25908348,22586480,22432848,26301624,,29143588,28607736,28412304,29475604,,1980,1980,1980,1980,,3582536,6394916,6347544,3527172
3,0,1,0,1,0,2,18271824,96679480,115089792,7920,19852508,,4515812,4665448,5117636,3972928,,25482352,22579604,22423588,26193936,,28717624,28601108,28403132,29367928,,1980,1980,1980,1980,,3582548,6395164,6347612,3527184
5,0,2,1,1,0,2,19193408,95744376,114156600,7920,19853284,,5218860,4668548,5117412,4188588,,24768716,22576872,22422080,25976708,,28004536,28598504,28401688,29151872,,1980,1980,1980,1980,,3582832,6395312,6347692,3527448
7,0,3,2,1,0,2,20028864,94906528,113319344,7920,19853924,,5930168,4671736,5124356,4302604,,24061536,22566696,22412888,25865408,,27297376,28588356,28393028,29040584,,1980,1980,1980,1980,,3582844,6395328,6348304,3527448
9,0,4,2,2,0,2,20631936,94310356,112723404,7920,19854244,,6341804,4682180,5124040,4483912,,23646732,22568096,22405616,25689912,,26882580,28589812,28385844,28865168,,1980,1980,1980,1980,,3582852,6395400,6348404,3527588
11,0,5,2,3,0,2,20949184,93981796,112395696,7920,19855076,,6559592,4694360,5112436,4582796,,23426888,22549892,22426012,25579004,,26662808,28572240,28406376,28754272,,1980,1980,1980,1980,,3582952,6396068,6348456,3527600
13,0,6,3,3,0,2,21854944,93063876,111479152,7920,19855636,,7279408,4684076,5112880,4778580,,22693316,22568456,22405132,25396972,,25930364,28590860,28385548,28572380,,1980,1980,1980,1980,,3583264,6396120,6348516,3527736
15,1,7,3,4,0,2,22475040,92396104,110844408,7920,19888808,,7789152,4687232,5125584,4873072,,22174200,22527476,22399440,25294988,,25411248,28582456,28380284,28470420,,1980,1980,1980,1980,,3583272,6428764,6349020,3527752
17,1,8,3,5,0,2,23015348,91671588,110270800,7920,20039312,,7999020,4701316,5134716,5180296,,21966524,22349976,22372052,24983036,,25203576,28530796,28377452,28158976,,1980,1980,1980,1980,,3583276,6554632,6373616,3527788
19,1,9,4,5,0,2,23473332,90791088,109849336,7920,20491904,,8131324,4726136,5127796,5488076,,21841832,22115528,22148444,24685284,,25078932,28525004,28383780,27861620,,1980,1980,1980,1980,,3583352,6777216,6603420,3527916
22,0,10,4,6,0,2,23982800,89731268,109298776,7920,20987804,,8313600,4704208,5165376,5799616,,21644172,21879256,21845300,24362540,,24882332,28546916,28329172,27540356,,1980,1980,1980,1980,,3583560,7029480,6846440,3528324
