Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,46151060,64795956,101466756,5448,41650604,,12719048,8506404,12265356,12660252,,16602744,19653864,14691676,13847672,,24324344,28578164,24359908,24204340,,1988,1988,648,824,,12309612,9025872,9814656,10500464
3,0,1,0,1,0,0,41642764,69330116,106000416,5448,37180244,,8201372,8511280,12267144,12662968,,21160556,19648600,14674740,13846220,,28881360,28572908,24343144,24203004,,1988,1988,648,824,,7838896,9025880,9814828,10500640
5,1,2,0,2,0,0,42077456,68919748,105590356,5448,37473604,,8477892,8636484,12264948,12698132,,20854508,19546488,14685756,13832996,,28575372,28470844,24354224,24189916,,1988,1988,648,824,,8075000,9082944,9814896,10500764
8,0,3,0,3,0,0,42524072,68466384,105153516,5448,37903088,,8550036,8853488,12265964,12854584,,20788784,19326556,14690904,13660140,,28509668,28250948,24359796,24033104,,1988,1988,648,824,,8159624,9299076,9815320,10629068
10,0,4,0,4,0,0,43062600,67861828,104555488,5448,38394476,,8693492,8893296,12433056,13042756,,20644604,19256612,14496680,13463932,,28367596,28181020,24165740,23841132,,1988,1988,648,824,,8308804,9349940,9918656,10817076
12,0,5,1,4,0,0,43539860,67380948,104075196,5448,38831096,,8768152,9075268,12633076,13063364,,20562592,19081096,14298548,13438712,,28285616,28005576,23967964,23816040,,1988,1988,648,824,,8341268,9528028,10118028,10843772
14,1,6,2,4,0,0,43952432,67005804,103700352,5448,39162640,,9029504,9200012,12658072,13064844,,20308024,18966588,14270788,13460404,,28031032,27891148,23940364,23837808,,1988,1988,648,824,,8583460,9587548,10147748,10843884
17,0,7,2,5,0,0,44620852,66314752,103009844,5448,39792032,,9106116,9392112,12827072,13295552,,20211488,18771592,14127928,13203744,,27934500,27696164,23797716,23581464,,1988,1988,648,824,,8656776,9809984,10316680,11008592
19,0,8,3,5,0,0,45321916,65582688,102278644,5448,40442516,,9295312,9421296,13010332,13594976,,20031576,18718452,13931096,12901564,,27754660,27643036,23601092,23279856,,1988,1988,648,824,,8841336,9844396,10434812,11321972
21,0,9,5,4,0,0,45661864,65207720,101904392,5448,40730360,,9355080,9514944,13192584,13599256,,19967688,18628712,13743480,12867840,,27690792,27553340,23413808,23246452,,1988,1988,648,824,,8841472,9921944,10624652,11342292
24,0,10,6,4,0,0,46442372,64436564,101133072,5448,41461828,,9611692,9840272,13219560,13770848,,19713716,18293600,13707604,12721644,,27436876,27217556,23378200,23100440,,1988,1988,648,824,,9106976,10189032,10653080,11512740
26,0,11,7,4,0,0,47220116,63640120,100339016,5448,42226384,,9753448,10047884,13428220,13990564,,19543884,18099988,13486412,12509836,,27267052,27025996,23157172,22888796,,1988,1988,648,824,,9256976,10412740,10890312,11666356
28,0,12,9,3,0,0,47986856,62848088,99547708,5448,42921472,,10033984,10103492,13618528,14230852,,19285840,18013436,13289624,12259188,,27009076,26939460,22960576,22638596,,1988,1988,648,824,,9533668,10455844,11014100,11917860
30,1,13,9,4,0,0,48342312,62522312,99222564,5448,43219028,,10088688,10112364,13827896,14313364,,19229940,18028428,13085992,12177952,,26953252,26954480,22757212,22557620,,1988,1988,648,824,,9534164,10463396,11222272,11999196
33,0,14,10,4,0,0,49309424,61571576,98272496,5448,44134368,,10358632,10580620,13845404,14524768,,18956608,17571228,13068168,11975572,,26679928,26497396,22739704,22355468,,1988,1988,648,824,,9791920,10884896,11250564,12206988
35,0,15,12,3,0,0,50196040,60628240,97329432,5448,44957148,,10507892,10816084,14143724,14728340,,18792828,17317156,12774604,11743652,,26516164,26243328,22446284,22123656,,1988,1988,648,824,,9949316,11109248,11544708,12353876
37,1,16,12,4,0,0,50996992,59820596,96522412,5448,45707936,,10743116,10863088,14409008,14981780,,18547892,17269208,12508300,11495196,,26271288,26195396,22180376,21875352,,1988,1988,648,824,,10183140,11165256,11745900,12613640
40,0,17,13,4,0,0,51604672,59223416,95925756,5448,46289448,,10929264,11031468,14600152,15043788,,18366408,17112272,12318480,11426256,,26089844,26038532,21990740,21806640,,1988,1988,648,824,,10337588,11342804,11936684,12672372
42,0,18,14,4,0,0,52446740,58336756,95039892,5448,47025716,,11217804,11298088,14645148,15285700,,18066264,16836736,12251304,11182452,,25789764,25763068,21924064,21562996,,1988,1988,648,824,,10590392,11530588,11988376,12916360
44,1,19,16,3,0,0,53594888,57173924,93877436,5448,48110548,,11280368,11707776,14998004,15608740,,18001540,16414688,11911232,10846464,,25725048,25341028,21584232,21227128,,1988,1988,648,824,,10660072,11937296,12340308,13172872
47,0,20,16,4,0,0,54160332,56588336,93292220,5448,48644004,,11414284,11723312,15250336,15772400,,17859480,16385384,11659496,10683976,,25583008,25311740,21332632,21064840,,1988,1988,648,824,,10794188,11976908,12536064,13336844
49,0,21,17,4,0,0,55173172,55559368,92264968,5448,49600476,,11940984,11907004,15448496,15876688,,17335900,16207112,11444356,10572000,,25059532,25134288,21117740,20953408,,1988,1988,648,824,,11255336,12148340,12744172,13452628
51,1,22,18,4,0,0,56012908,54719388,91426096,5448,50382404,,12203016,12112096,15477768,16220028,,17060424,16009732,11408056,10241176,,24784080,24937024,21081708,20623284,,1988,1988,648,824,,11514452,12298072,12773416,13796464
54,0,23,19,4,0,0,57182984,53570620,90281140,5448,51502032,,12257176,12541944,15796600,16587264,,17013456,15579288,11111380,9866496,,24737120,24506596,20786616,20250808,,1988,1988,648,824,,11577220,12734952,13093964,14095896
56,0,24,20,4,0,0,57897420,52789432,89500280,5448,52156080,,12370216,12692756,16104500,16729948,,16898900,15391500,10787484,9711548,,24622580,24318820,20462940,20095940,,1988,1988,648,824,,11689424,12887108,13336036,14243512
58,1,25,20,5,0,0,59077656,51628888,88342184,5448,53308980,,12884140,12928056,16421280,16844180,,16386796,15172080,10466780,9603232,,24110972,24100764,20142352,19988096,,1988,1988,648,824,,12173680,13117020,13651468,14366812
61,0,26,22,4,0,0,60063712,50585900,87305240,5448,54202980,,13267976,13222992,16450796,17121948,,16003180,14866640,10405724,9310356,,23727432,23799492,20081592,19696724,,1988,1988,648,824,,12521340,13344552,13693024,14644064
63,0,27,23,4,0,0,60978604,49673532,86393428,5448,55059172,,13330232,13445268,16660168,17542936,,15923724,14649396,10209276,8891136,,23647984,23582260,19885384,19277800,,1988,1988,648,824,,12594160,13565808,13900136,14999068
65,0,28,23,5,0,0,61946896,48718456,85439900,5448,55995292,,13511108,13714072,16930312,17791404,,15739100,14361516,9954388,8663452,,23464688,23294392,19630664,19050156,,1988,1988,648,824,,12784112,13842496,14111136,15257548
68,0,29,24,5,0,0,63054576,47599948,84323332,5448,57059464,,13848932,13885156,17495564,17824924,,15401604,14205708,9382272,8610364,,23127272,23138620,19060176,18997264,,1988,1988,648,824,,13088212,14011352,14673668,15286232
70,0,30,25,5,0,0,64386428,46238980,82964216,5448,58298668,,14441384,14215392,17528056,18201596,,14816012,13867952,9334088,8220928,,22541696,22800964,19012208,18609348,,1988,1988,648,824,,13648476,14272336,14716148,15661708
72,0,31,26,5,0,0,65369292,45215560,81942708,5448,59225084,,14503720,14628984,17626224,18610364,,14748440,13444788,9223772,7798560,,22474136,22379136,18902276,18187160,,1988,1988,648,824,,13718900,14681404,14818908,16005872
74,1,32,27,5,0,0,65947984,44648208,81375908,5448,59756248,,14553408,14668604,17857248,18868724,,14706580,13391452,9001276,7548900,,22432312,22325820,18680160,17937616,,1988,1988,648,824,,13766936,14727900,14987736,16273676
77,0,33,27,6,0,0,67095596,43468212,80197692,5448,60851392,,14775428,14883960,18432164,19004044,,14471100,13186684,8407728,7402700,,22196908,22121088,18087944,17791752,,1988,1988,648,824,,13945600,14941676,15558052,16406064
79,0,34,28,6,0,0,69054380,41489352,78223348,5448,62729528,,15521920,15383224,18698972,19450264,,13722200,12681380,8117724,6968048,,21449356,21617212,17798112,17358668,,1988,1988,648,824,,14668828,15380012,15832048,16848640
81,0,35,31,4,0,0,70174600,40379020,77117692,5448,63784796,,15779488,15837100,19063772,19494240,,13450948,12227308,7781360,6919404,,21178108,21163164,17465640,17310780,,1988,1988,648,824,,14934852,15832560,16130020,16887364
83,1,36,32,4,0,0,71351196,39169756,75910288,5448,64897988,,15971392,15952436,19403088,20024280,,13256428,12094624,7425004,6393700,,20984972,21030488,17109564,16785264,,1988,1988,648,824,,15125772,15953172,16466388,17352656
86,0,37,33,4,0,0,72223632,38256540,75000000,5448,65744384,,16209776,16148172,19590840,20274844,,13013720,11902008,7230572,6110240,,20742348,20839276,16916440,16501936,,1988,1988,648,824,,15334816,16144332,16660800,17604436
88,0,38,34,4,0,0,73675544,36820412,73564792,5448,67159268,,16526204,16697900,20062376,20389064,,12705044,11356664,6749280,6009424,,20433680,20293992,16435508,16401612,,1988,1988,648,824,,15622616,16659452,17143196,17734004
90,1,39,35,4,0,0,75315532,35161276,71908328,5448,68734988,,17172624,16973700,20257128,20912080,,12040712,11070964,6579448,5470152,,19769372,20010356,16265920,15862680,,1988,1988,648,824,,16276280,16931092,17337296,18190320
93,0,40,35,5,0,0,76408240,34034864,70784984,5448,69770840,,17448152,17324340,20452636,21183112,,11752368,10709656,6374516,5198324,,19482384,19649064,16061112,15592424,,1988,1988,648,824,,16549788,17278744,17453756,18488552
95,0,41,36,5,0,0,77559068,32905208,69657280,5448,70884000,,17593108,17431204,20926732,21608024,,11604696,10630448,5893932,4776132,,19334792,19569896,15580980,15171612,,1988,1988,648,824,,16661116,17386756,17926368,18909760
97,0,42,37,5,0,0,78827240,31619568,68372000,5448,72067208,,17987052,17646592,21273896,21919700,,11222432,10404720,5525584,4466832,,18952536,19344260,15212676,14862528,,1988,1988,648,824,,17026716,17547108,18279788,19213596
99,1,43,38,4,1,0,80228576,30196204,66952012,5448,73473812,,18317708,18277652,21686192,21947024,,10874484,9778264,5110100,4433356,,18604604,18719136,14799040,14829232,,1988,1988,648,824,,17372528,18167724,18691688,19241872
102,0,44,40,2,2,0,81531400,28851756,65609592,5448,74792968,,19023228,18495060,21760304,22252808,,10168448,9537708,5034412,4111188,,17899960,18478588,14723824,14507220,,1988,1988,648,824,,18075268,18409624,18762384,19545692
104,0,45,41,1,3,0,82401252,27986192,64745672,5448,75645828,,19037448,18992924,21771644,22599236,,10152332,9046256,5022632,3764972,,17883860,17988492,14712248,14161072,,1988,1988,648,824,,18089500,18891044,18772952,19892332
106,0,46,42,0,4,0,83405992,26982356,63742380,5448,76648036,,19242764,19108416,22187576,22867236,,9932396,8928024,4617056,3504880,,17664176,17870272,14306784,13901148,,1988,1988,648,824,,18294512,19000060,19188212,20165252
108,1,47,42,0,5,0,84080180,26323176,63083636,5448,77318968,,19308356,19279980,22565528,22926316,,9882928,8755600,4240596,3444052,,17614844,17697860,13930516,13840416,,1988,1988,648,824,,18359700,19173996,19565312,20219960
111,0,48,42,0,6,0,85121004,25304624,62066968,5448,78349780,,19712564,19492616,22801412,23114412,,9479312,8556324,4014148,3254840,,17211872,17498612,13704332,13652152,,1988,1988,648,824,,18764400,19389804,19793900,20401676
113,0,49,42,0,7,0,86266884,24119304,60883400,5448,79496300,,20166192,19806496,22793456,23500740,,9020996,8229192,4001920,2867196,,16754856,17171488,13692392,13264664,,1988,1988,648,824,,19216996,19695288,19796260,20787756
115,1,50,42,0,8,0,87238540,23137884,59902868,5448,80481408,,20262732,20196844,22984988,23793976,,8921960,7830108,3812824,2572992,,16655844,16772952,13503556,12970516,,1988,1988,648,824,,19313088,20093840,19981236,21093244
118,0,51,42,0,9,0,87978592,22396156,59162444,5448,81218404,,20381912,20231900,23461084,23903696,,8806156,7792052,3337184,2460764,,16540528,16735136,13028004,12858776,,1988,1988,648,824,,19432204,20131288,20454600,21200312
120,0,52,42,0,10,0,88632188,21740468,58508052,5448,81861612,,20513604,20445380,23730028,23943176,,8676424,7575932,3068752,2419360,,16411072,16519488,12759876,12817616,,1988,1988,648,824,,19561732,20338608,20723440,21237832
122,0,53,42,0,11,0,89657496,20712128,57481580,5448,82897432,,21102360,20596784,23843124,24115228,,8086048,7424520,2955476,2246084,,15822100,16368348,12646648,12644484,,1988,1988,648,824,,20151244,20504020,20832220,21409948
124,1,54,42,0,12,0,90910992,19448528,56219876,5448,84138432,,21309736,21119756,23851060,24630440,,7875904,6898644,2945464,1728516,,15612416,15843616,12636848,12126996,,1988,1988,648,824,,20358708,21017880,20840732,21921112
127,0,55,42,0,13,0,91954892,18385592,55158100,5448,85183036,,21516984,21290816,24214164,24932928,,7652992,6730892,2580440,1421268,,15390012,15676336,12271896,11819856,,1988,1988,648,824,,20566044,21183048,21206292,22227652
129,0,56,42,0,14,0,92661728,17671480,54445464,5448,85884720,,21623444,21495312,24602584,24940388,,7542468,6525088,2190612,1413312,,15279732,15471040,11882560,11812132,,1988,1988,648,824,,20672568,21385792,21592092,22234268
131,0,57,42,0,15,0,93277224,17054392,53828968,5448,86493376,,21796760,21586444,24842996,25051024,,7371120,6434660,1945748,1302864,,15108652,15380824,11637748,11701744,,1988,1988,648,824,,20846060,21475216,21833008,22339092
133,1,58,42,0,16,0,94320208,15988816,52766060,5448,87534564,,22389628,21898616,24871232,25160732,,6776736,6109424,1912308,1190348,,14515696,15056304,11604716,11589344,,1988,1988,648,824,,21436280,21785004,21863960,22449320
135,1,59,42,0,17,0,95580608,14779892,51559968,5448,88796860,,22601088,22305944,24875760,25797816,,6584756,5694920,1907944,592272,,14324240,14642664,11600472,10992592,,1988,1988,648,824,,21647644,22192284,21870336,23086596
138,0,60,42,0,18,0,96413728,13932428,50713988,5448,89626504,,22657212,22515676,25266420,25974420,,6512532,5492336,1516460,411100,,14252172,14440676,11209052,10812088,,1988,1988,648,824,,21702568,22399292,22261660,23262984
140,0,61,42,0,19,0,97268692,13063956,49851612,5448,90469192,,22866688,22725980,25684400,25991624,,6311392,5274820,1092664,385080,,14051500,14223620,10789744,10786748,,1988,1988,648,824,,21911780,22606464,22682960,23267988
142,1,62,42,0,20,0,97900236,12444804,49234668,5448,91096128,,23144880,22731740,25910416,26113200,,6031720,5269308,866160,277616,,13772208,14218152,10564524,10679784,,1988,1988,648,824,,22189580,22614864,22899224,23392460
