Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,9567620,116878440,121649872,3944,6347872,,303028,3699768,3407616,2157208,,32228796,27464764,28235548,28949332,,32202928,28592932,29579520,31274492,,1912,32,32,1968,,333360,1539692,1761040,2713780
3,0,1,0,1,0,0,9810176,116621616,121394228,3944,6527664,,303872,3699532,3405336,2401436,,32227588,27465148,28229972,28698908,,32202728,28593400,29573968,31024132,,1912,32,32,1968,,333772,1539768,1761060,2893064
6,0,2,0,2,0,0,10074688,116365452,121138832,3944,6776000,,303992,3700036,3568284,2502376,,32226336,27475456,28060216,28603444,,32201488,28604168,29404364,30928812,,1912,32,32,1968,,333772,1540264,1897864,3004100
8,0,3,0,3,0,0,10472728,115913996,120811996,3944,7097724,,304168,3916236,3712668,2539656,,32226112,27224248,27916116,28547520,,32201404,28477244,29260296,30873052,,1912,32,32,1968,,333912,1693084,2032752,3037976
11,0,4,0,4,0,0,10981948,115404648,120303664,3944,7549372,,304140,4111964,3766616,2799228,,32225860,27024860,27857672,28296256,,32201156,28278348,29201836,30622324,,1912,32,32,1968,,333920,1893152,2085780,3236520
13,1,5,1,4,0,0,11422340,114994384,119893924,3944,7969492,,304200,4317040,3851008,2950092,,32225108,26827932,27789896,28151448,,32200412,28081604,29134132,30477776,,1912,32,32,1968,,333928,2054532,2184400,3396632
16,0,6,2,4,0,0,11865080,114504516,119405768,3944,8339964,,304064,4490004,4068096,3002916,,32235288,26636072,27549448,28083708,,32210600,27891272,28893752,30410144,,1912,32,32,1968,,333944,2235200,2322336,3448484
19,0,7,3,4,0,0,12485772,113882760,118785204,3944,8888912,,304284,4663448,4203236,3314804,,32235040,26486672,27421876,27739172,,32210364,27742028,28766188,30066624,,1912,32,32,1968,,333944,2400144,2461104,3693720
21,1,8,4,4,0,0,12838412,113524120,118427924,3944,9206072,,304156,4831780,4243348,3459128,,32234288,26304956,27372032,27612844,,32209624,27561104,28716392,29940804,,1912,32,32,1968,,333952,2505444,2517892,3848784
24,0,9,5,4,0,0,13357388,113002292,117906684,3944,9631804,,304020,5097052,4457580,3498736,,32233812,26044692,27165632,27558156,,32209160,27301132,28510160,29886232,,1912,32,32,1968,,333968,2755768,2651512,3890556
27,0,10,5,5,0,0,13874200,112468488,117375000,3944,10125560,,303796,5158248,4578584,3833572,,32233312,25966612,27043244,27225320,,32208664,27223580,28387836,29554920,,1912,32,32,1968,,333976,2838472,2791668,4161444
29,1,11,6,5,0,0,14272048,112055744,116963240,3944,10448792,,303832,5368180,4658996,3941040,,32231836,25761536,26958728,27103644,,32207196,27018696,28303980,29433368,,1912,32,32,1968,,333976,2976388,2860800,4277628
32,0,12,7,5,0,0,14774396,111514404,116424148,3944,10887312,,304148,5502476,4964260,4003512,,32230868,25623264,26630900,27029372,,32206240,26880896,27976272,29360740,,1912,32,32,1968,,333984,3119156,3106360,4327812
35,0,13,7,6,0,0,15331600,110962836,115875280,3944,11411372,,304200,5568700,5145572,4313128,,32239860,25543212,26454080,26725684,,32215376,26801272,27800220,29058412,,1912,32,32,1968,,334128,3184744,3312600,4579900
38,0,14,9,5,0,0,15789484,110479752,115393496,3944,11793300,,304056,5810836,5238316,4436276,,32239104,25291152,26350016,26599480,,32214628,26550236,27696204,28932428,,1912,32,32,1968,,334136,3364588,3392432,4702144
40,0,15,10,5,0,0,16339316,109875680,114792876,3944,12293684,,304404,5988796,5565732,4480384,,32249064,25101684,25993348,26531584,,32224592,26360984,27342728,28864572,,1912,32,32,1968,,334136,3535044,3667624,4756880
43,0,16,11,5,0,0,16903204,109362744,114282804,3944,12815284,,304280,6090440,5727984,4780500,,32246828,25017336,25859792,26238788,,32222432,26277572,27209456,28573344,,1912,32,32,1968,,334224,3640744,3849752,4990564
46,0,17,13,4,0,0,17356588,108888024,113809420,3944,13200856,,304132,6343200,5797620,4911636,,32245852,24754080,25776948,26111144,,32221460,26015376,27126700,28445884,,1912,32,32,1968,,334216,3827152,3909192,5130296
48,0,18,14,4,0,0,18032816,108210148,113133648,3944,13800484,,304452,6569700,6088296,5070368,,32242872,24536704,25489364,25941208,,32218488,25798600,26840148,28276412,,1912,32,32,1968,,334236,4052904,4125716,5287628
51,0,19,15,4,0,0,18604884,107621484,112546956,3944,14297164,,304164,6651004,6250292,5399424,,32242620,24460068,25324480,25594316,,32218248,25722328,26675592,27930788,,1912,32,32,1968,,334240,4132156,4283192,5547576
54,0,20,16,4,0,0,19220228,106976068,111968900,3944,14838496,,393352,6921976,6299288,5605612,,32149984,24170708,25257344,25398032,,32190592,25434724,26608604,27734980,,1912,32,32,1968,,399172,4338144,4336868,5764312
57,0,21,17,4,0,0,20165404,105972424,111107056,3944,15624228,,604124,7222532,6573096,5765652,,31893988,23860308,24988324,25229804,,32074076,25125384,26340616,27566980,,1912,32,32,1968,,530572,4628608,4541692,5923356
60,0,22,18,4,0,0,20927560,105159004,110382076,3944,16306020,,704004,7359512,6801708,6062336,,31756568,23728756,24761452,24912228,,32022760,24994288,26114124,27250904,,1912,32,32,1968,,610888,4756500,4783732,6154900
63,0,23,19,3,1,0,21772512,103417140,109710484,3952,17725912,,1262964,7403600,6891308,6214640,,30315020,23663252,24676624,24762244,,31650568,24929232,26029504,27101180,,1920,32,32,1968,,1737608,4799044,4871544,6317716
65,1,24,20,4,0,0,22156728,102793120,109310388,3952,18258772,,1312780,7577752,6916796,6349400,,30007300,23516084,24637612,24632124,,31565080,24783520,25990584,26971204,,1920,32,32,1968,,1958264,4959408,4890856,6450244
68,1,25,20,5,0,0,22467864,102330608,109036488,4000,18649420,,1418572,7616636,7070488,6362168,,29785764,23465608,24475808,24603428,,31530140,24733272,25829636,26943440,,1968,32,32,1968,,2144500,5000728,5040600,6463592
71,0,26,21,4,1,0,23328404,101442736,108411704,4000,19211844,,2013828,7628512,7218232,6467832,,29125644,23474280,24332272,24510540,,31132316,24742088,25686404,26850896,,1968,32,32,1968,,2450696,5001052,5190328,6569768
74,0,27,22,5,0,0,24402296,100317008,107458404,4000,20028648,,3079116,7631244,7222932,6469004,,28029552,23460212,24320620,24506624,,30208492,24728124,25674780,26847008,,1968,32,32,1968,,3267020,5001120,5190496,6570012
77,0,28,22,6,0,0,25154928,99539844,106709260,4000,20751700,,3577516,7733156,7374824,6469432,,27507840,23360704,24178316,24492984,,29714988,24628968,25532684,26832620,,1968,32,32,1968,,3709508,5103500,5369468,6569224
80,0,29,22,7,0,0,25713228,98960688,106131752,4000,21216072,,3996088,7796468,7407700,6512972,,27070376,23309760,24133836,24446716,,29278540,24578536,25488260,26786416,,1968,32,32,1968,,4048088,5155216,5401612,6611156
83,0,30,22,8,0,0,26372892,98280620,105453656,4000,21795680,,4433860,7845292,7425232,6668508,,26629872,23243272,24119716,24287760,,28839344,24512492,25474152,26627668,,1968,32,32,1968,,4420920,5204884,5401640,6768236
85,1,31,22,9,0,0,27017760,97605608,104786680,4000,22243180,,4943244,7972556,7417876,6684084,,26095116,23103756,24123424,24283312,,28311896,24373652,25477904,26623228,,1968,32,32,1968,,4783328,5274052,5401780,6784020
88,0,32,22,10,0,0,27922492,96712488,103900160,4000,22952800,,5285460,8203744,7659028,6774260,,25751064,22883208,23885540,24192676,,27973640,24153488,25240316,26532716,,1968,32,32,1968,,5015252,5503908,5561028,6872612
91,0,33,23,10,0,0,28743596,95893564,103092712,4000,23668920,,5560028,8379236,7770936,7033396,,25455812,22712292,23784656,23940804,,27688736,23983064,25139600,26281312,,1968,32,32,1968,,5251464,5671040,5681436,7064980
94,0,34,26,8,0,0,29502376,95082740,102285804,4000,24370772,,5911252,8549184,7834048,7207892,,25087712,22512744,23716468,23765816,,27323868,23783792,25071540,26106604,,1968,32,32,1968,,5536216,5837292,5751284,7245980
97,0,35,27,8,0,0,30554268,94018512,101226416,4000,25290384,,6402560,8760632,8002968,7388108,,24583400,22324968,23538872,23571272,,26822132,23596888,24895060,25912336,,1968,32,32,1968,,5946836,5987868,5932108,7423572
100,0,36,29,7,0,0,31773408,92767476,99983600,4000,26285944,,6762212,8985668,8399480,7626048,,24221024,22091512,23127760,23327180,,26465148,23364744,24484408,25669300,,1968,32,32,1968,,6174244,6206104,6247260,7658336
103,0,37,32,5,0,0,32753056,91789692,99009600,4000,27123368,,6982620,9177092,8647600,7945744,,23992868,21906648,22882744,23007432,,26239328,23180212,24239804,25350256,,1968,32,32,1968,,6305820,6394492,6514180,7908876
106,0,38,33,5,0,0,33480420,91028144,98251640,4000,27726860,,7233116,9262120,8899532,8085652,,23722480,21801832,22630984,22872848,,25971696,23075660,23988372,25215912,,1968,32,32,1968,,6418592,6478524,6767020,8062724
108,1,39,34,5,0,0,34414360,90060224,97289548,4000,28482624,,7657932,9571048,9007604,8177776,,23296992,21497688,22501580,22763964,,25550364,22772828,23859212,25107144,,1968,32,32,1968,,6735160,6725404,6867120,8154940
111,0,40,35,5,0,0,35313780,89158496,96394020,4000,29222220,,7838576,9864952,9301856,8308396,,23103816,21199268,22206732,22648680,,25360200,22474956,23565884,24992980,,1968,32,32,1968,,6826292,7003924,7108532,8283472
114,0,41,37,4,0,0,35923592,88539756,95794556,4000,29758196,,7889236,9938828,9449736,8645792,,23054848,21134620,22059688,22290600,,25329052,22410920,23419132,24635452,,1968,32,32,1968,,6868064,7083612,7246772,8559748
117,0,42,38,4,0,0,36524124,87896104,95242452,4000,30261988,,8205436,9974572,9512952,8831164,,22723076,21069100,22004540,22099388,,25087924,22345896,23364104,24444528,,1968,32,32,1968,,7083800,7117248,7305176,8755764
120,0,43,38,5,0,0,37095020,87295040,94658616,4000,30776724,,8443648,10194940,9504968,8951464,,22490472,20856900,21991220,21956448,,24866796,22135008,23354956,24301856,,1968,32,32,1968,,7317228,7275712,7312616,8871168
123,0,44,39,5,0,0,37663872,86707488,94073592,4000,31250256,,8516784,10393516,9727588,9025984,,22403472,20650452,21769888,21883676,,24780504,21929032,23133968,24230088,,1968,32,32,1968,,7385844,7457760,7463596,8943056
125,1,45,39,6,0,0,38328448,86036344,93407076,4000,31846948,,8544664,10460700,9994656,9328428,,22360208,20590720,21507308,21578108,,24739512,21869896,22872660,23925008,,1968,32,32,1968,,7403408,7532248,7729880,9181412
128,0,46,42,4,0,0,38817928,85558680,92933164,4000,32302744,,8690640,10537344,10171460,9418484,,22233172,20512528,21324528,21488452,,24614488,21792748,22690084,23835844,,1968,32,32,1968,,7509216,7607912,7903508,9282108
131,0,47,43,4,0,0,39514328,84817268,92194264,4000,32877072,,8969320,10797284,10210892,9536832,,21934884,20253168,21267296,21361920,,24317244,21533800,22633848,23709372,,1968,32,32,1968,,7738372,7792156,7953276,9393268
134,0,48,44,4,0,0,40419108,83949128,91328736,4000,33676196,,9147612,11073828,10527976,9669692,,21767872,19979104,20960684,21241468,,24150688,21260312,22327744,23589992,,1968,32,32,1968,,7878720,8069584,8204760,9523132
137,0,49,45,4,0,0,41176924,83155412,90537116,4000,34336892,,9309708,11278440,10649976,9938800,,21588688,19769552,20824744,20972428,,23972632,21051064,22191952,23321468,,1968,32,32,1968,,7991972,8283280,8332312,9729328
139,1,50,46,4,0,0,41842400,82466336,89850360,4000,34957464,,9515816,11472356,10752152,10102076,,21395888,19544928,20728292,20797228,,23780824,20827188,22095704,23146644,,1968,32,32,1968,,8149748,8476640,8431964,9899112
142,0,51,46,5,0,0,42917604,81352100,88744212,4000,35884296,,9800772,11810752,10992396,10313684,,21088052,19206440,20482100,20575508,,23478000,20490060,21850968,22925184,,1968,32,32,1968,,8382380,8724920,8665248,10111748
145,0,52,48,4,0,0,43903164,80364060,87759428,4000,36802176,,9952776,12148176,11265252,10536960,,20936860,18877776,20207324,20342100,,23327472,20162244,21576736,22692976,,1968,32,32,1968,,8555412,9045676,8865652,10335436
148,0,53,49,4,0,0,44899852,79354720,86752880,4000,37731776,,10113956,12286428,11513664,10985804,,20760368,18755412,19953232,19885708,,23151984,20040280,21323072,22237544,,1968,32,32,1968,,8710240,9182808,9116264,10722464
151,0,54,50,4,0,0,45579796,78669588,86070044,4000,38346880,,10345192,12434692,11594284,11205628,,20532664,18592040,19880080,19664804,,22925668,19877420,21250032,22016924,,1968,32,32,1968,,8902128,9293564,9201864,10949324
154,0,55,50,5,0,0,46432468,77780248,85185880,4000,39058492,,10625648,12579316,11871844,11355660,,20232948,18451184,19585224,19510892,,22626916,19739208,20956552,21863204,,1968,32,32,1968,,9143320,9413492,9410384,11091296
157,0,56,52,4,0,0,46904944,77261908,84671172,4000,39532976,,10655140,12756152,12054648,11439004,,20202232,18241128,19405760,19412788,,22597804,19529812,20777412,21766144,,1968,32,32,1968,,9224972,9539128,9597524,11171352
159,1,57,53,4,0,0,48012920,76161296,83574980,4000,40582268,,10815308,13074664,12296976,11825972,,20048964,17924008,19156060,19032264,,22447608,19213192,20527980,21386200,,1968,32,32,1968,,9351012,9856036,9876660,11498560
162,1,58,54,4,0,0,48767084,75389756,82806276,4000,41264864,,10982300,13172968,12528776,12083040,,19862348,17833096,18927028,18767284,,22261744,19122640,20300212,21121680,,1968,32,32,1968,,9451216,9944008,10107968,11761672
165,1,59,55,4,0,0,49652392,74493500,81912384,4000,41930868,,11367692,13360812,12695584,12228304,,19493700,17632416,18750912,18616472,,21893912,18923088,20124400,20970984,,1968,32,32,1968,,9689884,10068720,10260960,11911304
168,1,60,56,4,0,0,50269120,73840432,81261800,4000,42468080,,11462828,13623264,12909220,12273808,,19389104,17351240,18535536,18564552,,21789932,18642592,19909320,20919956,,1968,32,32,1968,,9767956,10326136,10424540,11949448
171,0,61,56,5,0,0,51144352,72955352,80380368,4000,43261144,,11642064,13774244,13118048,12609996,,19213864,17208312,18312716,18220460,,21616664,18500032,19686872,20576800,,1968,32,32,1968,,9926364,10477816,10635020,12221944
