Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,0,38348316,67814156,93148488,128,26069372,,5807332,15239892,12081432,5219660,,21469276,11146232,13296432,21902216,,27130312,19048284,19661452,27308440,,32,32,32,32,,5623568,8263076,6735924,5446804
2,1,1,0,1,0,0,0,38527656,67611072,92948180,128,26186060,,5807540,15239660,12081296,5399160,,21462908,11146896,13288532,21712736,,27123964,19049244,19655940,27119032,,32,32,32,32,,5623572,8263404,6738232,5560852
5,0,2,0,2,0,0,0,38726584,67419168,92758676,128,26371852,,5847956,15239472,12042872,5596284,,21423624,11153908,13317400,21524236,,27084692,19056432,19685140,26932412,,32,32,32,32,,5623584,8263524,6738624,5746120
7,0,3,0,3,0,0,0,39103568,67016776,92367324,128,26643256,,6112112,15302332,12053004,5636120,,21156636,11078692,13319184,21462264,,26817896,18989492,19687124,26872812,,32,32,32,32,,5851788,8271892,6738768,5780808
9,0,4,0,4,0,0,0,39586224,66527304,91911612,128,27064944,,6189384,15554392,12205120,5637328,,21060504,10840308,13164576,21461916,,26721776,18752360,19564792,26872684,,32,32,32,32,,5941980,8501096,6830472,5791396
11,1,5,2,3,0,0,0,40122220,66026736,91416064,128,27572632,,6207528,15627564,12420120,5867008,,21069884,10754332,12948080,21254440,,26731352,18666804,19352640,26665268,,32,32,32,32,,5966504,8595152,7041980,5968996
14,0,6,2,4,0,0,0,40371880,65746452,91136532,128,27801496,,6251248,15653320,12461996,6005316,,21027596,10724180,12882332,21112344,,26689084,18636920,19287144,26523384,,32,32,32,32,,5971656,8619356,7099944,6110540
16,0,7,3,4,0,0,0,40863120,65235352,90638600,128,28183508,,6533536,15662232,12608372,6058980,,20734628,10726816,12725940,21047968,,26396308,18641256,19137864,26463172,,32,32,32,32,,6205204,8626252,7191568,6160484
18,1,8,4,4,0,0,0,41236352,64843396,90251388,128,28529168,,6598656,15771240,12814308,6052148,,20650268,10617196,12517440,21058492,,26314020,18531972,18931492,26473904,,32,32,32,32,,6297368,8671372,7394540,6165888
21,0,9,5,4,0,0,0,41777124,64293744,89702860,128,29017572,,6634572,15995836,12841116,6305600,,20622068,10390032,12484420,20797224,,26286020,18305448,18898680,26212712,,32,32,32,32,,6333180,8894820,7445900,6343672
23,0,10,6,4,0,0,0,42053340,63991836,89402888,128,29264232,,6677920,16049432,12886380,6439608,,20578188,10323792,12430456,20659400,,26243280,18239540,18844964,26075104,,32,32,32,32,,6339808,8960548,7477676,6486200
25,0,11,7,4,0,0,0,42580308,63478768,88893524,128,29702152,,6962008,16075052,13066468,6476780,,20285456,10318276,12258340,20616696,,25951832,18234272,18673332,26034088,,32,32,32,32,,6590908,8984580,7587088,6539576
28,0,12,8,4,0,0,0,42992292,63053392,88474832,128,30064156,,7043964,16206652,13253056,6488620,,20196964,10163516,12076956,20615956,,25867448,18079820,18492404,26035160,,32,32,32,32,,6682976,9049936,7785272,6545972
30,0,13,9,4,0,0,0,43318712,62709316,88131608,128,30362864,,7090588,16422288,13299252,6506584,,20158556,9954560,12004524,20591676,,25829256,17870904,18420356,26011092,,32,32,32,32,,6706956,9268156,7831148,6556604
32,0,14,11,3,0,0,0,43935640,62082940,87503800,128,30898344,,7390116,16480624,13320400,6744500,,19850964,9888872,11994028,20349076,,25521708,17805540,18407988,25768564,,32,32,32,32,,6969688,9339128,7844292,6745236
34,1,15,11,4,0,0,0,44329068,61680756,87102564,128,31236840,,7464456,16499312,13455000,6910300,,19768780,9871780,11860252,20179944,,25439544,17788748,18272968,25601304,,32,32,32,32,,7054568,9355724,7926156,6900392
37,0,16,12,4,0,0,0,43991548,61590112,87009468,128,31213448,,7509924,16575464,13269992,6636168,,19731304,9776664,11645156,20436988,,25404312,17694028,18052716,25858412,,32,32,32,32,,7093432,9371496,8140492,6608028
39,0,17,12,4,0,0,1,44376524,61185704,86613520,128,31568700,,7135596,16842720,13322180,7076028,,20104080,9517444,11566172,19998008,,25777072,17442664,17974048,25419736,,32,32,32,32,,6724216,9635540,8200608,7008336
41,1,18,12,4,0,0,2,44499060,61065428,86495364,128,31713704,,7405396,16486952,13337472,7269240,,19841180,9866192,11567668,19790388,,25514428,17791860,17974896,25214180,,32,32,32,32,,6956764,9328388,8227536,7201016
44,0,19,12,4,0,0,3,45006160,60524744,85952752,128,32005704,,7796808,16822032,13362032,7025288,,19430332,9507708,11547936,20038768,,25103596,17434080,17949568,25465508,,32,32,32,32,,7312024,9539872,8236052,6917756
46,0,20,13,4,0,0,3,45927512,59578328,85027972,128,32875384,,7890892,17233528,13543084,7260008,,19324556,9088388,11367720,19797664,,24998012,17017920,17787576,25224464,,32,32,32,32,,7418792,9945388,8362196,7149008
48,1,21,15,3,0,0,3,46183096,59668828,85121592,128,32676132,,7685268,17316104,13861332,7320392,,19513772,8988616,11438860,19727580,,25187340,16918596,17861056,25154600,,32,32,32,32,,7158364,10042428,8256744,7218596
