Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,0,1382820,94408928,128031800,20960,34915248,,419584,318184,317652,327400,,23414244,24038272,24036692,22919720,,31933608,32054260,32054116,31989816,,5240,5240,5240,5240,,8844024,8343500,8344872,9382852
2,0,1,0,1,0,0,0,1503700,94266400,127889416,20960,35002676,,419764,318568,317528,447840,,23414748,24042972,24042208,22766472,,31934140,32059032,32059632,31836612,,5240,5240,5240,5240,,8844040,8343564,8344880,9470192
4,0,2,0,2,0,0,0,1575820,94146212,127770740,20960,35041212,,419620,375644,317680,462876,,23414216,23937652,24046880,22747464,,31933616,31955160,32064316,31817648,,5240,5240,5240,5240,,8844044,8367856,8344884,9484428
6,0,3,1,2,0,0,0,1742044,93932172,127559584,20960,35177260,,419804,446456,414332,461452,,23414628,23866400,23889856,22761288,,31934040,31886624,31907428,31831492,,5240,5240,5240,5240,,8844048,8436440,8407200,9489572
8,0,4,1,3,0,0,0,1778524,93761316,127581276,20960,35395964,,433628,440108,443380,461408,,23406284,23705172,23877460,22772400,,31925740,31917416,31895508,31842612,,5240,5240,5240,5240,,8844076,8628064,8434244,9489580
10,1,5,1,4,0,0,0,2001680,93162144,127194504,20960,35760184,,545084,444808,544844,466944,,23242688,23415340,23726040,22778076,,31762708,31839160,31744352,31848284,,5240,5240,5240,5240,,8933640,8832336,8499504,9494704
13,0,6,1,5,0,0,0,2023564,92728456,127163304,20960,36181984,,542084,453920,561144,466416,,23106480,23106856,23729820,22785300,,31791492,31767928,31748360,31855524,,5240,5240,5240,5240,,9098848,9064824,8523588,9494724
15,0,7,2,5,0,0,0,2275860,91990528,126774000,20960,36720356,,545936,577408,557932,594584,,22878048,22886680,23598004,22627796,,31738528,31549300,31787940,31698232,,5240,5240,5240,5240,,9268684,9168016,8694912,9588744
17,0,8,3,5,0,0,0,2315652,91519292,126717404,20960,37153020,,557384,588060,562528,607680,,22581916,22937812,23366904,22632660,,31680124,31600532,31733452,31703296,,5240,5240,5240,5240,,9501216,9184284,8865964,9601556
19,0,9,5,4,0,0,0,2571668,90780472,126287724,20960,37662728,,684420,593164,560260,733824,,22290180,22950764,23076936,22462592,,31454848,31613524,31685808,31533544,,5240,5240,5240,5240,,9670924,9189408,9103120,9699276
21,1,10,6,4,0,0,0,2680812,90647504,126209064,20960,37802380,,686124,667152,584684,742852,,22333332,22878440,22973720,22462012,,31498040,31541392,31636460,31533172,,5240,5240,5240,5240,,9679224,9230864,9179172,9713120
24,0,11,9,2,0,0,0,2874864,90483532,126045796,20960,37961320,,696768,739568,682540,755988,,22346776,22808836,22852508,22475412,,31511504,31472120,31515552,31546620,,5240,5240,5240,5240,,9689476,9301436,9244052,9726356
26,0,12,10,2,0,0,0,2936728,90494844,126057508,20960,38015760,,713716,733940,730320,758752,,22343188,22866848,22803916,22480892,,31508016,31530168,31467212,31552112,,5240,5240,5240,5240,,9694692,9301444,9290764,9728860
28,0,13,11,2,0,0,0,3208260,90180832,125744212,20960,38236800,,841940,749488,725640,891192,,22183180,22856916,22826864,22313872,,31348368,31520268,31490200,31385376,,5240,5240,5240,5240,,9801040,9316852,9291116,9827792
30,0,14,12,2,0,0,0,3310700,90098376,125662168,20960,38299184,,841776,818116,741312,909496,,22202032,22762184,22838460,22295700,,31367252,31425660,31501820,31367436,,5240,5240,5240,5240,,9806228,9340912,9306524,9845520
32,0,15,13,2,0,0,0,3518232,89910720,125475288,20960,38477436,,852088,899972,852576,913596,,22223576,22664132,22718320,22304692,,31388820,31328040,31381988,31376440,,5240,5240,5240,5240,,9816492,9433296,9371848,9855800
