Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,1,34726056,75782992,97729004,128,22264404,,4905188,11869080,12229188,5722600,,22050888,15861232,15284744,22586128,,28152796,21017280,20190876,28368052,,32,32,32,32,,5720368,5511096,5265868,5767072
3,0,1,0,1,0,0,34743744,75763424,97710184,128,22265220,,4921872,11869020,12228968,5723884,,22026728,15869068,15280168,22587460,,28128704,21025164,20186736,28369580,,32,32,32,32,,5720492,5511144,5266296,5767288
5,0,2,0,2,0,0,35300600,75163248,97142020,128,22727040,,5198076,11878804,12229280,5994440,,21727432,15866024,15272368,22297424,,27829544,21022340,20179100,28111036,,32,32,32,32,,5966904,5511364,5266512,5982260
7,0,3,0,3,0,0,35667996,74785824,96830324,128,23071404,,5259000,11863032,12424600,6121364,,21658088,15885148,15075480,22167108,,27760216,21041580,20047800,27980728,,32,32,32,32,,6040884,5511512,5411556,6107452
9,1,4,0,4,0,0,36079228,74337832,96455048,128,23440228,,5282892,12036216,12619692,6140428,,21654424,15704600,14863668,22115140,,27756620,20925396,19836564,27936468,,32,32,32,32,,6059832,5615772,5618680,6145944
12,0,5,1,4,0,0,36517476,73875504,95993092,128,23835276,,5287748,12227832,12656304,6345592,,21648948,15494264,14825220,21907072,,27751280,20715176,19798160,27728476,,32,32,32,32,,6065096,5821104,5664944,6284132
14,0,6,2,4,0,0,36816072,73547476,95673480,128,24110536,,5330448,12295416,12672512,6517696,,21597300,15414116,14814556,21721504,,27699708,20636328,19794328,27543116,,32,32,32,32,,6070416,5899064,5684344,6456712
16,0,7,3,4,0,0,37300076,73051924,95185116,128,24518016,,5591968,12322780,12839132,6546196,,21328268,15380216,14630192,21713248,,27430772,20609192,19610248,27534904,,32,32,32,32,,6311692,5929720,5780900,6495704
18,1,8,4,4,0,0,37698744,72637880,94772872,128,24867116,,5666908,12442392,13033224,6556220,,21240556,15256560,14434588,21706176,,27343068,20486844,19414892,27528068,,32,32,32,32,,6397424,5980028,5985332,6504332
21,0,9,5,4,0,0,38051924,72267060,94405232,128,25176668,,5723800,12667400,13098688,6562036,,21194396,15018232,14359332,21695100,,27297684,20249080,19341456,27517012,,32,32,32,32,,6425508,6204040,6037568,6509552
23,0,10,6,4,0,0,38630020,71688148,93827616,128,25665424,,6003016,12721148,13111392,6794464,,20915132,14954932,14352964,21465120,,27018436,20185996,19335884,27287300,,32,32,32,32,,6673816,6269052,6048192,6674364
25,0,11,7,4,0,0,39053236,71259592,93400692,128,26034600,,6077276,12739156,13280316,6956488,,20834144,14946444,14191600,21287404,,26937588,20178712,19174792,27109600,,32,32,32,32,,6761488,6288092,6148892,6836128
27,1,12,8,4,0,0,39449416,70871308,93015740,128,26378620,,6121884,12853892,13476980,6996660,,20791436,14836040,13994148,21249684,,26896788,20068720,18977400,27072832,,32,32,32,32,,6794468,6340084,6357404,6886664
30,0,13,9,4,0,0,39883052,70429772,92526740,128,26674560,,6139052,13171424,13571620,7000956,,20769840,14514868,13897572,21247492,,26876892,19747656,18829900,27072292,,32,32,32,32,,6813364,6600768,6363680,6896748
32,0,14,10,4,0,0,39851328,70009032,92107140,128,27070968,,6142528,13457656,13239180,7011964,,20765052,14214328,13799072,21230580,,26872156,19447488,18732104,27055392,,32,32,32,32,,6817532,6886752,6459600,6907084
34,0,15,11,4,0,0,40211516,69604896,91699716,128,27401504,,6193144,13532996,13458500,7026876,,20709020,14101948,13572316,21221612,,26816160,19334564,18502360,27046632,,32,32,32,32,,6831760,6972664,6675608,6921472
36,1,16,11,5,0,0,40815760,69033612,91127172,128,27908924,,6471612,13572052,13500892,7271204,,20430992,14097856,13524124,20980640,,26538316,19332296,18450812,26805748,,32,32,32,32,,7073548,7010100,6724884,7100392
39,0,17,13,4,0,0,41211368,68616364,90706524,128,28264864,,6555828,13701012,13534696,7419832,,20341760,13964172,13495764,20814668,,26449092,19194676,18421128,26641628,,32,32,32,32,,7182668,7071072,6753484,7257640
41,0,18,15,3,0,0,41663412,68154288,90249864,128,28639560,,6597488,13917996,13678500,7469428,,20298368,13756736,13344740,20754444,,26407228,18982892,18278316,26581428,,32,32,32,32,,7215136,7285292,6843696,7295436
43,1,19,15,4,0,0,42243896,67561844,89657684,128,29172740,,6612392,13997868,13903232,7730404,,20279720,13651188,13118468,20512468,,26388592,18879460,18049068,26340564,,32,32,32,32,,7230288,7377612,7062552,7502288
46,0,20,15,5,0,0,42071960,67301016,89391936,128,29439480,,6655252,13578948,13975236,7862524,,20260440,13619792,13053320,20367464,,26371568,18845400,17979144,26195824,,32,32,32,32,,7245324,7412644,7133992,7647520
48,0,21,17,4,0,0,42621144,66731812,88826140,128,29858388,,6970368,13714992,14003212,7932572,,19936536,13471256,13030568,20293452,,26047680,18711408,17952216,26114836,,32,32,32,32,,7507436,7495988,7157012,7697952
50,1,22,19,3,0,0,42532384,66337836,88425612,128,30218328,,7076592,13952316,14030412,7473064,,19807528,13237996,13004452,20287860,,25918700,18474752,17927224,26104936,,32,32,32,32,,7606124,7723096,7179004,7710104
53,0,23,20,3,0,0,43513020,65725052,87823724,128,30699584,,7381032,14041388,14601144,7489456,,19490644,13146448,12816572,20271388,,25603368,18378116,17753668,26088572,,32,32,32,32,,7860240,7814772,7299740,7724832
55,0,24,20,4,0,0,44550884,65076172,87183348,128,31306292,,7473772,14473772,14823820,7779520,,19387308,13113800,12599632,19975432,,25500172,18338576,17536780,25807820,,32,32,32,32,,7977144,7851800,7520976,7956372
57,0,25,21,4,0,0,44902248,64695112,86816664,128,31584376,,7521888,14572516,14878580,7929264,,19345548,13012308,12514888,19822368,,25460464,18256044,17450484,25649672,,32,32,32,32,,8019752,7882728,7581968,8099928
59,1,26,22,4,0,0,45417044,64188936,86312516,128,32053364,,7555420,14826164,15057428,7978032,,19312296,12753752,12354748,19768140,,25428576,17993708,17296156,25594076,,32,32,32,32,,8051664,8145952,7697448,8158300
62,0,27,23,4,0,0,45830588,63762596,85877684,128,32436112,,7616840,14915172,15293144,8005432,,19243092,12664124,12111216,19744164,,25359728,17901196,17046452,25570308,,32,32,32,32,,8075076,8244672,7934216,8182148
64,0,28,24,4,0,0,46499600,63112948,85232924,128,33007396,,7916100,14975104,15332764,8275632,,18938728,12628576,12070148,19475496,,25055356,17860152,17005728,25311688,,32,32,32,32,,8343472,8293376,7986892,8383656
66,1,29,25,4,0,0,46838668,62741912,84856984,128,33338960,,8043088,14995308,15374316,8425956,,18805324,12588704,12032944,19314940,,24922152,17816228,16967448,25151156,,32,32,32,32,,8454656,8315988,8019352,8548964
69,0,30,26,4,0,0,47211340,62798692,84923988,128,33143892,,7897072,15016524,15607472,8690272,,18962016,12565452,11793624,19477600,,25080248,17793080,16734828,25315832,,32,32,32,32,,8293460,8336576,8178408,8335448
71,0,31,26,3,0,0,48086136,61898876,84043956,128,33930772,,8287032,15164916,15798152,8836036,,18546484,12416904,11599992,19335496,,24664900,17662872,16541288,25174896,,32,32,32,32,,8643472,8422612,8371880,8492808
74,0,32,27,3,0,0,48108880,61892884,84037008,128,33844240,,8392740,15439572,15431584,8844984,,18435264,12143460,11991324,19322836,,24555040,17385392,16932668,25163908,,32,32,32,32,,8758720,8684296,7982084,8419140
76,0,33,27,3,0,0,48992520,61014020,83163152,128,34623876,,8442228,15595472,15765560,9189260,,18393376,11982628,11658148,18979868,,24514632,17220852,16604668,24823000,,32,32,32,32,,8810536,8769804,8281572,8761964
78,1,34,27,4,0,0,48258944,61753956,83916740,128,33846008,,8142752,15426512,15847524,8842156,,18688520,12183216,11572012,19310208,,24809884,17432368,16519528,25154960,,32,32,32,32,,8454908,8614224,8375608,8401268
81,0,35,27,3,0,0,48373352,61633916,83798272,128,33861412,,8265996,15812304,15133256,9161796,,18551448,11780436,12302764,18999268,,24672936,17031176,17248804,24845356,,32,32,32,32,,8560888,8958280,7620396,8721848
83,1,36,25,4,0,0,49479232,60466636,82636100,128,34852252,,8654308,15496080,15880060,9448784,,18142308,12092292,11530980,18701056,,24263888,17344516,16480276,24547420,,32,32,32,32,,8921112,8650336,8321352,8959452
86,0,37,28,3,0,0,50504096,59393904,81570052,128,35807504,,8782344,15814912,16273372,9633468,,18009636,11760012,11102744,18521512,,24134708,17014496,16052164,24368684,,32,32,32,32,,9060204,8929692,8663900,9153708
88,0,38,30,4,0,0,51025864,58850656,81033044,128,36307000,,8872288,15904444,16548300,9700832,,17932540,11668540,10825068,18424508,,24059400,16923292,15776932,24273420,,32,32,32,32,,9105984,9042040,8931952,9227024
91,0,39,35,3,0,0,51551784,58315360,80503476,128,36737704,,9201320,16017940,16586668,9745856,,17604788,11536096,10773644,18400832,,23732960,16792756,15725944,24251816,,32,32,32,32,,9396616,9090692,8984560,9265836
93,0,40,36,4,0,0,52274904,57617232,79802332,128,37428608,,9298168,16296148,16647320,10033268,,17512800,11259176,10744160,18101096,,23640980,16515904,15693100,23952348,,32,32,32,32,,9517872,9383028,9039300,9488408
95,0,41,36,4,0,0,51575752,57315140,79499132,128,37595744,,9066900,15914968,16395076,10198808,,17729068,11141844,10513504,17930724,,23858416,16398600,15460128,23781988,,32,32,32,32,,9259348,9493196,9190780,9652420
98,0,42,36,4,0,0,51969792,57426764,79614600,128,37451908,,9281348,15784668,16633896,10269880,,17515728,11776732,10277676,17856628,,23645432,17035400,15225056,23708712,,32,32,32,32,,9472860,8814484,9434348,9730216
100,0,43,36,3,0,0,52578552,57210752,79406056,128,37533444,,9380316,16495348,16874612,9828276,,17398044,11057948,10454560,18300200,,23528408,16317148,15409800,24150700,,32,32,32,32,,9546868,9478692,9187948,9319936
102,1,44,37,3,0,0,52955936,56836328,79027616,128,37804264,,9699852,16690060,16715648,9850376,,17083508,10835672,10642156,18274992,,23214804,16088832,15598944,24125036,,32,32,32,32,,9834772,9687180,9016064,9266248
105,0,45,36,4,0,0,53696604,55564324,77765496,128,38908960,,9790400,16912460,16548604,10445140,,16986276,10611232,10305604,17661212,,23117700,15875764,15260728,23511304,,32,32,32,32,,9957240,9833476,9323844,9794400
107,0,46,39,4,0,0,53944376,55286204,77482680,128,39159916,,9860204,16675540,16804960,10603672,,16926128,10839500,10035520,17485056,,23058944,16101268,14991908,23330560,,32,32,32,32,,10025072,9643344,9522588,9968912
109,1,47,38,4,0,0,53416352,54891824,77090172,128,39407080,,9547748,16568760,17081252,10218592,,17230308,10468900,9773108,17419508,,23363192,15730880,14729744,23266356,,32,32,32,32,,9648384,9939952,9775988,10042756
112,0,48,42,4,0,0,54018332,53800460,76009604,128,40453172,,10137912,16254024,17105596,10520800,,16635224,10309868,9746440,17108928,,22768308,15569776,14703384,22968136,,32,32,32,32,,10219500,10113648,9828376,10291648
114,0,49,44,3,0,0,54602272,53168796,75381024,128,40974880,,10293900,16450164,17175228,10682980,,16452652,10091120,9694556,16930468,,22585752,15361580,14648664,22785028,,32,32,32,32,,10384524,10244160,9891676,10454520
