Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,12784312,108970736,120777488,7920,13292852,,1766360,4426944,4467836,2123172,,28947204,25355884,25891024,28776624,,31384704,29123684,29067080,31202020,,1980,1980,1980,1980,,2810140,4128140,3555072,2799500
4,0,1,0,1,0,1,12834008,108902004,120712928,7920,13296252,,1781500,4426016,4470228,2156264,,28941432,25337044,25882024,28741504,,31380872,29105400,29058668,31167988,,1980,1980,1980,1980,,2811824,4128684,3555664,2800080
6,0,2,1,1,0,1,12882648,108826492,120637760,7920,13296648,,1809996,4425416,4469764,2177472,,28904480,25324852,25867312,28729848,,31344024,29093292,29044068,31156376,,1980,1980,1980,1980,,2811984,4128772,3555792,2800100
8,1,3,2,1,0,1,12937864,108804228,120622012,7920,13302132,,1817556,4425216,4484940,2210152,,28896568,25351248,25867412,28689000,,31342128,29119828,29044508,31115548,,1980,1980,1980,1980,,2816956,4128900,3556168,2800108
11,0,4,2,2,0,1,13049848,108659152,120485964,7920,13307752,,1851608,4436860,4530092,2231288,,28856144,25339432,25796584,28666992,,31301716,29109696,28980996,31093556,,1980,1980,1980,1980,,2816968,4129396,3561252,2800136
13,0,5,4,1,0,1,13200012,108501860,120334264,7920,13312900,,1912340,4496468,4561464,2229740,,28797492,25270100,25761240,28673028,,31243084,29045832,28945736,31099612,,1980,1980,1980,1980,,2817012,4134400,3561332,2800156
15,0,6,5,1,0,1,13312088,108371712,120206416,7920,13313744,,1934780,4527452,4582308,2267548,,28758856,25229240,25755832,28627784,,31205676,29004956,28940432,31055352,,1980,1980,1980,1980,,2817476,4134424,3561424,2800420
17,0,7,6,1,0,1,13424820,108244940,120081348,7920,13314696,,1970964,4545228,4610008,2298620,,28729988,25211724,25706476,28596752,,31176868,28987576,28892564,31024340,,1980,1980,1980,1980,,2817508,4134564,3562188,2800436
19,1,8,7,1,0,1,13536268,108127432,119967376,7920,13317588,,1989504,4547784,4664460,2334520,,28711920,25210732,25648480,28556300,,31158808,28987216,28837456,30983896,,1980,1980,1980,1980,,2817516,4134632,3564996,2800444
21,1,9,8,1,0,1,13646904,108021992,119862980,7920,13318344,,2021960,4598256,4691780,2334908,,28673104,25161096,25622740,28565052,,31120044,28938372,28811892,30992672,,1980,1980,1980,1980,,2817596,4135136,3565156,2800456
24,0,10,9,1,0,1,13736308,107933044,119776544,7920,13319256,,2043416,4624732,4692800,2375360,,28642608,25145200,25621800,28523436,,31090640,28922608,28811096,30952200,,1980,1980,1980,1980,,2817800,4135280,3565312,2800864
26,0,11,10,1,0,1,13827964,107827860,119671868,7920,13319800,,2073064,4651312,4692520,2411068,,28618732,25104980,25629276,28474872,,31066708,28882728,28818700,30903732,,1980,1980,1980,1980,,2817828,4135656,3565432,2800884
28,0,12,10,2,0,1,13918656,107743952,119590608,7920,13320920,,2093516,4666432,4719820,2438888,,28599492,25088364,25597452,28458644,,31047488,28867592,28788052,30887476,,1980,1980,1980,1980,,2817828,4136324,3565876,2800892
30,0,13,12,1,0,1,13929756,107731644,119578548,7920,13321128,,2093868,4703020,4760112,2372756,,28597760,25062784,25560888,28510212,,31045768,28842192,28751652,30938936,,1980,1980,1980,1980,,2817832,4136492,3566040,2800764
32,1,14,13,1,0,0,14084012,107590736,119437988,7920,13321452,,2127504,4744204,4797076,2415228,,28573924,25014176,25514404,28488232,,31021956,28793752,28705300,30916980,,1980,1980,1980,1980,,2817868,4136640,3566164,2800780
35,0,15,14,1,0,0,14149632,107510512,119360444,7920,13322672,,2145944,4749240,4816856,2437592,,28556156,25005572,25491648,28457136,,31005324,28785196,28683896,30886028,,1980,1980,1980,1980,,2818264,4136684,3566808,2800916
37,0,16,15,1,0,0,14249344,107396476,119247356,7920,13323208,,2177768,4762748,4863088,2445740,,28520336,24982088,25441396,28452656,,30969576,28762300,28633916,30881564,,1980,1980,1980,1980,,2818284,4137036,3566956,2800932
39,0,17,16,1,0,0,14369436,107284536,119136880,7920,13324152,,2209524,4814112,4899740,2446060,,28483848,24926988,25415316,28458384,,30933196,28708048,28608320,30887316,,1980,1980,1980,1980,,2818440,4137344,3567412,2800956
