Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,38434236,71644844,106017760,5388,34864788,,8142204,8464116,12247924,9579992,,21125120,19587516,15408244,15523964,,28897880,28601968,24363648,24154264,,1988,1988,644,768,,7889604,9083964,9103040,8788180
3,0,1,0,1,0,0,38479796,71592232,105966020,5388,34865680,,8177896,8464852,12255960,9581088,,21095444,19585588,15395592,15515608,,28868216,28600052,24351340,24146412,,1988,1988,644,768,,7889616,9083988,9103372,8788704
5,0,2,0,2,0,0,38831288,71205224,105579640,5388,35173212,,8449648,8590972,12202940,9587728,,20811484,19436384,15435880,15521476,,28584328,28450908,24391808,24152596,,1988,1988,644,768,,8132196,9148464,9103540,8789012
7,1,3,0,3,0,0,39342900,70705292,105080128,5388,35636140,,8511692,8816400,12195040,9819768,,20750800,19214584,15452092,15287816,,28523668,28229120,24408268,23919072,,1988,1988,644,768,,8205764,9375100,9103776,8951500
10,0,4,0,4,0,0,39680804,70335604,104710744,5388,35893048,,8527368,8848104,12349500,9955832,,20733644,19172424,15288424,15141112,,28506532,28186980,24244804,23772428,,1988,1988,644,768,,8217844,9415320,9163316,9096568
12,0,5,2,3,0,0,40189100,69842580,104218500,5388,36392092,,8714688,8971116,12569664,9933632,,20533632,19075456,15065912,15167580,,28306596,28090124,24022400,23799380,,1988,1988,644,768,,8338616,9536164,9397044,9120268
14,1,6,2,4,0,0,40614116,69416328,103792884,5388,36745536,,8973332,9097436,12605040,9938308,,20275364,18942832,15019592,15178540,,28048384,27957676,23976316,23810508,,1988,1988,644,768,,8594340,9598200,9432524,9120472
17,0,7,2,5,0,0,41231064,68765356,103142500,5388,37279504,,9029928,9327780,12752472,10120884,,20210392,18696844,14884564,14973556,,27983416,27711836,23841476,23605772,,1988,1988,644,768,,8662444,9828072,9554492,9234496
19,0,8,4,4,0,0,41741948,68211784,102589356,5388,37735616,,9156992,9366896,12903660,10314400,,20107096,18627456,14708896,14768336,,27880188,27642452,23666112,23400604,,1988,1988,644,768,,8786780,9873076,9648620,9427140
21,0,9,4,5,0,0,42325984,67636964,102015144,5388,38287536,,9289216,9467344,13124304,10445120,,19959472,18537268,14499184,14641040,,27732600,27552288,23456788,23273468,,1988,1988,644,768,,8889076,9975320,9854108,9569032
23,1,10,5,5,0,0,42966296,66980464,101359520,5388,38816544,,9578568,9664864,13154232,10568632,,19665296,18359956,14445136,14510076,,27438436,27375500,23402876,23142708,,1988,1988,644,768,,9149048,10092588,9884688,9690220
26,0,11,7,4,0,0,43662196,66294248,100674116,5388,39468292,,9631388,9914460,13342280,10774068,,19587936,18108508,14296032,14301772,,27361088,27124228,23254188,22934612,,1988,1988,644,768,,9210948,10358720,10069496,9829128
28,0,12,9,3,0,0,44204440,65735352,100115664,5388,39956432,,9766288,9964028,13541532,10932592,,19476248,18036892,14071244,14150968,,27249472,27052684,23029656,22783852,,1988,1988,644,768,,9343628,10418664,10199144,9994996
30,0,13,9,4,0,0,44943108,64973672,99354400,5388,40640976,,10029844,10067056,13747920,11098288,,19216736,17936132,13856048,13964756,,26990040,26951988,22814520,22597852,,1988,1988,644,768,,9546616,10526864,10407204,10160292
33,0,14,9,5,0,0,45651484,64251744,98633052,5388,41284940,,10296460,10294400,13770680,11289944,,18952716,17703652,13815252,13780124,,26726024,26719684,22773908,22413436,,1988,1988,644,768,,9809116,10688196,10441460,10346168
35,0,15,11,4,0,0,46365976,63535524,97918604,5388,41968232,,10350768,10644132,13862048,11509028,,18870540,17362168,13737680,13565136,,26643856,26378804,22696676,22199268,,1988,1988,644,768,,9873188,11033280,10562532,10499232
37,0,16,13,3,0,0,47147424,62734184,97117832,5388,42695652,,10583592,10684564,14225200,11654068,,18655996,17287644,13371276,13419268,,26429392,26304308,22330596,22053536,,1988,1988,644,768,,10105300,11083752,10851084,10655516
39,1,17,13,4,0,0,47744408,62146364,96530660,5388,43258168,,10743984,10782116,14433456,11784852,,18492952,17215544,13168300,13269568,,26266376,26232568,22127812,21903904,,1988,1988,644,768,,10234812,11182064,11057116,10784176
42,0,18,14,4,0,0,48672356,61183012,95568296,5388,44101984,,11096144,11117668,14449176,12009368,,18113592,16884848,13131552,13053020,,25887068,25902216,22091112,21687900,,1988,1988,644,768,,10553784,11452612,11089984,11005604
44,0,19,15,4,0,0,49254228,60619416,95005432,5388,44630564,,11154208,11350236,14638904,12110880,,18058472,16651740,12943404,12965800,,25831964,25669192,21903340,21600936,,1988,1988,644,768,,10623816,11684664,11215584,11106500
46,0,20,16,4,0,0,50192180,59664340,94049744,5388,45499804,,11312576,11498076,15026076,12355452,,17889544,16487540,12561780,12725476,,25663100,25504048,21521812,21360784,,1988,1988,644,768,,10775492,11840528,11596036,11287748
48,1,21,16,5,0,0,50958296,58861376,93248420,5388,46213196,,11670724,11624536,15181972,12481064,,17535688,16365772,12387084,12572832,,25309316,25383344,21347480,21208280,,1988,1988,644,768,,11068944,11965340,11754252,11424660
51,0,22,19,3,0,0,52124972,57716676,92105572,5388,47359020,,12021472,11857516,15371996,12873988,,17190560,16124452,12217316,12184348,,24964200,25142312,21179068,20819992,,1988,1988,644,768,,11428684,12133128,11975884,11821324
53,0,23,20,3,0,0,53025092,56795908,91185592,5388,48200980,,12077072,12286244,15379004,13282772,,17127168,15684052,12208620,11776068,,24900812,24702008,21170864,20411908,,1988,1988,644,768,,11492760,12562120,11978708,12167392
55,1,24,20,4,0,0,53793672,55979864,90371156,5388,48909692,,12307520,12419416,15675188,13391548,,16885412,15541420,11904836,11648196,,24659920,24559380,20867608,20284248,,1988,1988,644,768,,11724212,12704944,12196752,12283784
58,0,25,22,3,0,0,54678008,55112324,89506740,5388,49762076,,12547608,12652948,15977888,13499564,,16649044,15322208,11601312,11539760,,24423588,24341944,20564168,20177040,,1988,1988,644,768,,11931924,12939172,12502288,12388692
