Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,32629836,70923640,104234732,4016,33942168,,10173956,8484836,5746028,8225016,,19010512,19490312,16444432,15978384,,26835900,28571908,24504444,24322480,,1988,1988,16,24,,7930604,9142640,8310936,8557988
3,0,1,0,1,0,0,30596240,72939868,106251200,4016,33942264,,8136064,8488800,5745552,8225824,,21034732,19487064,16434444,15983628,,28860128,28568680,24494588,24327804,,1988,1988,16,24,,7930492,9142652,8311052,8558068
5,0,2,1,1,0,0,30916160,72632232,105944216,4016,33943004,,8443944,8503616,5738796,8229804,,20732852,19483268,16443348,15972764,,28558340,28564892,24503588,24317396,,1988,1988,16,24,,7930624,9142704,8311148,8558528
7,0,3,2,1,0,0,31440328,72134004,105450536,4016,33947732,,8638968,8811992,5756244,8233124,,20550428,19171800,16432628,15979148,,28375932,28253532,24497144,24323928,,1988,1988,16,24,,7930636,9142940,8315492,8558664
9,1,4,2,2,0,0,32605564,70943640,104259960,4016,33947688,,8944120,9210756,6101512,8349176,,20238468,18772744,16086420,15846008,,28063180,27854484,24151320,24190976,,1988,1988,16,24,,7929720,9142952,8315988,8559028
12,0,5,3,2,0,0,33682500,69847812,103164516,4016,33948092,,9158332,9413636,6464492,8646040,,20016656,18565488,15721340,15544328,,27841428,27647236,23786436,23889416,,1988,1988,16,24,,7929800,9142960,8316188,8559144
14,0,6,5,1,0,0,35539140,68004900,101321932,4016,33948556,,9876000,9826108,6772604,9064428,,19301072,18157652,15407236,15138940,,27125984,27239452,23472388,23484108,,1988,1988,16,24,,7930012,9143100,8316220,8559224
16,0,7,5,2,0,0,36711908,66830884,100148544,4016,33949204,,10377244,10039304,6999764,9295596,,18811492,17941088,15175780,14902524,,26636416,27022928,23241372,23247828,,1988,1988,16,24,,7930024,9143120,8316668,8559392
18,1,8,6,2,0,0,38407928,65131188,98449124,4016,33949592,,10889612,10233324,7704720,9580272,,18290308,17741648,14468824,14630408,,26115240,26823492,22534516,22975876,,1988,1988,16,24,,7930032,9143124,8316844,8559592
21,0,9,6,3,0,0,40165308,63388020,96706416,4016,33950124,,11433824,10541768,8308724,9880992,,17756704,17436632,13872504,14322180,,25581680,26518480,21938516,22667740,,1988,1988,16,24,,7930060,9143132,8317248,8559684
23,0,10,7,3,0,0,37599784,65946624,99267732,4016,33953060,,10080948,8608360,8720300,10190176,,19098772,19377356,13468276,14002220,,26925924,28459312,21534360,22348136,,1988,1988,16,24,,7932320,9143352,8317292,8560096
25,0,11,9,1,0,0,38216736,65340084,98661352,4016,33953608,,10582872,9634172,7080000,10919692,,18586012,18361344,15107252,13285476,,26413180,27443380,23173252,21631540,,1988,1988,16,24,,7932336,9143632,8317172,8560468
