Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,0,42668384,69458880,107222392,7920,38640108,,6721360,14393836,13725308,7827880,,23085340,12254608,12847676,21271256,,30504180,23283408,23719900,29714904,,1980,1980,1980,1980,,7419160,11329168,11176180,8715600
4,0,1,0,1,0,0,0,42726548,69432284,107195260,7920,38639548,,6773684,14394464,13728512,7829888,,23045436,12265636,12839444,21281768,,30463428,23294500,23711904,29725428,,1980,1980,1980,1980,,7418272,11329232,11176424,8715620
6,1,2,0,2,0,0,0,43186496,68995428,106759128,7920,39060448,,7007920,14400432,13696436,8081708,,22809236,12255864,12882732,21047596,,30227648,23284856,23755280,29491344,,1980,1980,1980,1980,,7646332,11329356,11176512,8908248
9,0,3,0,3,0,0,0,43528196,68612272,106376776,7920,39355248,,7064964,14399540,13889172,8174520,,22726460,12242724,12698840,20944248,,30145044,23272064,23571660,29388008,,1980,1980,1980,1980,,7725560,11329712,11290676,9009300
12,0,4,0,4,0,0,0,43777856,68360564,106006908,7920,39541620,,7117796,14413488,14028604,8217968,,22679040,12244836,12548140,20888548,,30097760,23155684,23421132,29332332,,1980,1980,1980,1980,,7780808,11271928,11439612,9049272
14,0,5,1,4,0,0,0,44400484,67711532,105359204,7920,40092284,,7337524,14601340,14075644,8385976,,22460852,12053004,12484984,20712692,,29880240,22963996,23358436,29156532,,1980,1980,1980,1980,,7917180,11457956,11498780,9218368
17,0,6,2,4,0,0,0,45097152,67038204,104694672,7920,40732824,,7559892,14664920,14209744,8662596,,22220568,11997024,12351484,20469128,,29640520,22908188,23225224,28920740,,1980,1980,1980,1980,,8155016,11528924,11617964,9430920
20,0,7,2,5,0,0,0,45572372,66529188,104186948,7920,41177788,,7620012,14735080,14464516,8752764,,22162408,11903168,12097472,20366140,,29582572,22814744,22971880,28817752,,1980,1980,1980,1980,,8225736,11596288,11823416,9532348
23,0,8,4,4,0,0,0,46118384,65976988,103641324,7920,41652252,,7695556,14993804,14601940,8827084,,22076000,11646508,11963776,20290704,,29496760,22560700,22838668,28745196,,1980,1980,1980,1980,,8298852,11790384,11957280,9605736
25,1,9,5,4,0,0,0,46654160,65440948,103107164,7920,42120996,,7892700,15147440,14662336,8951684,,21892132,11497160,11892548,20159108,,29313420,22412244,22767888,28613612,,1980,1980,1980,1980,,8417396,11965664,12009204,9728732
