Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,0,0,0,1,0,0,9476372,28336224,,776176,695684,3146732,1825732,3032048,,4582732,4094024,6024524,8577128,5057816
2,11,0,0,0,1,0,0,9477096,28344988,,776176,695784,3147176,1825752,3032208,,4587144,4094660,6026348,8574504,5062332
3,17,1,1.50344e+08,1,1,0,0,9504536,27760056,,776184,695808,3181904,1825712,3024928,,4585448,4093796,5664344,8576088,4840380
4,22,1,1.30765e+08,1,2,0,0,9510528,27476700,,776180,695756,3183124,1825752,3029716,,4584292,4091756,5483956,8576484,4740212
5,28,2,3.06673e+08,3,2,0,0,9533028,27306376,,776180,695740,3183216,1825756,3052136,,4584964,4093456,5328004,8573844,4726108
6,34,3,4.76236e+08,3,3,0,0,9536332,26894504,,776184,695760,3184456,1827464,3052468,,4581824,4087140,5300800,8395468,4529272
7,39,2,3.16109e+08,3,4,0,0,9539008,26652112,,776176,695788,3184464,1827448,3055132,,4588748,4084600,5294068,8159928,4524768
8,45,2,2.72399e+08,3,5,0,0,9542024,26625176,,776188,695760,3184472,1830420,3055184,,4584528,4083320,5278232,8147552,4531544
9,51,3,4.74249e+08,4,5,0,0,9543080,26407608,,776184,695764,3185500,1830420,3055212,,4584656,4092844,5044116,8145708,4540284
10,56,3,4.73053e+08,4,6,0,0,9579736,26059332,,776188,695772,3185568,1863036,3059172,,4588492,4093452,4967052,7902152,4508184
11,62,4,5.68609e+08,5,6,0,0,9580352,25822680,,776200,695776,3185584,1864472,3058320,,4581752,4089772,4965360,7806632,4379164
12,68,4,6.23027e+08,6,6,0,0,9583252,25451788,,777976,695764,3185576,1864488,3059448,,4385276,4081812,4955092,7809620,4219988
13,73,8,1.24003e+09,9,4,0,0,9586216,25174656,,778032,695828,3185640,1866068,3060648,,4170488,4022136,4966000,7793848,4222184
14,79,8,1.20378e+09,10,4,0,0,9613992,24754788,,802060,697572,3186104,1866104,3062152,,4132980,3670512,4927324,7796428,4227544
15,85,9,1.36587e+09,10,5,0,0,9658796,24379972,,802060,741624,3186900,1866096,3062116,,4133812,3584936,4629980,7801540,4229704
16,90,10,1.51478e+09,12,4,0,0,9677256,24115992,,802064,760080,3186908,1866096,3062108,,4131000,3376840,4585504,7798684,4223964
17,96,8,1.18352e+09,12,5,0,0,9680816,24026004,,802220,763204,3186964,1866092,3062336,,4078496,3337056,4594396,7795028,4221028
18,102,9,1.33963e+09,13,5,0,0,9680412,23612676,,802076,763196,3186964,1868104,3060072,,4127480,3336968,4589964,7570284,3987980
19,107,11,1.67521e+09,15,4,0,0,9719240,23264728,,840680,763216,3186980,1868300,3060064,,3901588,3336652,4593508,7444808,3988172
20,113,11,1.61417e+09,15,5,0,0,9726368,22978928,,840796,763216,3187756,1868336,3066264,,3772884,3336904,4450408,7444268,3974464
21,119,12,1.83761e+09,16,5,0,0,9727416,22754680,,841240,763212,3187824,1868864,3066276,,3752692,3333504,4266744,7429048,3972692
22,125,12,1.77143e+09,16,6,0,0,9728608,22434700,,842316,763216,3187888,1868916,3066272,,3450364,3335900,4257004,7417948,3973484
23,130,13,1.93767e+09,17,6,0,0,9729888,22038800,,842424,763216,3188052,1869860,3066336,,3434764,3292832,4212856,7125180,3973168
24,136,14,2.02908e+09,18,6,0,0,9730204,22017328,,842424,763288,3188144,1869920,3066428,,3432988,3289548,4247568,7085760,3961464
25,142,14,2.09027e+09,19,6,0,0,9731364,21484560,,842420,764456,3188140,1869912,3066436,,3417156,3051544,4231608,7087944,3696308
26,148,15,2.08592e+09,19,7,0,0,9733004,21223052,,842496,764768,3188932,1869900,3066908,,3416916,2938168,4066980,7091568,3709420
27,153,17,2.2709e+09,21,6,0,0,9733796,21040060,,844204,764772,3189008,1870180,3065632,,3404176,3003788,3907036,7061940,3663120
28,159,18,2.46253e+09,22,6,0,0,9735872,20858296,,844508,764760,3189140,1870352,3067112,,3409628,3029332,3898632,7077996,3442708
29,165,18,2.19246e+09,22,7,0,0,9737304,20525556,,844520,765720,3189152,1870340,3067572,,3381812,2754320,3896448,7076196,3416780
30,171,19,2.11741e+09,23,7,0,0,9741784,20146908,,845520,765768,3189156,1870328,3071012,,3105296,2667876,3892608,7080136,3400992
31,176,19,2.61657e+09,23,8,0,0,9742984,19837964,,845748,765772,3189120,1871228,3071116,,3031980,2657400,3881032,6857972,3409580
32,182,21,2.53337e+09,25,7,0,0,9744228,19527328,,845748,765764,3189828,1871260,3071628,,3030500,2653932,3693920,6746832,3402144
33,188,23,1.96099e+09,27,6,0,0,9744768,19328592,,845952,765796,3189892,1871364,3071764,,3018248,2603800,3555552,6747300,3403692
34,194,26,1.60634e+09,30,4,0,0,9745296,19277900,,845984,765740,3190036,1871404,3072132,,3018644,2581740,3527356,6751076,3399084
35,200,26,1.54684e+09,30,5,0,0,9746560,19048508,,845984,766904,3190032,1871404,3072236,,3015048,2357684,3528748,6746716,3400312
36,207,27,1.31655e+09,32,4,0,0,9745396,18527284,,846856,767108,3190032,1871396,3070004,,2863180,2241032,3509980,6752788,3160304
37,213,28,1.62186e+09,32,5,0,0,9745716,18390936,,846852,767296,3190032,1871400,3070136,,2752364,2256704,3526264,6746152,3109452
38,219,31,1.54661e+09,34,4,0,0,9747184,18014376,,846852,767324,3190048,1872388,3070572,,2702488,2261072,3504168,6459012,3087636
39,225,31,1.59175e+09,34,5,0,0,9750240,17730788,,846856,767304,3190724,1872448,3072908,,2676724,2241648,3356196,6388560,3067660
40,231,30,1.4502e+09,34,6,0,0,9714888,17173664,,846916,768296,3190744,1872432,3036500,,2647956,2041636,3217160,6395588,2871324
41,237,31,1.35716e+09,35,5,0,0,9716040,16825968,,847000,768324,3190732,1873352,3036632,,2641964,1951232,3182024,6235728,2815020
42,244,32,1.36922e+09,35,6,0,0,9716284,16519376,,847024,768340,3190884,1873344,3036692,,2621352,1862352,3169528,6087832,2778312
43,251,31,1.19763e+09,35,7,0,0,9717396,16325156,,847748,768548,3190892,1873368,3036840,,2477772,1869460,3165700,6053364,2758860
44,257,33,1.49536e+09,36,7,0,0,9718764,16153684,,847880,768544,3190980,1873500,3037860,,2389420,1866104,3103656,6042036,2752468
45,263,33,1.41195e+09,38,7,0,0,9719608,15956288,,847828,768732,3191556,1873500,3037992,,2384544,1834100,2949468,6038156,2750020
46,270,35,1.09799e+09,38,8,0,0,9719820,15889448,,847828,768764,3191572,1873504,3038152,,2365608,1834676,2901996,6040416,2746752
47,276,33,1.30836e+09,38,9,0,0,9721580,15449472,,848712,769512,3191568,1873500,3038288,,2191036,1609276,2867724,6038204,2743232
48,283,31,1.34455e+09,39,9,0,0,9725484,15162900,,848716,769492,3191664,1874356,3041256,,2103408,1561704,2824228,5950968,2722592
49,289,39,1.58367e+09,42,7,0,0,9728544,14839392,,848760,769492,3191660,1874428,3044204,,2049988,1523240,2820748,5747212,2698204
50,296,36,1.66269e+09,42,8,0,0,9623868,14796028,,848780,769548,3108508,1874556,3022476,,2011428,1517708,2934716,5702876,2629300
51,303,34,1.24757e+09,43,8,0,0,9594484,14452008,,848856,769772,3109380,1874552,2991924,,2002048,1457408,2712980,5700724,2578848
52,309,34,1.28706e+09,44,8,0,0,9593604,14187168,,848864,770636,3109380,1874588,2990136,,1993700,1292464,2654912,5689528,2556564
53,315,36,1.3182e+09,44,9,0,0,9590632,13779636,,849092,770632,3109388,1875444,2986076,,1913252,1233564,2606928,5435232,2590660
54,322,35,1.49244e+09,47,7,0,0,9591916,13439272,,849768,770660,3109372,1875504,2986612,,1757152,1168052,2583084,5339712,2591272
55,329,36,1.18132e+09,47,8,0,0,9582460,13388444,,849756,759516,3109440,1875492,2988256,,1637152,1212020,2565140,5343332,2630800
56,335,41,1.23358e+09,50,6,0,0,9585992,13226324,,849848,761980,3109452,1875496,2989216,,1607944,1189896,2523108,5345148,2560228
57,342,41,1.08853e+09,50,7,0,0,9561960,12813276,,849896,762004,3110200,1876356,2963504,,1561520,1172136,2378944,5166228,2534448
58,348,43,1.40615e+09,51,7,0,0,9525104,12489292,,849952,761988,3110236,1876336,2926592,,1545232,1168972,2264944,5013612,2496532
59,354,41,1.28042e+09,52,7,0,0,9526676,12229964,,850796,764036,3107552,1876520,2927772,,1383256,1119396,2256880,4982596,2487836
60,361,42,1.40607e+09,52,8,0,0,9509036,12197308,,850772,763928,3098624,1876508,2919204,,1307968,1130432,2303136,4979092,2476680
61,368,43,1.46423e+09,53,7,0,0,9467036,12083468,,850860,758552,3092920,1876528,2888176,,1218832,1076708,2303016,4981184,2503728
62,374,45,1.26956e+09,54,7,0,0,9450080,11983716,,850864,757632,3082036,1876528,2883020,,1187648,1055620,2288728,4965956,2485764
63,381,44,1.22567e+09,54,8,0,0,9438796,12029996,,836128,757704,3083884,1876516,2884564,,1214084,1052148,2332024,4965616,2466124
64,388,41,1.24614e+09,55,8,0,0,9421348,11849420,,841944,755624,3083904,1876536,2863340,,1136156,996760,2327700,4973780,2415024
65,394,40,1.36088e+09,56,6,0,0,9428900,11799324,,841060,756244,3083920,1876520,2871156,,1129184,959820,2336772,4971204,2402344
66,400,44,1.30899e+09,58,5,0,0,9417208,11737448,,839008,756508,3083912,1876588,2861192,,1118200,962884,2334648,4946496,2375220
67,407,46,1.31714e+09,58,6,0,0,9417060,11669032,,837996,763900,3084376,1877312,2853476,,1436152,967312,2275040,4628652,2361876
68,413,43,1.32563e+09,58,7,0,0,9353728,11565120,,836948,764512,3020816,1877320,2854132,,1399004,945572,2235164,4617316,2368064
69,421,44,1.51353e+09,58,8,0,0,9345944,11472524,,834812,764640,3013928,1877336,2855228,,1254660,967960,2233692,4618656,2397556
70,427,45,1.21997e+09,58,8,0,0,9337496,11323840,,848964,764676,3000632,1877308,2845916,,1126672,950376,2200844,4616692,2429256
71,433,45,1.37239e+09,58,7,0,0,9293812,11215356,,849872,764084,2961284,1877388,2841184,,1063724,914392,2200680,4582776,2453784
72,440,43,1.20225e+09,58,7,0,0,9295480,10961376,,851440,764460,2961936,1878068,2839576,,1042956,922404,2217704,4338804,2439508
73,446,44,1.48706e+09,58,8,0,0,9269212,10796184,,851616,765012,2962644,1878072,2811868,,1019528,901076,2201580,4275512,2398488
74,452,44,1.48793e+09,59,8,0,0,9275348,11079344,,867996,772284,2945576,1878188,2811304,,1445760,833576,2147992,4271848,2380168
75,459,41,1.29055e+09,59,9,0,0,9270832,10749568,,869528,783336,2946728,1878816,2792424,,1319432,819524,2109300,4156996,2344316
76,465,41,1.26518e+09,59,8,0,0,9251920,10428676,,869552,782492,2937596,1878976,2783304,,1192816,801120,2104488,3984632,2345620
77,472,41,1.40017e+09,59,8,0,0,9234724,10193908,,869668,782404,2940224,1878960,2763468,,1110952,773312,2093260,3922196,2294188
78,478,39,1.5066e+09,59,9,0,0,9201888,10028768,,862992,783832,2940388,1879000,2735676,,967260,776772,2079668,3922844,2282224
79,485,39,1.2304e+09,61,9,0,0,9342348,10318716,,1016240,784020,2927156,1879004,2735928,,1261704,782072,2092760,3924444,2257736
