Iteration,Elapsed,WorkUnits,WorkCount,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,0,0,0,1,0,0,9110448,29540372,,869376,652288,3134736,1529628,2924420,,3625636,4895348,6587080,9238576,5193732
2,11,1,8.41218e+06,1,1,0,0,9110804,29537940,,869448,652440,3134816,1529648,2924452,,3620220,4895684,6575220,9248484,5198332
3,17,1,8.61341e+06,1,2,0,0,9110892,29489320,,869444,652440,3134888,1529656,2924464,,3624268,4899864,6565668,9209348,5190172
4,23,1,8.59935e+06,1,3,0,0,9110904,29511328,,869444,652444,3134952,1529612,2924452,,3627320,4895760,6561248,9239388,5187612
5,28,1,8.60028e+06,1,4,0,0,9111032,29490936,,869440,652456,3135016,1529612,2924508,,3623424,4892796,6556896,9238764,5179056
6,34,1,8.4976e+06,1,5,0,0,9111064,29468388,,869428,652460,3135028,1529608,2924540,,3620352,4889116,6540456,9240072,5178392
7,40,1,8.59654e+06,1,4,0,0,9111160,29465896,,869460,652456,3135080,1529608,2924556,,3624364,4890688,6548644,9240260,5161940
8,45,1,8.70418e+06,1,4,0,0,9111288,29458296,,869448,652468,3135132,1529624,2924616,,3621828,4889356,6547828,9233308,5165976
9,51,1,8.63341e+06,1,3,0,0,9111520,29447100,,869452,652488,3135260,1529676,2924644,,3620236,4886804,6541888,9234032,5164140
10,57,1,8.56938e+06,1,3,0,0,9111584,29517772,,869456,652468,3135316,1529676,2924668,,3700756,4889624,6530920,9232760,5163712
11,62,1,8.68834e+06,1,3,0,0,9111728,29525116,,869464,652484,3135340,1529708,2924732,,3697416,4887128,6540792,9228840,5170940
12,68,1,8.58556e+06,1,3,0,0,9111720,29502736,,869464,652472,3135348,1529704,2924732,,3698524,4883688,6531148,9229740,5159636
13,73,1,8.73136e+06,1,3,0,0,9111620,29475692,,869460,652472,3135380,1529564,2924744,,3696272,4890412,6527580,9201396,5160032
14,79,1,8.59767e+06,1,3,0,0,9112492,29483580,,869456,652472,3135376,1529724,2925464,,3697200,4886304,6530636,9210988,5158452
15,85,1,8.6845e+06,1,3,0,0,9112608,29531480,,869452,652488,3135400,1529784,2925484,,3695996,4942196,6530040,9204832,5158416
16,90,1,8.67102e+06,1,3,0,0,9112664,29584092,,869456,652488,3135400,1529836,2925484,,3694136,4981304,6532796,9219108,5156748
17,96,2,1.64254e+07,2,2,0,0,9112840,29486120,,869468,652480,3135468,1529896,2925528,,3681964,4964084,6456328,9229244,5154500
18,102,5,4.23953e+07,5,1,0,0,9113004,29502984,,869452,652492,3135580,1529888,2925592,,3678028,4964448,6482092,9224668,5153748
19,107,5,4.20908e+07,6,2,0,0,9113988,29488628,,870444,652480,3135580,1529892,2925592,,3671976,4965136,6476220,9223212,5152084
20,113,6,5.01991e+07,6,3,0,0,9114060,29464648,,870444,652480,3135652,1529892,2925592,,3671652,4962200,6456788,9223204,5150804
21,119,10,8.30656e+07,10,3,0,0,9114168,29482032,,870456,652476,3135756,1529892,2925588,,3670320,4964044,6474124,9220136,5153408
22,124,12,9.85815e+07,12,4,0,0,9114276,29405644,,870464,652496,3135816,1529912,2925588,,3648008,4926228,6460472,9211260,5159676
23,130,12,9.83801e+07,12,5,0,0,9114436,29384440,,870456,652560,3135800,1530028,2925592,,3651064,4936548,6457084,9187132,5152612
24,136,12,9.77914e+07,13,5,0,0,9116840,29380380,,872592,652632,3135856,1530104,2925656,,3636132,4933728,6463376,9194600,5152544
25,142,13,1.09974e+08,13,4,0,0,9116992,29351664,,872688,652660,3135852,1530100,2925692,,3640664,4930044,6470860,9191012,5119084
