Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,1,11362456,109607368,113171000,128,5196220,,2846116,4648016,3131292,737032,,29038680,25839772,28892744,25836172,,29982832,26603612,29706260,26878296,,32,32,32,32,,1360024,1176840,1207604,1451752
3,0,1,0,1,0,1,11580728,109393680,112957588,128,5196648,,2846592,4648112,3348204,737820,,29037704,25838228,28683568,25834180,,29981872,26602152,29497196,26876368,,32,32,32,32,,1360048,1176940,1207852,1451808
6,0,2,1,1,0,1,11979828,109000032,112564768,128,5197456,,2848020,4647832,3746684,737292,,29049792,25829824,28289352,25831064,,29993984,26594200,29102992,26873592,,32,32,32,32,,1360084,1177368,1207872,1452132
8,1,3,2,1,0,1,13011304,107957012,111525024,128,5200952,,3256808,4650588,4155124,948784,,28629896,25843216,27865324,25618576,,29574196,26607736,28678976,26664116,,32,32,32,32,,1360340,1177564,1207880,1455168
11,0,4,3,1,0,1,13830744,107108868,110682812,128,5206884,,3556076,4770408,4155508,1348752,,28335232,25711956,27866984,25194696,,29279544,26482236,28680652,26240380,,32,32,32,32,,1360352,1183328,1207900,1455304
14,0,5,4,1,0,1,14763048,106183296,109758424,128,5207548,,3863348,5077696,4265120,1556884,,28026676,25413172,27758948,24984500,,28971000,26183692,28573340,26030392,,32,32,32,32,,1360356,1183528,1208144,1455520
16,0,6,5,1,0,1,15673868,105268772,108844900,128,5208740,,3875032,5368508,4663748,1766580,,28001328,25110412,27356996,24800036,,28945712,25881348,28171408,25846432,,32,32,32,32,,1360480,1184024,1208196,1456040
19,0,7,5,2,0,1,16499580,104433536,108010144,128,5209200,,3877848,5675568,4970912,1975252,,28005792,24808676,27046640,24572428,,28950200,25579752,27861060,25619132,,32,32,32,32,,1360508,1184092,1208200,1456400
22,0,8,6,2,0,1,17009628,103949232,107526248,128,5209688,,3868948,5790248,5176340,2174092,,28016756,24686508,26854632,24391336,,28961172,25457872,27669064,25438140,,32,32,32,32,,1360524,1184468,1208204,1456492
24,1,9,8,1,0,1,18244416,102693280,106271884,128,5210532,,4174836,6092128,5494884,2482568,,27706136,24391388,26515780,24079976,,28650964,25162876,27330960,25127084,,32,32,32,32,,1360664,1184588,1208460,1456820
27,0,10,9,1,0,1,19574204,101381792,104960756,128,5210916,,4493620,6396308,5893940,2790336,,27392912,24088632,26115956,23784292,,28337824,24860240,26931156,24831536,,32,32,32,32,,1360812,1184692,1208476,1456936
30,0,11,10,1,0,1,19896564,101067200,104647656,128,5211548,,5104548,6604292,5181804,3005920,,26774732,23878464,26854352,23559652,,27720352,24650272,27669184,24607848,,32,32,32,32,,1360952,1184900,1208288,1457408
33,0,12,11,1,0,0,21012432,99931276,103512708,128,5212120,,5708416,6827404,5178260,3298352,,26169712,23640844,26852616,23268104,,27115340,24413548,27667464,24316356,,32,32,32,32,,1360960,1185364,1208308,1457488
36,0,13,12,1,0,0,21627132,99301676,102883768,128,5212828,,5911924,7020952,5188524,3505732,,25972324,23453892,26828744,23046716,,26917964,24226820,27643656,24095328,,32,32,32,32,,1360972,1185584,1208440,1457832
38,1,14,12,2,0,0,22345616,98587160,102169956,128,5213552,,5929096,7431516,5172152,3812852,,25935924,23046440,26856704,22748092,,26881636,23819876,27671632,23796812,,32,32,32,32,,1361100,1186076,1208460,1457916
41,0,15,13,2,0,0,23491920,97421464,101006412,128,5214504,,6330932,7629880,5477432,4053676,,25518196,22839088,26561916,22502264,,26464588,23612688,27377204,23551932,,32,32,32,32,,1361252,1186264,1208596,1458392
44,0,16,15,1,0,0,24580900,96397916,99983988,128,5215116,,6629960,7844300,5785436,4321204,,25265488,22623092,26250800,22258536,,26211896,23397620,27066108,23308364,,32,32,32,32,,1361260,1186688,1208616,1458552
47,0,17,16,1,0,0,26066028,94850248,98446604,128,5224720,,6940632,8182572,6308664,4634160,,24935020,22282372,25722444,21910412,,25881440,23065712,26538716,22960736,,32,32,32,32,,1361264,1195500,1208892,1459064
50,0,18,17,1,0,0,27061512,93887488,97486844,128,5227776,,6942136,8467664,6811280,4840432,,24934176,22014796,25209644,21728872,,25880624,22800956,26025916,22779348,,32,32,32,32,,1361320,1198332,1208912,1459212
52,1,19,18,0,1,0,28109196,92796104,96396720,128,5228428,,7364768,8673236,7222652,4848540,,24508244,21793048,24804268,21690544,,25455596,22579288,25620544,22741292,,32,32,32,32,,1361560,1198424,1208908,1459536
55,1,20,18,2,0,0,28708236,92206852,95809356,128,5229280,,7559464,8883488,7220944,5044340,,24303268,21608700,24801368,21493516,,25250668,22395696,25617656,22545336,,32,32,32,32,,1361580,1198684,1208932,1460084
58,1,21,20,1,0,0,29945160,90950744,94554652,128,5229912,,7862824,9182380,7543660,5356296,,23997184,21303192,24462460,21187908,,24944592,22090452,25279712,22239896,,32,32,32,32,,1361596,1198900,1209196,1460220
61,1,22,21,1,0,0,31206688,89725760,93332156,128,5232544,,8003888,9493476,8045308,5664016,,23870812,20994388,23964296,20896264,,24820220,21781964,24781572,21948400,,32,32,32,32,,1363700,1199244,1209216,1460384
