Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,19594408,41163260,,3416824,3039180,5083720,4976860,3077824,,8510604,8875128,7488372,7339984,8949172
1,45,1,0,19537920,40831696,,3418516,3070924,5083060,4913964,3051456,,8528536,8508976,7486188,7338460,8969536
2,17,2,0,19603708,40449908,,3424988,3113936,5087684,4928568,3048532,,8532744,8086172,7512916,7340372,8977704
3,28,3,0,19608540,39915972,,3422364,3166780,5047040,4919024,3053332,,8530188,7585748,7504864,7322176,8972996
4,16,4,0,19688756,39264292,,3421752,3218252,5086704,4914776,3047272,,8509168,7008212,7465456,7299624,8981832
5,31,5,0,19741084,38796160,,3424068,3269060,5083900,4918360,3045696,,8523888,6493028,7474136,7321024,8984084
6,35,6,0,19655284,38169364,,3382956,3195144,5043680,4884612,3148892,,8230784,6351036,7447760,7322664,8817120
7,32,7,0,19728240,37638852,,3391828,3190128,5049192,4887236,3209856,,8158624,6296128,7424108,7319132,8440860
8,16,8,0,19724636,37206136,,3447128,3191188,4985936,4885696,3214688,,7772956,6253516,7459360,7320420,8399884
9,30,9,0,19807180,36684384,,3438824,3188300,5041780,4878948,3259328,,7714216,6216704,7436940,7312092,8004432
10,34,10,0,19884196,36157092,,3487108,3187988,5059768,4887740,3261592,,7296380,6173052,7459556,7280568,7947536
11,50,11,0,19933500,35561472,,3485708,3192784,5066960,4890784,3297264,,7190180,6125584,7425980,7280068,7539660
12,29,12,0,19978720,35052560,,3490508,3244380,5050948,4880912,3311972,,7124004,5731860,7429276,7307088,7460332
13,47,13,0,20077564,34475932,,3572388,3241364,5078016,4892792,3293004,,6975376,5648128,7432492,7250900,7169036
14,46,14,0,20151880,33943316,,3647460,3247716,5053456,4909828,3293420,,6545260,5584000,7419476,7257652,7136928
15,52,15,0,20218328,33290680,,3649620,3244576,5058492,4913928,3351712,,6395532,5501896,7416296,7268248,6708708
16,42,16,0,20282272,32703204,,3708232,3253680,5062308,4922320,3335732,,5995076,5475348,7399416,7252508,6580856
17,30,17,0,20299072,32258620,,3758516,3246224,5039996,4921548,3332788,,5535248,5451352,7410028,7254160,6607832
18,4,17,1,20382784,31931800,,3762260,3268660,5044536,4923496,3383832,,5541288,5439380,7406852,7220868,6323412
19,1613,19,0,20683028,28152428,,3815092,3266912,5156636,4930260,3514128,,4282720,4686296,6530040,7082700,5570672
20,4,19,1,20626536,28159276,,3838952,3269324,5150988,4924640,3442632,,4251388,4675480,6531596,7090308,5610504
21,47,21,0,20709936,27327668,,3873768,3320684,5140692,4931156,3443636,,3848968,4291512,6537236,7078804,5571148
22,4,21,1,20817176,26862328,,3879056,3325428,5144728,4982324,3485640,,3816644,4258452,6524860,6773964,5488408
23,147,22,1,21006600,26373500,,3884056,3338684,5226680,4979068,3578112,,3721396,4149804,6406984,6623560,5471756
24,448,0,1,21079092,24874900,,3927300,3319496,5346884,4982784,3502628,,3422324,3930140,5805728,6482928,5233780
25,408,24,1,21143072,23563680,,3884752,3341080,5319060,5079932,3518248,,3308900,3760948,5597832,5844892,5051108
26,1147,25,1,21159220,21456368,,3908740,3322260,5315252,5046140,3566828,,2862172,3402572,4730584,5558012,4903028
