Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,19338336,44407408,,3522988,3007892,4956972,4636936,3213548,,9508700,8525976,8562140,9068804,8741788
1,29,1,0,19376928,44071572,,3525348,3047352,4958888,4632128,3213212,,9506448,8175908,8559800,9091832,8737584
2,22,2,0,19404528,43648420,,3525460,3072532,4957116,4639472,3209948,,9507916,7774116,8558908,9061652,8745828
3,91,3,0,19459872,42784332,,3528412,3122644,4957408,4639872,3211536,,9503572,6913620,8553392,9069396,8744352
4,33,4,0,19515008,42132816,,3530740,3175604,4957472,4640892,3210300,,9497268,6280744,8549436,9065108,8740260
5,31,5,0,19575404,41449792,,3526664,3230048,4958460,4643472,3216760,,9493624,5605952,8548836,9062476,8738904
6,38,6,0,19627380,40324692,,3523812,3225460,4959424,4635496,3283188,,9488532,5184152,8543580,9043436,8064992
7,48,7,0,19687308,39165044,,3594472,3224128,4958608,4644520,3265580,,8837516,4798836,8540676,9034156,7953860
8,13,8,0,19796256,38543072,,3652504,3234068,4997208,4646248,3266228,,8431456,4687288,8466172,9047552,7910604
9,33,9,0,19792756,37743108,,3642716,3225900,4958688,4655104,3310348,,8242696,4462224,8538004,9037616,7462568
10,34,10,0,19824656,36871300,,3639520,3217176,4956912,4648076,3362972,,8055608,4317984,8537496,9047904,6912308
11,37,11,0,19947180,35095132,,3702668,3259000,4961920,4650564,3373028,,7079496,4258816,8532604,9012572,6211644
12,8,11,1,19969500,34602716,,3701548,3263644,4961760,4646744,3395804,,6751052,4191060,8530224,9040372,6090008
13,943,12,1,20262584,32934792,,3802388,3258936,5020428,4744052,3436780,,5682084,4215492,8412508,8863284,5761424
14,27,12,2,20235340,32773080,,3786000,3291564,4998756,4740388,3418632,,5714012,4036244,8419180,8781480,5822164
15,143,12,3,20385796,32668296,,3800096,3264152,5090572,4710184,3520792,,5704684,4148824,8387340,8880244,5547204
