Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,19007192,38967080,,3517592,3317064,4538448,4352316,3281772,,8920068,7603216,6957016,7487796,7998984
1,60,1,0,19037976,38625848,,3527716,3337364,4536640,4359356,3276900,,8921760,7276372,6950728,7473456,8003532
2,12,2,0,19069164,38250744,,3518536,3389552,4531124,4356184,3273768,,8913108,6888396,6959572,7480972,8008696
3,41,3,0,19138756,37631340,,3518828,3444352,4542300,4359344,3273932,,8915100,6291768,6941716,7476012,8006744
4,37,4,0,19166592,36985484,,3513232,3490308,4532428,4357472,3273152,,8923160,5628740,6952700,7474696,8006188
5,28,5,0,19212508,36320100,,3515584,3544128,4530960,4351356,3270480,,8920820,4956756,6952476,7479260,8010788
6,32,6,0,19293224,35244652,,3593208,3539412,4533352,4356860,3270392,,8287540,4529168,6948984,7468788,8010172
7,23,7,0,19362668,34203132,,3576484,3537368,4536544,4357796,3354476,,8221536,4213748,6943292,7464244,7360312
8,24,8,0,19363028,33455976,,3563228,3541244,4534692,4354012,3369852,,8159952,3922692,6942956,7468060,6962316
9,42,9,0,19435532,32437496,,3614592,3537152,4560456,4351420,3371912,,7692612,3603460,6938328,7467780,6735316
10,49,10,0,19481656,31278808,,3614100,3544692,4534764,4355480,3432620,,7423824,3356288,6933536,7444848,6120312
11,13,11,0,19532760,30723064,,3674384,3540360,4530672,4357136,3430208,,6988436,3329356,6943180,7459284,6002808
12,35,12,0,19520936,29887624,,3760308,3392876,4532700,4356012,3479040,,6619304,3477144,6933516,7458348,5399312
13,35,13,0,19580064,28988312,,3765016,3439616,4536712,4356108,3482612,,6420660,3122896,6931424,7453416,5059916
14,35,14,0,19636068,28081620,,3827952,3444648,4529560,4354656,3479252,,5880748,3011420,6936140,7451408,4801904
15,175,15,0,19675564,26112836,,3815868,3441976,4533168,4351168,3533384,,5198244,2628092,6921476,7441636,3923388
16,49,16,0,19723524,25492172,,3812780,3441248,4534984,4358444,3576068,,4799248,2606224,6917212,7431512,3737976
17,39,17,0,19791568,24933600,,3868564,3443992,4532024,4362728,3584260,,4336640,2603688,6917872,7419920,3655480
18,42,18,0,19830980,24281048,,3863280,3440456,4529756,4360324,3637164,,4125892,2610964,6917244,7427348,3199600
19,66,19,0,19918640,23022008,,3864564,3441864,4620184,4356540,3635488,,3822108,2608792,6260068,7424580,2906460
20,27,20,0,19957192,22349484,,3928640,3439692,4600376,4358752,3629732,,3321732,2610368,6210800,7419396,2787188
21,48,21,0,20043552,21157432,,3920256,3443592,4600040,4445124,3634540,,3016664,2603976,6083372,6779596,2673824
22,58,22,0,20095940,20177744,,3934216,3444656,4591888,4485988,3639192,,2791816,2602932,5959312,6279288,2544396
23,33,23,0,20141124,19456520,,3920812,3463832,4649300,4473444,3633736,,2722808,2605080,5514296,6110680,2503656
24,14,24,0,20205192,18820880,,3921792,3509232,4637256,4505668,3631244,,2691440,2228156,5449012,5950804,2501468
25,34,25,0,20218264,18015100,,3929196,3493916,4643228,4477188,3674736,,2602076,2145536,5289744,5833708,2144036
26,13,26,0,20284724,17439688,,3923552,3496848,4701660,4480760,3681904,,2576536,2104196,4889080,5775464,2094412
27,49,27,0,20358816,16383000,,3918960,3517788,4693172,4548896,3680000,,2553528,1993880,4655320,5196504,1983768
28,64,28,0,20357872,15180024,,3916428,3502624,4746240,4510824,3681756,,2552900,1835784,4035360,4909968,1846012
29,27,29,0,20438056,14458300,,3919956,3500380,4755336,4581108,3681276,,2549088,1806548,3859072,4456176,1787416
30,27,30,0,20490500,13671992,,3980272,3500240,4758244,4573972,3677772,,2183060,1754100,3679864,4320444,1734524
31,14,31,0,20569008,13031460,,3980656,3499416,4821552,4580408,3686976,,2132712,1732776,3232012,4240612,1693348
32,22,32,0,20720224,11267840,,3970976,3501356,4885000,4652380,3710512,,2091200,1725032,2651156,3202340,1598112
33,46,32,0,20934016,9874192,,4082132,3556632,4821892,4683028,3790332,,1610736,1681000,2259280,2755252,1567924
34,13,32,0,20852920,9860832,,4028316,3557520,4851872,4672000,3743212,,1580224,1689928,2278760,2751436,1560484
35,5,32,0,20884580,9853384,,4005008,3536760,4832364,4727760,3782688,,1630548,1694632,2270368,2749964,1507872
36,24,32,0,21015404,9653692,,4084168,3570684,4852152,4737812,3770588,,1526980,1653824,2262964,2676144,1533780
37,6,32,0,21045040,9547528,,4124124,3583356,4871008,4700592,3765960,,1503632,1637364,2149596,2719496,1537440
38,12,0,0,20960296,9713308,,4045940,3598428,4873552,4673144,3769232,,1577764,1615852,2229512,2754368,1535812
39,7,32,0,20923120,9784880,,4039728,3617352,4835744,4682968,3747328,,1620940,1635180,2226900,2758172,1543688
40,18,32,0,20869664,9680660,,4020848,3541964,4858744,4696916,3751192,,1625428,1689372,2199928,2658980,1506952
41,5,32,0,20901952,9719084,,4018868,3568612,4864816,4682476,3767180,,1615896,1664836,2234188,2679920,1524244
42,424,0,0,21267992,9159604,,4043236,3623024,4951944,4843680,3806108,,1620896,1592088,2084636,2327352,1534632
43,6,0,0,21159704,9515492,,4039104,3651348,4893392,4798500,3777360,,1617612,1609012,2130732,2648960,1509176
44,17,0,0,21426840,8566760,,4058472,3663236,5043708,4866708,3794716,,1612724,1525188,1936032,1992292,1500524
45,58,32,10,21203368,9245620,,4058196,3630404,4939176,4799784,3775808,,1618072,1649236,1958264,2523576,1496472
