Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,19787512,36698216,,3635552,3664552,4613352,4514816,3359240,,8508676,7219320,6429140,6963580,7577500
1,6,1,0,19917636,36540416,,3639620,3790084,4612952,4516472,3358508,,8499796,7075036,6423868,6964156,7577560
2,5,2,0,20161168,36295212,,3639968,4043684,4613848,4515268,3348400,,8505660,6810492,6426752,6963616,7588692
3,5,3,0,20033620,36420912,,3640848,3894676,4611472,4532004,3354620,,8501684,6947832,6429524,6964568,7577304
4,11,4,0,20683556,35741216,,3639060,4555788,4616204,4515044,3357460,,8505088,6281376,6418572,6958468,7577712
5,7,5,0,21241544,35179140,,3645008,5100648,4622272,4511640,3361976,,8499164,5727764,6413504,6964816,7573892
6,6,6,0,21697996,34679144,,3639960,5571416,4611488,4514460,3360672,,8499840,5224380,6419988,6959856,7575080
7,76,7,0,22512752,33915956,,3728976,6275912,4609956,4535388,3362520,,8395896,4563892,6423860,6959032,7573276
8,27,8,0,23020452,33354436,,4126484,6397940,4612256,4518304,3365468,,8007512,4414100,6415476,6947400,7569948
9,6,9,0,23280360,33082740,,4227360,6559996,4606384,4521284,3365336,,7887248,4261436,6425928,6943556,7564572
10,36,10,0,24089420,32270384,,4680364,6794996,4613020,4513740,3487300,,7447588,4027904,6411364,6950000,7433528
11,47,11,0,24588496,31725004,,4680780,6900584,4615144,4512400,3879588,,7443880,3900164,6406248,6926284,7048428
12,14,12,0,24915048,31417892,,4775964,7133628,4612436,4512284,3880736,,7338376,3677512,6411580,6947312,7043112
13,48,13,0,25683272,30638932,,5200424,7316564,4619912,4514040,4032332,,6917492,3497944,6401628,6944132,6877736
14,27,14,0,26020120,30173136,,5197208,7403796,4616104,4504704,4298308,,6840596,3392172,6369768,6952200,6618400
15,26,15,0,26591216,29706344,,5204580,7721324,4615620,4513020,4536672,,6913024,3083476,6400040,6941628,6368176
16,54,16,0,27175320,29104376,,5276120,7834692,4616384,4516948,4931176,,6815800,2973732,6399472,6936084,5979288
17,39,17,0,27723396,28530544,,5714728,7837528,4610812,4511348,5048980,,6390104,2968020,6403280,6938108,5831032
18,7,18,0,27927196,28266596,,5715956,7918428,4611196,4527580,5154036,,6388744,2871604,6400344,6862960,5742944
19,5,19,0,28180620,28030488,,5781324,8035044,4612892,4516464,5234896,,6303748,2753552,6398180,6911740,5663268
20,6,20,0,28638612,27567916,,5971908,8242288,4612768,4518092,5293556,,6115528,2524936,6391784,6929480,5606188
21,45,21,0,29763648,26483796,,6238496,8802036,4610728,4540168,5572220,,5859064,1985136,6397052,6931540,5311004
22,49,22,0,30269100,25937372,,6328864,8862652,4634452,4524780,5918352,,5747660,1924844,6384476,6916828,4963564
23,39,23,0,30804360,25377880,,6730524,8974788,4613440,4525052,5960556,,5352288,1794976,6385356,6917020,4928240
24,13,24,0,31109800,25057504,,6758036,9147740,4620480,4519256,6064288,,5327620,1625288,6375904,6916876,4811816
25,44,25,0,32351916,23769708,,6956868,9480536,4695260,4655640,6563612,,5002712,1299888,6321612,6836628,4308868
26,89,0,0,32638956,23516300,,7309872,9444404,4696156,4563068,6625456,,4763788,1298112,6319488,6830492,4304420
27,70,25,0,32829484,22342284,,7437556,9478180,4661120,4673000,6579628,,4618772,1283936,6120744,6041616,4277216
28,11,0,0,32807376,23183044,,7364964,9537788,4657496,4647748,6599380,,4653716,1247816,6567528,6484260,4229724
29,4,0,0,32878280,23290448,,7363372,9513568,4713520,4681916,6605904,,4752780,1210512,6592148,6428656,4306352
30,14,0,0,32819464,23331396,,7323024,9594784,4680236,4654596,6566824,,4728524,1227288,6565508,6530908,4279168
31,224,0,0,32899864,23177868,,7344188,9526296,4716240,4703888,6609252,,4734196,1259916,6512300,6440616,4230840
