Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,20235932,38729052,,3515872,3237088,5226504,4944136,3312332,,8350836,8304544,6651692,6856564,8565416
1,26,1,0,20037872,38998588,,3525256,3282604,5155480,4936428,3138104,,8336872,8270260,6746588,6856840,8788028
2,31,2,0,19823084,38927592,,3526020,3066148,5152276,4946256,3132384,,8340444,8180400,6754480,6853308,8798960
3,23,3,0,19873860,38545024,,3524812,3121024,5145036,4952972,3130016,,8338200,7789036,6760680,6856364,8800744
4,32,4,0,19948628,38070692,,3516296,3167548,5203452,4932544,3128788,,8351308,7396076,6665472,6855920,8801916
5,30,5,0,19924904,37767744,,3497172,3213920,5149236,4931828,3132748,,8369984,6992920,6751412,6855076,8798352
6,34,6,0,19980436,37335492,,3502028,3218380,5153248,4923608,3183172,,8359748,6925888,6745644,6860564,8443648
7,23,7,0,20033740,36944128,,3551440,3221608,5149576,4926284,3184832,,8018428,6893188,6747716,6854000,8430796
8,27,8,0,20066196,36521220,,3547892,3217712,5144396,4927568,3228628,,8001344,6851388,6746236,6852532,8069720
9,36,9,0,20122268,36074060,,3604520,3222276,5140812,4925720,3228940,,7622312,6817568,6748412,6848408,8037360
10,33,10,0,20174760,35621888,,3604700,3222776,5147164,4921176,3278944,,7593176,6781972,6724756,6854736,7667248
11,81,11,0,20212832,35106024,,3645356,3220168,5151716,4915296,3280296,,7203848,6719464,6731212,6854632,7596868
12,22,12,0,20260620,34701240,,3644752,3219916,5151136,4916648,3328168,,7176632,6705972,6725156,6851308,7242172
13,34,13,0,20368644,34246292,,3651216,3268244,5154536,4965300,3329348,,7142192,6330284,6725420,6850840,7197556
14,13,14,0,20357764,33851388,,3700168,3267836,5150272,4914644,3324844,,6777044,6314060,6723236,6849448,7187600
15,26,15,0,20406744,33404256,,3698204,3267160,5150352,4910712,3380316,,6742068,6282992,6725664,6849212,6804320
16,13,16,0,20457092,33001312,,3748972,3262892,5149940,4915504,3379784,,6372684,6271496,6725696,6844324,6787112
17,13,17,0,20513824,32536020,,3802168,3268280,5143168,4921340,3378868,,5978612,6252440,6731224,6805720,6768024
18,34,18,0,20603672,32094428,,3807544,3268476,5148692,4950048,3428912,,5921216,6223544,6725080,6837120,6387468
19,51,19,0,20628348,31572484,,3804728,3267560,5204000,4920916,3431144,,5858612,6188680,6367068,6832160,6325964
20,28,20,0,20688696,31107552,,3854172,3267624,5214076,4921060,3431764,,5482296,6168192,6327860,6829264,6299940
