Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,1,11442800,109476912,113122624,128,5278256,,2848732,4695688,2113648,1784732,,29024080,25757656,29917648,24777528,,29971816,26582564,30734048,25834196,,32,32,32,32,,1363896,1238212,1210028,1466120
3,0,1,0,1,0,1,11661476,109282104,112928288,128,5278948,,2850296,4696144,2327252,1787784,,29035624,25765604,29692276,24788600,,29983368,26590688,30508776,25845456,,32,32,32,32,,1363908,1238436,1210300,1466304
6,0,2,1,1,0,1,12070976,108878640,112525156,128,5279296,,2856380,4700532,2725864,1788200,,29020196,25781060,29293824,24783560,,29967960,26606408,30110340,25840448,,32,32,32,32,,1363968,1238660,1210320,1466348
8,1,3,2,1,0,1,13309004,107627304,111274784,128,5280528,,3367288,4702880,3134288,2104548,,28505128,25766220,28882152,24473804,,29452996,26591992,29698676,25531120,,32,32,32,32,,1364184,1239092,1210320,1466932
11,0,4,3,1,0,1,14126928,106804216,110452112,128,5280996,,3771000,4716424,3135128,2504376,,28100972,25749192,28888708,24065344,,29048852,26575212,29705244,25122804,,32,32,32,32,,1364204,1239420,1210328,1467044
14,0,5,3,2,0,1,14544288,106406288,110054528,128,5281380,,3884844,4711364,3144684,2803396,,27996184,25755688,28884440,23769976,,28944060,26581856,29701044,24827568,,32,32,32,32,,1364196,1239548,1210468,1467168
16,1,6,3,3,0,1,14743720,106244196,109892880,128,5281996,,3903120,4903208,3133628,2803764,,27991716,25577980,28908056,23766444,,28939620,26404388,29724672,24824200,,32,32,32,32,,1364268,1239880,1210492,1467356
19,0,7,4,3,0,1,15354164,105612096,109262732,128,5283404,,3989400,5315916,3129264,2919584,,27897920,25149308,28896620,23668248,,28846160,25976096,29713248,24727228,,32,32,32,32,,1364492,1240260,1210496,1468156
22,0,8,6,2,0,1,16491036,104480704,108131780,128,5284016,,4297088,5738928,3129992,3325028,,27598700,24739112,28903772,23239120,,28546948,25566192,29720412,24298228,,32,32,32,32,,1364508,1240708,1210512,1468288
25,0,9,7,2,0,1,17925456,103025440,106676932,128,5284524,,4713236,6149444,3449520,3613256,,27176556,24319820,28573364,22955700,,28124812,25146968,29390164,24014988,,32,32,32,32,,1364512,1240768,1210780,1468464
27,0,10,8,2,0,1,19639264,101292860,104945572,128,5285272,,4912012,6446440,4464900,3815912,,26955552,24012056,27569432,22755820,,27903872,24839340,28386904,23815456,,32,32,32,32,,1364632,1240916,1210912,1468812
30,0,11,10,1,0,1,20156152,100610292,104520068,128,5541904,,5231420,6829512,4976680,3118540,,26658124,23543060,27043696,23365412,,27607136,24534776,27861180,24516976,,32,32,32,32,,1364804,1405340,1210940,1560820
32,1,12,11,1,0,0,20978660,99635724,103678436,128,5675200,,5531048,6840804,5193884,3412924,,26340676,23461128,26828588,23005332,,27289676,24514016,27646080,24228664,,32,32,32,32,,1364740,1466896,1210948,1632616
35,0,13,12,1,0,0,21848300,98587992,102748696,128,5793064,,5922696,7164416,5194504,3566684,,25958004,22978056,26833104,22818828,,26907016,24105116,27650660,24085904,,32,32,32,32,,1364760,1540740,1211068,1676496
38,0,14,12,2,0,0,22668928,98148160,101947096,128,5430352,,5944660,7574720,5285460,3864088,,25953688,22755488,26736312,22702672,,26902724,23691304,27554572,23798496,,32,32,32,32,,1364856,1349104,1211212,1505180
41,0,15,13,2,0,0,23817032,96973572,100777260,128,5434304,,6054768,7782648,5797600,4182016,,25831260,22545040,26223460,22373812,,26780808,23484180,27041732,23470540,,32,32,32,32,,1364972,1352468,1211220,1505644
43,1,16,15,1,0,0,24916736,95864752,99669184,128,5434948,,6548328,7795016,6098932,4474460,,25330264,22517216,25925352,22091920,,26280032,23456612,26743636,23188904,,32,32,32,32,,1365060,1352748,1211236,1505904
46,0,17,16,1,0,0,26149476,94616632,98422816,128,5435740,,6858276,8084304,6319812,4887084,,25007808,22248600,25681840,21678384,,25957584,23188872,26500820,22775540,,32,32,32,32,,1365068,1353096,1211532,1506044
49,0,18,17,0,1,0,27058264,93744832,97553368,128,5437596,,6956912,8397012,6831940,4872400,,24911800,21938512,25193196,21701324,,25861812,22879368,26013208,22798980,,32,32,32,32,,1365504,1353660,1211848,1506584
52,0,19,18,1,0,0,28207948,92575112,96385020,128,5437964,,7382252,8707348,7026152,5092196,,24492380,21616644,24991084,21475004,,25443204,22557560,25810628,22573628,,32,32,32,32,,1365620,1353724,1211580,1507040
55,0,20,19,1,0,0,29434888,91341552,95152296,128,5438440,,7784176,8924396,7233020,5493296,,24082180,21394872,24784360,21080140,,25033020,22336540,25603920,22178816,,32,32,32,32,,1365632,1354104,1211596,1507108
58,0,21,20,1,0,0,30242684,90501436,94313396,128,5439228,,7975144,9216072,7353324,5698144,,23894880,21105812,24642360,20858384,,24845732,22047716,25462504,21957444,,32,32,32,32,,1365648,1354220,1211860,1507500
61,0,22,21,1,0,0,30968104,89799656,93612008,128,5439688,,7994852,9424700,7643824,5904728,,23864948,20905088,24375012,20654608,,24815852,21847112,25195192,21753852,,32,32,32,32,,1365792,1354340,1211888,1507668
64,0,23,22,1,0,0,32120964,88635208,92449832,128,5440564,,8307844,9632372,8055640,6125108,,23543024,20695972,23961808,20434404,,24494940,21638316,24781996,21534580,,32,32,32,32,,1365936,1354660,1211888,1508080
67,0,24,23,1,0,0,33240564,87515680,91331412,128,5441276,,8500856,9952548,8259708,6527452,,23370232,20353892,23754088,20037468,,24322084,21297200,24574292,21137836,,32,32,32,32,,1365956,1355148,1211912,1508260
70,0,25,24,1,0,0,34063252,86693560,90510236,128,5442264,,8810548,10249812,8271472,6731420,,23056808,20057792,23744752,19834208,,24008668,21001644,24565052,20934872,,32,32,32,32,,1365960,1355700,1212040,1508564
73,0,26,24,2,0,0,34966148,85788928,89606836,128,5442796,,9018220,10557204,8459908,6930816,,22843240,19759580,23556184,19629924,,23795172,20703540,24377376,20730748,,32,32,32,32,,1366068,1355808,1212200,1508720
76,0,27,26,1,0,0,36216392,84526316,88349908,128,5447684,,9536144,10869332,8870256,6940660,,22311360,19452596,23140804,19621556,,23268472,20396864,23962024,20722548,,32,32,32,32,,1370356,1356132,1212224,1508972
79,0,28,26,2,0,0,37238972,83524344,87350384,128,5449012,,9734820,10973760,9280344,7250048,,22138272,19344792,22722172,19319108,,23095296,20290104,23543420,20421564,,32,32,32,32,,1370360,1356720,1212236,1509696
82,0,29,28,1,0,0,37893896,82857924,86684600,128,5449644,,9943600,11072288,9287804,7590204,,21918440,19250232,22709348,18979904,,22875492,20195860,23530704,20082544,,32,32,32,32,,1370396,1356988,1212372,1509888
