Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,33410964,75272260,106368380,5388,31616060,,8101244,8504988,12149076,4655656,,21214564,19641244,17174760,17241692,,28885972,28577228,24629892,24275288,,1988,1988,644,768,,7789572,9036364,7601464,7188660
2,1,1,0,1,0,0,33423556,75302060,106398616,5388,31616160,,8112040,8505852,12149668,4655996,,21221356,19660760,17177380,17242564,,28892740,28596768,24632840,24276268,,1988,1988,644,768,,7789480,9036388,7601520,7188772
5,0,2,1,1,0,0,33849408,74867948,105964776,5388,31617000,,8523448,8517704,12151960,4656296,,20801580,19648812,17175748,17241808,,28473068,28584872,24631268,24275568,,1988,1988,644,768,,7789736,9036484,7601944,7188836
7,0,3,1,2,0,0,34470008,74248428,105345600,5388,31617556,,8923064,8620024,12268224,4658696,,20393912,19536540,17068032,17249944,,28065412,28472640,24523740,24283808,,1988,1988,644,768,,7789756,9036644,7602168,7188988
9,0,4,2,1,0,0,34579168,74121828,105221564,5388,31620252,,8208952,9015052,12679604,4675560,,21106488,19133216,16656088,17226036,,28780080,28069356,24111980,24260148,,1988,1988,644,768,,7791880,9036688,7602400,7189284
11,1,5,3,2,0,0,35801824,72916980,104017644,5388,31621328,,8629952,9324460,12977532,4869880,,20708636,18825856,16345108,17037380,,28382264,27762020,23801164,24072196,,1988,1988,644,768,,7791984,9036708,7602592,7190044
14,0,6,5,1,0,0,36427852,72276080,103377328,5388,31622120,,9348284,9645596,12153480,5280492,,19966312,18507104,17176180,16626484,,27640028,27443308,24632584,23661408,,1988,1988,644,768,,7792188,9036888,7602876,7190168
16,0,7,4,1,0,0,36215232,72454372,103558068,5388,31624828,,8824264,9231864,12580064,5579040,,20485300,18912524,16740488,16316060,,28159004,27848832,24197120,23353112,,1988,1988,644,768,,7792092,9037084,7603368,7192284
18,0,8,6,1,0,0,36331072,72377040,103481508,5388,31625788,,8106972,9946220,13297144,4980736,,21209956,18209572,16040632,16916880,,28883668,27145896,23497396,23954548,,1988,1988,644,768,,7792056,9037100,7603500,7193132
20,1,9,7,1,0,0,38265460,70453664,101550280,5388,31618100,,8425856,10455404,13901040,5483160,,20922328,17690944,15417408,16422984,,28587936,26627284,22874260,23460800,,1988,1988,644,768,,7784132,9037116,7603576,7193276
23,0,10,7,1,0,0,36258552,72478008,103574708,5388,31618596,,9245360,8843808,12158212,6011172,,20084588,19316716,17166168,15910536,,27750244,28253124,24623228,22948112,,1988,1988,644,768,,7784260,9037228,7603724,7193384
