Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,2,0,16783252,164993424,183740276,16648,19740572,,2832592,5610672,5819608,2520380,,43019592,39927992,38721572,43324268,,47096772,44835780,44646756,47160968,,3832,3824,3824,5168,,4336072,5190896,6175288,4038316
5,0,1,0,1,0,2,0,16816868,164935528,183683492,16648,19741624,,2856048,5613448,5826352,2521020,,42974312,39934448,38703944,43322824,,47051932,44842464,44629568,47159528,,3832,3824,3824,5168,,4336500,5191108,6175692,4038324
8,0,2,0,2,0,2,0,17249164,164383140,183185176,16656,20211884,,3182636,5597880,5949316,2519332,,42641452,39931840,38488520,43321328,,46719576,44839944,44467616,47158040,,3832,3824,3832,5168,,4630196,5191180,6352184,4038324
11,0,3,0,3,0,2,0,17852828,163797600,182643292,16656,20762464,,3237168,5602724,6167028,2845908,,42573384,39931472,38278744,43014000,,46651716,44839720,44261688,46890168,,3832,3824,3832,5168,,4691136,5191328,6566724,4313276
14,0,4,1,3,0,2,0,18160912,163482252,182396340,16664,21018280,,3253328,5757824,6197760,2952000,,42568044,39754168,38271484,42888556,,46661568,44714116,44255448,46765208,,3832,3832,3832,5168,,4704840,5294364,6594892,4424184
17,0,5,1,3,1,2,0,18496024,162853068,182000988,16664,21531400,,3264552,6028980,6229248,2973244,,42499536,39479140,38017160,42857232,,46593240,44440020,44218444,46749284,,3832,3832,3832,5168,,4710204,5567280,6807724,4446192
20,0,6,2,4,0,2,0,19213248,161697528,181162516,16664,22438020,,3613312,6072836,6238024,3289076,,42177312,39446200,37558920,42515096,,46271812,44416236,44064460,46410008,,3832,3832,3832,5168,,5018184,5614056,7095080,4710700
23,0,7,2,5,0,2,0,19516412,160943704,180599536,16664,22869520,,3658164,6097040,6383620,3377588,,42102380,39179808,37248540,42412976,,46197084,44356928,43737184,46308340,,3832,3832,3832,5168,,5073632,5816844,7180452,4798592
25,1,8,4,4,0,2,0,19823720,160462784,180372816,16664,23350736,,3680992,6099256,6626324,3417148,,42129072,38857960,37072168,42403584,,46239668,44252032,43562188,46318928,,3832,3832,3832,5168,,5090512,6019512,7404384,4836328
28,1,9,5,4,0,2,0,20020876,160060836,180054096,16664,23522048,,3712936,6213916,6659340,3434684,,42058312,38526444,37092484,42383596,,46169312,44000856,43582828,46301100,,3832,3832,3832,5168,,5095900,6142176,7436232,4847740
31,0,10,7,3,0,2,0,20880444,159218024,179230468,16664,24309920,,4065316,6471884,6898460,3444784,,41705864,38262648,36883496,42366016,,45817860,43738440,43390596,46283572,,3832,3832,3832,5168,,5415608,6418752,7619384,4856176
34,0,11,7,4,0,2,0,21426388,158681724,178698724,16664,24813308,,4125844,6517096,7072812,3710636,,41634908,38261392,36714372,42071052,,45747340,43737348,43222176,45991860,,3832,3832,3832,5168,,5478044,6458664,7806328,5070272
37,0,12,9,3,0,2,0,21744440,158375524,178445636,16664,25077784,,4145028,6632964,7116520,3849928,,41623172,38166212,36660744,41925396,,45753460,43660472,43184916,45846788,,3832,3832,3832,5168,,5495212,6522596,7847904,5212072
40,0,13,10,3,0,2,0,22164700,157966396,178056124,16664,25433404,,4216456,6924520,7134632,3889092,,41548192,37877968,36647292,41892944,,45678748,43373136,43174008,45830232,,3832,3832,3832,5168,,5514040,6816380,7855280,5247704
43,0,14,10,4,0,2,0,22850652,157259388,177351904,16664,26071768,,4532688,6958844,7155664,4203456,,41224748,37851572,36633928,41549140,,45356232,43347464,43160756,45487452,,3832,3832,3832,5168,,5832768,6861000,7870264,5507736
46,0,15,12,3,0,2,0,23277112,156833192,176947680,16664,26463492,,4606944,6981672,7380368,4308128,,41133292,37831248,36438624,41430028,,45269252,43343484,42966200,45368744,,3832,3832,3832,5168,,5907264,6879808,8047936,5628484
49,0,16,13,3,0,2,0,23177532,156463748,176610128,16664,26803536,,4625328,7131612,7554284,3866308,,41115632,37687256,36275888,41384972,,45269472,43200560,42804552,45335544,,3832,3832,3832,5168,,5935440,6974184,8228672,5665240
52,0,17,14,3,0,2,0,23048524,156145576,176302384,16660,27126868,,4648460,6905788,7603512,3890764,,41100668,37430548,36239540,41374820,,45254676,42952460,42772716,45322532,,3832,3828,3832,5168,,5947920,7238576,8259472,5680900
55,0,18,14,4,0,2,0,23237252,155495680,175665584,16656,27670288,,5001640,6945868,7378520,3911224,,40719440,37384440,36031340,41360460,,44874568,42904656,42581488,45304872,,3832,3828,3828,5168,,6253156,7274176,8451700,5691256
