Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,1,34797552,75722616,97478480,128,22305476,,5103264,11829696,12202236,5662356,,21821468,15920784,15333020,22647344,,27881760,21033428,20199136,28364156,,32,32,32,32,,5910208,5467664,5225784,5701820
3,0,1,0,1,0,1,35026160,75545684,97335192,128,22491880,,5103136,11815492,12203144,5904388,,21830140,15965944,15346912,22402688,,27890572,21078720,20214716,28151184,,32,32,32,32,,5910348,5467804,5227468,5886260
5,0,2,0,2,0,1,35287060,75257928,97082224,128,22687400,,5104684,11821516,12405704,5955156,,21828404,15946684,15135924,22346916,,27888852,21059696,20068016,28065660,,32,32,32,32,,5910416,5468036,5376572,5932376
7,0,3,0,3,0,1,35346240,75178892,96944920,128,22772148,,5138380,11826068,12471740,5910052,,21810460,15945932,15036040,22386460,,27873112,21059284,19907312,28105212,,32,32,32,32,,5912616,5468376,5458776,5932380
10,0,4,0,4,0,1,35686952,74756572,96572440,128,23053792,,5397752,11930396,12447544,5911260,,21505972,15825540,15043824,22381236,,27568680,20988772,19914792,28100196,,32,32,32,32,,6143916,5518600,5458676,5932600
12,0,5,0,5,0,1,35665088,74372008,96176576,128,23467140,,5355564,11898116,12243400,6168008,,21577256,15622496,15054148,22118108,,27640096,20743948,19923964,27868568,,32,32,32,32,,6144052,5709684,5472828,6140576
14,0,6,0,6,0,1,36094740,74139480,95970980,128,23627876,,5349656,11901164,12645060,6198860,,21570984,15663132,14850228,22055136,,27633840,20779564,19783180,27774396,,32,32,32,32,,6144056,5715636,5605396,6162788
16,1,7,0,7,0,1,36260372,73971676,95841432,128,23761012,,5350500,12069828,12684844,6155200,,21568504,15474028,14806004,22123140,,27631500,20665536,19701984,27842412,,32,32,32,32,,6144200,5832564,5621432,6162816
19,0,8,0,8,0,1,35963612,73811976,95594136,128,23958204,,5389644,11964864,12454392,6154712,,21546132,15355704,14769836,22140304,,27616784,20474020,19643548,27859784,,32,32,32,32,,6151928,5949932,5693320,6163024
21,0,9,0,9,0,1,36206928,73571492,95408104,128,24095280,,5182200,11955320,12914248,6155160,,21482304,15409344,14540524,22139320,,27545516,20528324,19475456,27858808,,32,32,32,32,,6141516,5950600,5840136,6163028
23,1,10,0,10,0,0,36477360,73306308,95114960,128,24388048,,5152900,11974620,12935136,6414704,,21568912,15383388,14501888,21852120,,27633196,20502600,19375868,27603296,,32,32,32,32,,6142332,5950840,5923640,6371236
26,0,11,0,11,0,0,36306336,73281356,95061992,128,24427864,,5171644,11973168,12733980,6427544,,21549476,15380572,14513960,21837348,,27615044,20500064,19388116,27558768,,32,32,32,32,,6143688,5951108,5923880,6409188
28,1,12,0,12,0,0,36675248,72813680,94668944,128,24787528,,5194620,12146620,12936940,6397068,,21256504,15194572,14489744,21872860,,27322072,20387420,19364960,27594492,,32,32,32,32,,6373412,6068368,5936344,6409404
31,0,13,0,13,0,0,36933912,72549036,94392224,128,25064464,,5173132,12225076,13136652,6399052,,21304704,15091684,14286712,21865936,,27370420,20211304,19222924,27587576,,32,32,32,32,,6373564,6195744,6085744,6409412
33,0,14,0,14,0,0,36833096,72455440,94261080,128,25186588,,5231508,12243448,12958804,6399336,,21262952,15079676,14249580,21863232,,27352132,20199688,19124172,27585088,,32,32,32,32,,6397840,6195948,6183168,6409632
36,0,15,0,15,0,0,36990136,72070936,93880508,128,25459476,,5234336,12392400,12961408,6401992,,20991852,14888768,14342052,21848264,,27060896,20082672,19165168,27571772,,32,32,32,32,,6606692,6309808,6131696,6411280
38,0,16,0,16,0,0,36986336,71883232,93723156,128,25641996,,5201716,12162092,12962388,6660140,,21054644,14916040,14335600,21576948,,27123696,20108344,19158964,27332152,,32,32,32,32,,6606700,6288892,6131944,6614460
41,0,17,0,17,0,0,37215472,71623180,93409660,128,25854508,,5200676,12370524,12964040,6680232,,21060652,14677772,14327184,21557572,,27129844,19847808,19150644,27281364,,32,32,32,32,,6606844,6474864,6132096,6640704
43,0,18,0,18,0,0,37305524,71299832,93102864,128,26179764,,5203884,12297420,13161088,6643132,,21069812,14535248,14095624,21599148,,27139020,19657796,18982896,27323152,,32,32,32,32,,6606852,6654576,6277428,6640908
45,1,19,0,19,0,0,37624556,71133484,92906828,128,26296792,,5266580,12492168,13223080,6642728,,20996596,14524364,14009172,21603352,,27091032,19649184,18839236,27327376,,32,32,32,32,,6632132,6656348,6367380,6640932
48,0,20,0,20,0,0,37492556,70839980,92615396,128,26470496,,5494540,12320096,13014400,6663520,,20732984,14515548,14003748,21587700,,26802428,19640048,18829544,27343376,,32,32,32,32,,6837432,6656564,6378436,6598064
50,1,21,0,21,0,0,38291996,70358564,92176332,128,26876724,,5444324,12668436,13198212,6981024,,20777160,14305972,14026820,21248612,,26846724,19504016,18852664,26972928,,32,32,32,32,,6837560,6790776,6378492,6869896
53,0,22,0,22,0,0,38183484,70491308,92302496,128,26887132,,5213736,12715704,13375440,6878604,,21047052,14240968,13856580,21346708,,27117676,19367348,18746232,27071240,,32,32,32,32,,6607360,6902148,6507512,6870112
55,1,23,0,23,0,0,38265796,70296620,92091400,128,26944264,,5273008,12644728,13446824,6901236,,20730624,14509884,13736364,21319748,,26812628,19636348,18565004,27077420,,32,32,32,32,,6846712,6658548,6609860,6829144
58,0,24,0,24,0,0,38473524,70102900,91917892,128,27127468,,5485128,12658352,13239248,7090796,,20764544,14495592,13737532,21105232,,26843204,19644752,18566804,26863132,,32,32,32,32,,6847260,6672320,6609916,6997972
61,0,25,0,25,0,0,38387132,69668076,91544008,128,27440176,,5732584,12483696,13013896,7156956,,20478120,14170404,13967868,21051684,,26552912,19354240,18858688,26778168,,32,32,32,32,,7083904,6900780,6354400,7101092
63,0,26,0,26,0,0,39141936,69129704,90999756,128,27936520,,5982836,12926284,13108036,7124780,,20208520,14176780,13660488,21083916,,26280896,19376128,18532120,26810612,,32,32,32,32,,7312736,6881596,6640876,7101312
66,0,27,0,27,0,0,38620208,69523740,91374624,128,27657032,,5967360,12692880,12832620,7127348,,20455652,13961520,14029880,21076688,,26555712,19090868,18923000,26805044,,32,32,32,32,,7113140,7120180,6320744,7102968
68,1,28,0,28,0,0,38989904,68947520,90747104,128,28105812,,6181992,12677320,12948128,7182464,,20212560,14022404,13684276,21028280,,26284928,19151624,18522212,26788340,,32,32,32,32,,7313564,7120216,6618124,7053908
71,0,29,0,29,0,0,39556036,68637964,90408396,128,28416428,,6158808,12969480,12961748,7466000,,20240480,13983212,13675104,20739168,,26313012,19111992,18513516,26469876,,32,32,32,32,,7313768,7119208,6650268,7333184
