Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,41800380,69383924,96448420,128,27671432,,6445360,14202276,13980660,7172084,,21018336,13185288,13240500,21939800,,27656944,20705968,19938376,28147132,,32,32,32,32,,6581988,7857652,7041440,6190352
2,1,1,0,1,0,1,42025508,69127760,96193328,128,27827992,,6444088,14202952,13977236,7401232,,21013652,13165160,13242460,21706488,,27652404,20686492,19940548,27913884,,32,32,32,32,,6582128,7858316,7041668,6345880
5,0,2,0,2,0,1,42191728,68976656,96043972,128,27966880,,6482684,14203532,13977856,7527656,,20991760,13179076,13233416,21572404,,27631632,20700712,19931616,27780012,,32,32,32,32,,6583296,7858556,7041740,6483288
7,0,3,0,3,0,1,42629664,68543528,95617660,128,28328060,,6741580,14206016,14132628,7549440,,20732728,13174016,13087784,21549000,,27373836,20695824,19787692,27760308,,32,32,32,32,,6827392,7858748,7129328,6512592
9,0,4,0,4,0,1,43010120,68139444,95215024,128,28643292,,6804368,14295300,14337692,7572760,,20652252,13080464,12875852,21530876,,27293368,20603260,19576152,27742244,,32,32,32,32,,6903188,7880820,7336284,6523000
11,1,5,2,3,0,1,43524432,67624852,94701308,128,29118000,,6830624,14521820,14365248,7806740,,20633180,12868168,12823208,21300296,,27274412,20391160,19523796,27511940,,32,32,32,32,,6925792,8107724,7375972,6708512
14,0,6,2,4,0,1,43538936,67618636,94697240,128,29085604,,6870088,14578064,14155712,7935072,,20607104,12783652,13066056,21161824,,27248484,20306772,19768500,27373484,,32,32,32,32,,6931176,8180080,7134540,6839808
16,0,7,2,4,0,1,43563000,67549712,94634484,128,29026236,,7157436,14255720,14522544,7627300,,20297136,13113340,12684672,21454564,,26942628,20636048,19387604,27668204,,32,32,32,32,,7180184,7859756,7446588,6539708
18,1,8,1,3,0,1,44285624,66802828,93889340,128,29573264,,7032984,14603552,14746780,7902308,,20419724,12759232,12436544,21187328,,27065396,20283152,19139768,27401024,,32,32,32,32,,7044564,8089100,7667748,6771852
21,0,9,2,3,0,1,44757692,66325456,93414596,128,30100852,,7230612,14913272,14377724,8236084,,20221448,12451040,12808920,20844048,,26868032,19976220,19512328,27058016,,32,32,32,32,,7238380,8425188,7380436,7056848
23,1,10,3,4,0,1,44059372,66973644,94065976,128,29450984,,6886596,14646000,14551404,7975372,,20553612,12688768,12645472,21085792,,27201496,20213440,19351276,27299764,,32,32,32,32,,6937948,8182712,7489552,6840772
26,0,11,3,5,0,1,44700188,66335028,93433728,128,29941308,,7146764,14666236,14737072,8150116,,20304468,12674992,12440804,20914764,,26952536,20204236,19147960,27128996,,32,32,32,32,,7104160,8150856,7690660,6995632
28,0,12,1,5,0,1,45339756,65620920,92721500,128,30418680,,7445772,15074444,14475124,8344416,,19970328,12241828,12695392,20713372,,26618600,19771652,19402736,26928512,,32,32,32,32,,7357660,8503368,7379656,7177996
31,0,13,1,5,0,1,45641952,65306728,92411140,128,30757312,,7275100,15370000,14732248,8264604,,20141020,11943812,12434236,20787660,,26789280,19475344,19142108,27004408,,32,32,32,32,,7228904,8793936,7658072,7076400
33,0,14,2,5,0,0,45246184,65702628,92810060,128,30330672,,6949872,15181692,14785784,8328836,,20474532,12132816,12395352,20699928,,27124120,19665888,19103320,26916732,,32,32,32,32,,6934224,8589788,7722624,7084036
36,0,15,2,5,0,0,46364792,64548704,91661000,128,31337296,,7248284,15416248,14973764,8726496,,20174580,11890496,12190728,20292900,,26824184,19423816,18898892,26514108,,32,32,32,32,,7194000,8824212,7843616,7475468
38,0,16,3,5,0,0,46511624,64329120,91447152,128,31469704,,7313216,15487328,14921088,8789992,,20095524,11791896,12234580,20207120,,26746368,19327648,18943140,26429996,,32,32,32,32,,7271276,8872592,7780348,7545488
40,1,17,3,5,0,0,46318568,64556744,91679788,128,31301636,,6645664,15746256,15162856,8763792,,20776980,11542456,11987636,20249672,,27431164,19078276,18697588,26472760,,32,32,32,32,,6597268,9132528,8020892,7550948
43,0,18,2,5,0,0,46749032,63739164,90869304,128,32008588,,7492660,15423684,15191072,8641616,,19892784,11498004,11958304,20390072,,26547264,19038568,18670236,26613236,,32,32,32,32,,7345656,9208944,8060092,7393896
45,1,19,3,6,0,0,47625000,63172332,90301516,128,32318788,,7939952,15457760,15215416,9011872,,19405268,11852540,11910364,20004160,,26059808,19388796,18624312,26228600,,32,32,32,32,,7735660,8869972,8001456,7711700
48,0,20,5,5,0,0,48332536,62499544,89642188,128,32934588,,7818856,15819476,15547496,9146708,,19575648,11473060,11581580,19869256,,26235748,19014680,18296128,26095632,,32,32,32,32,,7597344,9138440,8346052,7852752
50,0,21,5,5,0,0,48417240,62371988,89514308,128,32953972,,7465120,16132432,15402696,9416992,,19926976,11142372,11707264,19595376,,26585948,18683596,18421428,25823336,,32,32,32,32,,7283772,9456888,8166120,8047192
