Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
1,0,0,0,0,0,0,0,1666588,91724500,127668944,20960,37178448,,490204,393512,391020,391852,,22570148,23199760,23184712,22769880,,31845292,31953580,31938236,31931836,,5240,5240,5240,5240,,9582112,9063516,9063308,9469512
3,0,1,0,0,1,0,0,1666224,91759716,127704184,20960,37178472,,490068,393500,390576,392080,,22579452,23201028,23196452,22782784,,31854608,31954852,31949980,31944744,,5240,5240,5240,5240,,9582124,9063512,9063316,9469520
5,0,2,0,0,2,0,0,1666996,91771640,127716148,20960,37178524,,490724,393516,390668,392088,,22578312,23204680,23202440,22786208,,31853472,31958516,31955980,31948180,,5240,5240,5240,5240,,9582132,9063536,9063332,9469524
7,0,3,0,0,3,0,0,1668204,91814756,127741136,20960,37160440,,490724,392428,391104,393948,,22590608,23212904,23213640,22797604,,31845632,31966744,31967192,31961568,,5240,5240,5240,5240,,9561984,9063528,9063348,9471580
9,0,4,0,0,4,0,0,1666404,91834356,127760504,20960,37160312,,490032,392220,390640,393512,,22597320,23213928,23219196,22803912,,31852016,31967780,31972756,31967952,,5240,5240,5240,5240,,9561828,9063536,9063356,9471592
11,0,5,0,0,5,0,0,1667776,91838044,127764224,20960,37160344,,490660,392356,391076,393684,,22595864,23212668,23225640,22803872,,31850572,31966532,31979204,31967916,,5240,5240,5240,5240,,9561836,9063560,9063348,9471600
13,0,6,0,0,6,0,0,1667572,91842564,127768772,20960,37160396,,490348,392344,391020,393860,,22595612,23216524,23226104,22804324,,31850324,31970392,31979680,31968376,,5240,5240,5240,5240,,9561844,9063568,9063372,9471612
15,0,7,0,0,7,0,0,1667776,91853272,127779516,20960,37160412,,490424,392196,391264,393892,,22603308,23216332,23228544,22805088,,31858028,31970212,31982132,31969144,,5240,5240,5240,5240,,9561852,9063576,9063380,9471604
17,1,8,0,0,8,0,0,1668100,91861748,127788028,20960,37160432,,490788,392300,391228,393784,,22607576,23219640,23230320,22804212,,31862308,31973524,31983912,31968284,,5240,5240,5240,5240,,9561852,9063576,9063376,9471628
19,1,9,0,0,9,0,0,1668004,91868612,127794920,20960,37160452,,490272,392716,391328,393688,,22606576,23219580,23229120,22813336,,31861316,31973472,31982720,31977412,,5240,5240,5240,5240,,9561864,9063576,9063384,9471628
22,0,10,0,0,10,0,0,1668244,91871676,127798020,20960,37160500,,490876,392252,391088,394028,,22606140,23225060,23229872,22810604,,31860884,31978964,31983484,31974688,,5240,5240,5240,5240,,9561868,9063592,9063408,9471632
24,0,11,0,0,11,0,0,1667876,91881792,127808176,20960,37160528,,490464,392396,391124,393892,,22605520,23231268,23234376,22810628,,31860276,31985180,31987992,31974728,,5240,5240,5240,5240,,9561876,9063596,9063400,9471656
26,0,12,0,0,12,0,0,1668556,91883716,127810132,20960,37160576,,490780,393024,390788,393964,,22609492,23229536,23236528,22808160,,31864256,31983456,31990160,31972260,,5240,5240,5240,5240,,9561892,9063604,9063420,9471660
28,0,13,0,0,13,0,0,1670316,91885068,127813568,20960,37162672,,490968,394400,391092,393856,,22610496,23229480,23237528,22807564,,31865268,31985464,31991164,31971672,,5240,5240,5240,5240,,9561904,9065680,9063424,9471664
30,0,14,0,0,14,0,0,1670176,91884612,127813140,20960,37162700,,490492,394324,391028,394332,,22611784,23227436,23236620,22808772,,31866564,31983424,31990264,31972888,,5240,5240,5240,5240,,9561912,9065684,9063436,9471668
32,0,15,0,0,15,0,0,1670304,91883016,127811584,20960,37162716,,490744,394408,390860,394292,,22611044,23227100,23235916,22808956,,31865832,31983096,31989572,31973084,,5240,5240,5240,5240,,9561908,9065684,9063444,9471680
34,0,16,0,0,16,0,0,1670564,91880364,127810948,20960,37164796,,490228,393988,392824,393524,,22610824,23226668,23234012,22808860,,31865620,31982676,31989656,31972996,,5240,5240,5240,5240,,9561916,9065692,9065500,9471688
36,0,17,0,0,17,0,0,1672796,91873452,127804140,20960,37164864,,490348,394112,394056,394280,,22608012,23226084,23231656,22807700,,31862816,31982104,31987372,31971848,,5240,5240,5240,5240,,9561940,9065704,9065516,9471704
38,0,18,0,0,18,0,0,1672184,91878164,127808888,20960,37164888,,490516,394152,393896,393620,,22613736,23226988,23231104,22806336,,31868548,31983016,31986832,31970492,,5240,5240,5240,5240,,9561948,9065716,9065516,9471708
40,0,19,0,0,19,0,0,1672408,91886956,127817724,20960,37164936,,490596,394484,393616,393712,,22614432,23226564,23231212,22814748,,31869260,31982600,31986956,31978908,,5240,5240,5240,5240,,9561960,9065736,9065528,9471712
42,0,20,0,0,20,0,0,1675220,91883668,127816528,20960,37167012,,492744,394100,394028,394348,,22612896,23226236,23230532,22814004,,31869780,31982288,31986284,31978176,,5240,5240,5240,5240,,9564008,9065740,9065544,9471720
44,1,21,0,0,21,0,0,1674708,91884564,127817464,20960,37167072,,492484,394332,393632,394260,,22612992,23225452,23232356,22813764,,31869888,31981508,31988120,31977948,,5240,5240,5240,5240,,9564020,9065752,9065556,9471744
46,1,22,0,0,22,0,0,1674168,91885588,127818516,20960,37167108,,492360,394320,393628,393860,,22613412,23226068,23233400,22812708,,31870320,31982132,31989164,31976900,,5240,5240,5240,5240,,9564040,9065764,9065552,9471752
49,0,23,0,0,23,0,0,1674772,91885632,127818600,20960,37167124,,492512,394504,393752,394004,,22613752,23226124,23233392,22812364,,31870668,31982200,31989172,31976560,,5240,5240,5240,5240,,9564040,9065768,9065568,9471748
51,0,24,0,0,24,0,0,1674704,91886596,127819604,20960,37167172,,492708,394436,393692,393868,,22614924,23228084,23231656,22811932,,31871852,31984164,31987444,31976144,,5240,5240,5240,5240,,9564052,9065772,9065580,9471768
53,0,25,0,0,25,0,0,1674508,91882584,127815620,20960,37167200,,492764,394152,393736,393856,,22612312,23228316,23230028,22811928,,31869244,31984412,31985816,31976148,,5240,5240,5240,5240,,9564060,9065784,9065576,9471780
55,0,26,0,0,26,0,0,1679608,91880932,127818092,20960,37171308,,492480,394904,393760,398464,,22612656,23227144,23232316,22808816,,31869604,31983240,31988120,31977128,,5240,5240,5240,5240,,9564068,9065784,9065592,9475864
57,0,27,0,0,27,0,0,1679268,91882352,127819548,20960,37171352,,492556,394300,394016,398396,,22611116,23230856,23232388,22807992,,31868064,31986964,31988196,31976324,,5240,5240,5240,5240,,9564072,9065796,9065596,9475888
59,0,28,0,0,28,0,0,1678128,91878992,127816228,20960,37171388,,492144,394296,393700,397988,,22611548,23229008,23231036,22807400,,31868516,31985124,31986852,31975736,,5240,5240,5240,5240,,9564096,9065800,9065600,9475892
61,0,29,0,0,29,0,0,1678668,91882592,127819864,20960,37171412,,492412,394016,393880,398360,,22612112,23229952,23230424,22810104,,31869080,31986076,31986252,31978456,,5240,5240,5240,5240,,9564088,9065808,9065612,9475904
63,0,30,0,0,30,0,0,1678836,91878972,127816276,20960,37171456,,492396,394468,393768,398204,,22611712,23230260,23230052,22806948,,31868696,31986392,31985888,31975300,,5240,5240,5240,5240,,9564112,9065820,9065620,9475904
65,0,31,0,0,31,0,0,1678904,91877580,127814932,20960,37171524,,492256,394388,394116,398144,,22610908,23229428,23229640,22807604,,31867896,31985576,31985488,31975972,,5240,5240,5240,5240,,9564116,9065840,9065640,9475928
67,1,32,0,0,32,0,0,1678160,91876196,127813580,20960,37171528,,492132,394352,393576,398100,,22611428,23229276,23228676,22806816,,31868428,31985428,31984528,31975196,,5240,5240,5240,5240,,9564124,9065836,9065636,9475932
69,1,33,0,0,33,0,0,1678812,91878208,127815616,20960,37171544,,492432,394416,393888,398076,,22612456,23227740,23229840,22808172,,31869460,31983900,31985700,31976556,,5240,5240,5240,5240,,9564124,9065844,9065644,9475932
71,1,34,0,0,34,0,0,1678488,91873340,127810800,20960,37171608,,492208,393940,394312,398028,,22608640,23227252,23229736,22807712,,31865652,31983428,31985612,31976108,,5240,5240,5240,5240,,9564132,9065864,9065668,9475944
74,0,35,0,0,35,0,0,1682832,91873012,127814580,20960,37175732,,492388,398508,393716,398220,,22610200,23225688,23230060,22807064,,31867220,31985952,31985936,31975472,,5240,5240,5240,5240,,9564140,9069960,9065664,9475968
76,0,36,0,0,36,0,0,1683032,91870280,127811900,20960,37175768,,492484,398648,394044,397856,,22606472,23225896,23229956,22807956,,31863500,31986184,31985844,31976372,,5240,5240,5240,5240,,9564148,9069972,9065672,9475976
78,0,37,0,0,37,0,0,1683272,91873848,127815516,20960,37175824,,492484,398144,394196,398448,,22608472,23227296,23230260,22807820,,31865516,31987588,31986164,31976248,,5240,5240,5240,5240,,9564172,9069988,9065688,9475976
80,0,38,0,0,38,0,0,1682788,91873004,127814700,20960,37175844,,492256,398792,393840,397900,,22609788,23226756,23229088,22807372,,31866836,31987064,31985000,31975800,,5240,5240,5240,5240,,9564176,9069992,9065700,9475976
82,0,39,0,0,39,0,0,1686960,91869476,127815284,20960,37179972,,492332,398496,397820,398312,,22613540,23225060,23223972,22806904,,31870600,31985368,31983972,31975344,,5240,5240,5240,5240,,9564188,9070000,9069796,9475988
84,0,40,0,0,40,0,0,1687412,91869952,127815812,20960,37180008,,492248,398824,398228,398112,,22613700,23224336,23223380,22808536,,31870764,31984660,31983404,31976984,,5240,5240,5240,5240,,9564184,9070012,9069816,9475996
