Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Error,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,0,0,0,0,0,1,0,39653920,68563628,95677740,128,28694760,,8584196,10992332,12913804,7163588,,20604692,13904332,12924456,21130148,,26055672,21834404,20925560,26862104,,32,32,32,32,,6027872,8274188,8476332,5916368
2,0,1,0,1,0,0,0,39425256,68831696,95952304,128,28466404,,8130752,10997228,12907572,7389704,,21079832,13915668,12918436,20917760,,26530792,21845824,20924040,26651648,,32,32,32,32,,5644068,8274260,8480744,6067332
4,1,2,0,2,0,0,0,39632956,68603648,95725052,128,28625240,,8173796,11000132,12909640,7549388,,21015416,13911608,12918336,20758288,,26466548,21842288,20924032,26492184,,32,32,32,32,,5644272,8274776,8480856,6225336
7,0,3,0,3,0,0,0,40114832,68114872,95243420,128,29024100,,8456456,11002024,13081736,7574616,,20740672,13885476,12766916,20721808,,26191840,21818588,20775012,26457980,,32,32,32,32,,5888772,8277200,8587508,6270620
9,0,4,0,3,1,0,0,40500900,67704080,94834296,128,29372444,,8511780,11124432,13259944,7604744,,20654596,13777864,12571976,20699644,,26105904,21712064,20580300,26436028,,32,32,32,32,,5964456,8332368,8776540,6299080
11,0,5,1,4,0,0,0,40856440,67344944,94480112,128,29674100,,8614720,11338420,13291240,7612060,,20565936,13553428,12536496,20689084,,26017324,21487992,20544984,26429812,,32,32,32,32,,6023540,8543004,8804132,6303424
13,1,6,2,4,0,0,0,41444260,66750376,93893184,128,30156932,,8893648,11396936,13292296,7861380,,20273180,13491048,12548000,20438148,,25724756,21431240,20558040,26179148,,32,32,32,32,,6258044,8605172,8808044,6485672
16,0,7,3,4,0,0,0,41797112,66405960,93549528,128,30469796,,8955956,11512548,13347848,7980760,,20204916,13391432,12493228,20316384,,25656500,21332044,20503596,26057388,,32,32,32,32,,6341920,8655540,8861876,6610460
18,0,8,5,3,0,0,0,42366448,65835900,92984152,128,30991260,,9017764,11767536,13526408,8054740,,20156828,13126476,12310876,20241720,,25608604,21069524,20321388,25984636,,32,32,32,32,,6401776,8925948,8977016,6686520
20,1,9,6,3,0,0,0,42667140,65512512,92662752,128,31233276,,9056928,11842720,13710568,8056924,,20115544,13033712,12126540,20236716,,25568456,20977360,20137292,25979644,,32,32,32,32,,6402956,8985932,9157860,6686528
23,0,10,6,4,0,0,0,43224860,64927792,92081676,128,31686160,,9332936,11852984,13741756,8297184,,19853460,13022552,12067204,19984576,,25307656,20966468,20078136,25729416,,32,32,32,32,,6642076,8989584,9197512,6856988
25,0,11,7,4,0,0,0,43738440,64406644,91606332,128,32143560,,9406724,11966300,13940876,8424540,,19754592,12909584,11879136,19863332,,25208812,20898408,19890908,25608204,,32,32,32,32,,6725756,9088164,9334928,6994712
27,1,12,9,3,0,0,0,44108280,64019416,91220948,128,32461468,,9465424,12008116,14133180,8501560,,19696640,12867812,11671292,19783672,,25152960,20856828,19683240,25527920,,32,32,32,32,,6784768,9088736,9524212,7063752
30,0,13,10,3,0,0,0,44661236,63448044,90652068,128,32935468,,9468608,12261588,14202312,8728728,,19680612,12629512,11596576,19541344,,25137092,20618836,19610456,25285684,,32,32,32,32,,6784920,9337528,9579724,7233296
32,0,14,10,4,0,0,0,44977688,63107764,90314500,128,33247500,,9504224,12309336,14252720,8911408,,19644240,12546264,11561136,19356124,,25100752,20535684,19575724,25102340,,32,32,32,32,,6785036,9411948,9628736,7421780
34,0,15,11,4,0,0,0,45538524,62580252,89787904,128,33739852,,9789464,12512088,14247952,8989020,,19362912,12371208,11564756,19281376,,24819600,20361248,19579448,25027608,,32,32,32,32,,7076576,9541736,9628916,7492624
37,0,16,13,3,0,0,0,45996896,62119744,89335772,128,34129328,,9862740,12728544,14415716,8989896,,19307128,12127820,11395400,19289396,,24767924,20119196,19412764,25035888,,32,32,32,32,,7154124,9752000,9729920,7493284
39,0,17,14,3,0,0,0,46506560,61568756,88786196,128,34618400,,9931352,12757312,14609560,9208336,,19214012,12097008,11197312,19060424,,24675592,20088632,19214996,24806976,,32,32,32,32,,7221788,9800664,9922880,7673068
41,1,18,14,4,0,0,0,46843072,61216744,88438016,128,34899228,,10018772,12836784,14640732,9346784,,19149916,12017700,11145088,18904040,,24611524,20010720,19162924,24652848,,32,32,32,32,,7270996,9851864,9963776,7812592
44,0,19,16,3,0,0,0,47466432,60589540,87821560,128,35414612,,10304176,13014108,14729416,9418732,,18854024,11830812,11069084,18835620,,24317864,19825844,19093396,24584456,,32,32,32,32,,7520032,9958276,10055120,7881184
46,0,20,16,4,0,0,0,47943496,60096096,87329808,128,35857896,,10361048,13216080,14890976,9475392,,18786500,11636332,10881780,18791484,,24250360,19631512,18906412,24541524,,32,32,32,32,,7595276,10174132,10151936,7936552
48,1,21,18,3,0,0,0,48516860,59510336,86748336,128,36366256,,10435804,13286012,15093040,9702004,,18712044,11554296,10685372,18558624,,24177360,19549888,18712148,24308940,,32,32,32,32,,7661764,10236208,10350912,8117372
51,0,22,19,3,0,0,0,48799132,59263348,86452636,128,36586488,,10504252,13341556,15131872,9821452,,18653052,11548344,10631608,18430344,,24119568,19493416,18658976,24180676,,32,32,32,32,,7705516,10237308,10397316,8246348
53,0,23,20,3,0,0,0,49430588,58611816,85810416,128,37123532,,10784860,13458536,15226508,9960684,,18356624,11427644,10549284,18278264,,23824388,19372928,18577672,24035428,,32,32,32,32,,7945392,10312512,10492208,8373420
55,1,24,21,3,0,0,0,49907712,58115604,85323844,128,37565052,,10859168,13700676,15401424,9946444,,18279972,11167756,10378676,18289200,,23747740,19121528,18407752,24046824,,32,32,32,32,,8028352,10549016,10609904,8377780
58,0,25,21,4,0,0,0,50341744,57676916,84897396,128,37967120,,10951188,13769204,15609116,10012236,,18188560,11092940,10164488,18230928,,23657860,19056996,18193780,23988760,,32,32,32,32,,8094232,10626756,10818932,8427200
60,0,26,23,3,0,0,0,51092548,56910884,84137064,128,38616348,,11283428,13887164,15667392,10254564,,17849756,10987640,10094492,17978996,,23319020,18953424,18125692,23738928,,32,32,32,32,,8391720,10740924,10880376,8603328
63,0,27,23,4,0,0,0,51505236,56513312,83742480,128,39000860,,11351612,13893572,15834700,10425352,,17781584,10989908,9936232,17805588,,23250864,18956020,17968180,23567416,,32,32,32,32,,8469276,10745456,10990636,8795492
65,0,28,24,4,0,0,0,52042128,55973732,83207084,128,39481240,,11449776,14017528,16062556,10512268,,17698328,10869764,9703496,17702144,,23169120,18836216,17736412,23465336,,32,32,32,32,,8576180,10807768,11232432,8864860
67,1,29,25,4,0,0,0,52419036,55562996,82802232,128,39782204,,11510200,14293000,16100464,10515372,,17607216,10596360,9648780,17710640,,23078068,18568260,17681896,23474008,,32,32,32,32,,8580520,11069544,11267076,8865064
70,0,30,26,4,0,0,0,53146868,54825672,82066696,128,40457524,,11814340,14349896,16250220,10732412,,17320556,10511220,9499952,17493944,,22791564,18483420,17534276,23257436,,32,32,32,32,,8873300,11130752,11416552,9036920
72,0,31,28,3,0,0,0,53728032,54218480,81466336,128,40994732,,11910840,14414228,16434008,10968956,,17212848,10442664,9310224,17252744,,22683868,18419820,17346196,23016452,,32,32,32,32,,8995520,11191296,11530480,9277436
74,1,32,29,3,0,0,0,54189620,53725268,80976492,128,41363916,,11979012,14532888,16627872,11049848,,17147612,10328244,9103828,17145584,,22620148,18306012,17139968,22910364,,32,32,32,32,,9057696,11239740,11715360,9351120
77,0,33,30,3,0,0,0,54755476,53171764,80424060,128,41880452,,12038428,14783376,16654964,11278708,,17094452,10069628,9079524,16928160,,22567004,18047540,17116020,22693496,,32,32,32,32,,9111824,11492400,11748500,9527728
79,0,34,31,3,0,0,0,55088612,52852476,80107000,128,42208980,,12087232,14865408,16747288,11388684,,17034060,9992580,9005916,16819920,,22507460,17971180,17043088,22585272,,32,32,32,32,,9113128,11609120,11837948,9648784
81,1,35,31,4,0,0,0,55767308,52137988,79396236,128,42779756,,12355872,14930496,16916876,11564064,,16754536,9921504,8821272,16640676,,22228408,17901836,16858788,22407204,,32,32,32,32,,9351588,11667552,11941212,9819404
84,0,36,33,3,0,0,0,56239824,51718452,78929752,128,43180296,,12427976,15080768,17154104,11576976,,16726736,9754324,8592612,16644780,,22150612,17735152,16630592,22413396,,32,32,32,32,,9380496,11789260,12189016,9821524
86,1,37,34,3,0,0,0,56796764,51156972,78379656,128,43667000,,12612848,15309116,17243308,11631492,,16533392,9553964,8482200,16587416,,21958772,17537112,16527728,22356044,,32,32,32,32,,9497608,12018744,12278684,9871964
89,0,38,34,4,0,0,0,57611148,50303976,77533844,128,44402748,,12931140,15454168,17336668,11889172,,16222420,9386296,8384804,16310456,,21652452,17369684,16432356,22079352,,32,32,32,32,,9808284,12158556,12375728,10060180
91,0,39,36,3,0,0,0,58114264,49762468,77006176,128,44853148,,13046512,15511040,17508512,12048200,,16091000,9324144,8197504,16149820,,21524780,17313172,16247628,21920596,,32,32,32,32,,9932392,12212664,12474200,10233892
94,0,40,37,3,0,0,0,58640880,49257516,76504888,128,45331900,,13152152,15613660,17698768,12176300,,15991740,9229980,8010168,16025628,,21427072,17219440,16060584,21797792,,32,32,32,32,,10039652,12264724,12668572,10358952
96,0,41,38,3,0,0,0,59212704,48669496,75919244,128,45840896,,13155224,15832692,17798192,12426596,,15988216,9018504,7905484,15757292,,21423552,17010052,15956116,21529524,,32,32,32,32,,10039804,12486256,12773756,10541080
98,1,42,38,4,0,0,0,59677692,48164140,75416820,128,46280504,,13237920,15946116,17898392,12595264,,15889056,8881980,7794296,15598808,,21324640,16874980,15845952,21371248,,32,32,32,32,,10091288,12593676,12873268,10722272
101,0,43,39,4,0,0,0,60260812,47564248,74822364,128,46785424,,13559256,16042572,17943088,12715896,,15559952,8774436,7751484,15478376,,20995580,16769024,15805584,21252176,,32,32,32,32,,10382184,12635788,12924872,10842580
103,0,44,41,3,0,0,0,60928640,46885592,74152036,128,47415176,,13641416,16372268,18141032,12773924,,15470544,8436564,7564248,15414236,,20906332,16433168,15624284,21188252,,32,32,32,32,,10512928,12946652,13057840,10897756
105,1,45,42,3,0,0,0,61444420,46363436,73631904,128,47891224,,13797524,16481016,18341504,12824376,,15333132,8322132,7351516,15356656,,20770332,16319076,15411812,21130684,,32,32,32,32,,10621800,13065396,13256916,10947112
108,0,46,42,4,0,0,0,62045744,45767476,73038184,128,48433760,,14085268,16527912,18386036,13046528,,15042232,8288008,7301824,15135412,,20479660,16286708,15362108,20909708,,32,32,32,32,,10860368,13128376,13310624,11134392
110,0,47,43,4,0,0,0,62525992,45281824,72557312,128,48888324,,14220892,16700144,18443140,13161816,,14903328,8108128,7264048,15006320,,20341988,16107340,15327352,20780632,,32,32,32,32,,11023120,13240160,13363912,11261132
112,1,48,45,3,0,0,0,63245532,44533064,71815728,128,49493928,,14319612,16929784,18650276,13345860,,14810204,7867320,7029568,14825972,,20252340,15866848,15093248,20603292,,32,32,32,32,,11112696,13455384,13507276,11418572
115,0,49,46,3,0,0,0,63745504,44008320,71174596,128,49954024,,14378216,17015500,18889964,13461824,,14740128,7780032,6798164,14689996,,20183520,15779968,14862608,20348500,,32,32,32,32,,11165672,13569016,13757212,11462124
117,0,50,47,3,0,0,0,64081752,43660848,70829132,128,50283568,,14397036,17124896,18943328,13616492,,14721140,7677572,6726516,14535620,,20164608,15679064,14791124,20194336,,32,32,32,32,,11183684,13665268,13807744,11626872
119,1,51,47,4,0,0,0,64804108,42932236,70106072,128,50901228,,14726496,17180840,19173288,13723484,,14391732,7614864,6499404,14426236,,19837512,15616692,14566880,20084988,,32,32,32,32,,11447384,13718172,13981024,11754648
122,0,52,48,4,0,0,0,65476704,42239024,69409684,128,51527096,,14859032,17379264,19398180,13840228,,14246076,7415104,6265984,14311860,,19691880,15417100,14334092,19966612,,32,32,32,32,,11588280,13870340,14215676,11852800
124,0,53,49,4,0,0,0,65963208,41772420,68898600,128,51932608,,14995876,17602968,19460472,13903892,,14080860,7209172,6195508,14286880,,19528244,15211696,14263776,19894884,,32,32,32,32,,11704664,14085324,14283344,11859276
126,1,54,50,4,0,0,0,66834392,40900912,68028464,128,52709492,,15325700,17659236,19659140,14190316,,13758952,7127708,5996672,14017580,,19206424,15130308,14065908,19625824,,32,32,32,32,,11999288,14148032,14480308,12081864
129,0,55,51,4,0,0,0,67434540,40289508,67424612,128,53269996,,15490760,17728560,19874388,14340832,,13587420,7056324,5786880,13858884,,19039056,15061740,13856632,19467184,,32,32,32,32,,12176744,14203524,14628180,12261548
131,0,56,52,4,0,0,0,67967928,39729980,66868332,128,53732788,,15541492,17909296,20073644,14443496,,13543944,6860124,5565336,13760576,,18996944,14865884,13635348,19370156,,32,32,32,32,,12238972,14320272,14824744,12348800
133,1,57,53,4,0,0,0,68639424,39057408,66201832,128,54330652,,15608468,18148856,20108340,14773760,,13482900,6629956,5521000,13423552,,18936020,14639544,13592664,19033604,,32,32,32,32,,12294436,14555316,14866496,12614404
136,0,58,54,4,0,0,0,69265676,38417252,65563436,128,54934004,,15769216,18353576,20210268,14932616,,13320756,6412044,5426852,13257600,,18774284,14421988,13499496,18867668,,32,32,32,32,,12392844,14771144,14967620,12802396
138,0,59,55,4,0,0,0,69826344,37833968,64982220,128,55437032,,16063524,18533284,20263328,14966208,,13020800,6221588,5385932,13205648,,18474308,14233340,13458616,18815956,,32,32,32,32,,12695528,14889592,15018980,12832932
140,1,60,56,4,0,0,0,70379464,37283048,64438884,128,55915856,,16143296,18765672,20402072,15068424,,12927116,6003236,5251860,13100836,,18381812,14019732,13324848,18712492,,32,32,32,32,,12768656,15119932,15096260,12931008
143,0,61,57,4,0,0,0,70905572,36748508,63910900,128,56403352,,16253300,18915004,20656044,15081224,,12813392,5848940,4989968,13096208,,18269040,13865640,13063248,18712972,,32,32,32,32,,12831732,15273684,15359708,12938228
145,0,62,58,4,0,0,0,71834904,35778860,62945572,128,57232876,,16680616,18987788,20756184,15410316,,12384060,5767492,4863380,12763928,,17841556,13785920,12937348,18380748,,32,32,32,32,,13230788,15339012,15458232,13204844
147,1,63,59,4,0,0,0,72322328,35298608,62470600,128,57656544,,16744944,19101400,20868540,15607444,,12323388,5652484,4760592,12562144,,17780900,13673064,12837472,18179164,,32,32,32,32,,13304432,15389624,15571500,13390988
150,0,64,61,3,0,0,0,72898676,34669432,61846740,128,58210340,,16863236,19329524,21007956,15697960,,12175740,5416736,4612936,12464020,,17634740,13437664,12692028,18082308,,32,32,32,32,,13419100,15648032,15645324,13497884
152,0,65,62,3,0,0,0,73487348,34109616,61289624,128,58747976,,16979528,19415676,21273020,15819124,,12072756,5328420,4352412,12356028,,17531860,13349436,12432136,17976192,,32,32,32,32,,13476824,15736432,15910972,13623748
154,1,66,62,4,0,0,0,74309100,33256004,60441168,128,59502896,,17330548,19457492,21356892,16164168,,11725124,5285200,4247588,11998092,,17184432,13306804,12331620,17618312,,32,32,32,32,,13823248,15777892,16004976,13896780
157,0,67,62,5,0,0,0,74989076,32611424,59801328,128,60118656,,17485192,19582744,21629712,16291428,,11570200,5175284,3988552,11877388,,17029524,13198240,12073700,17499864,,32,32,32,32,,13986564,15883732,16211152,14037208
159,0,68,63,5,0,0,0,75625956,31939432,59136276,128,60692036,,17604824,19786724,21827568,16406840,,11437120,4960980,3786932,11754400,,16897936,12985604,11874488,17378248,,32,32,32,32,,14104940,16032088,16407108,14147900
161,1,69,66,3,0,0,0,76345932,31181588,58383456,128,61370172,,17607112,20055612,21935520,16747688,,11432584,4689524,3673156,11386324,,16893408,12714540,11760948,17014560,,32,32,32,32,,14107016,16292120,16535572,14435464
164,0,70,67,3,0,0,0,76943092,30568144,57774600,128,61911736,,17769120,20125500,22168768,16879704,,11265308,4603580,3445136,11254120,,16726392,12630452,11535388,16882368,,32,32,32,32,,14209904,16368628,16752564,14580640
166,0,71,67,4,0,0,0,77619320,29849496,57058888,128,62555384,,18047100,20295876,22218104,17058240,,10985684,4412436,3387004,11064372,,16446840,12440924,11477480,16693644,,32,32,32,32,,14514508,16483064,16802068,14755744
169,0,72,69,3,0,0,0,78326016,29135660,56348400,128,63194216,,18170904,20648200,22400764,17106148,,10852932,4076856,3189024,11016848,,16316300,12105760,11279672,16646668,,32,32,32,32,,14645484,16826996,16918448,14803288
171,0,73,70,3,0,0,0,79006808,28465072,55683416,128,63816552,,18307704,20759752,22582192,17357160,,10733712,3947440,3011040,10772880,,16199616,11976896,11104132,16402772,,32,32,32,32,,14761128,16949640,17111316,14994468
173,0,74,70,4,0,0,0,79585040,27898244,55121808,128,64343372,,18407776,20906592,22722932,17547740,,10624864,3817228,2870072,10586080,,16092104,11848228,10963616,16217860,,32,32,32,32,,14819296,17107036,17249632,15167408
