Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,1,31881748,76371244,106335908,3968,30763872,,7526380,8403276,7800980,8151112,,21600312,19556532,17493564,17720836,,28899352,28573612,24526196,24336748,,1948,1988,16,16,,7402680,9073400,7343272,6944520
3,0,1,0,1,0,0,31916892,76352112,106316920,3968,30764064,,7558512,8403304,7804612,8150464,,21566508,19554796,17496912,17733896,,28865596,28571892,24529564,24349868,,1948,1988,16,16,,7402780,9073408,7343288,6944588
5,0,2,1,1,0,0,32315580,75937308,105902948,3968,30765180,,7948832,8417036,7805020,8144692,,21171060,19535844,17504004,17726400,,28470228,28553048,24537096,24342576,,1948,1988,16,16,,7402960,9073644,7343772,6944804
7,0,3,2,1,0,0,33215508,75054168,105023084,3968,30768596,,8244808,8827576,7805236,8337888,,20871900,19140044,17501408,17540816,,28171100,28157280,24534596,24160108,,1948,1988,16,16,,7402992,9073704,7343820,6948080
9,1,4,3,1,0,0,34347240,73886252,103859776,3968,30773384,,8552584,9124572,8027372,8642712,,20564604,18825428,17268772,17227448,,27863824,27842672,24306428,23846852,,1948,1988,16,16,,7403008,9073712,7348476,6948188
12,0,5,4,1,0,0,35507516,72739468,102719460,3968,30779836,,8892432,9329880,8330236,8954968,,20228664,18619684,16979092,16912028,,27527936,27636940,24020916,23533668,,1948,1988,16,16,,7403044,9073724,7352644,6950424
14,0,6,5,1,0,0,36923204,71322292,101302656,3968,30780392,,9384540,9648600,8637676,9252388,,19739812,18300576,16665696,16616208,,27039224,27317920,23707592,23237920,,1948,1988,16,16,,7403296,9073888,7352712,6950496
16,0,7,6,0,1,0,38638428,69609136,99590580,3968,30781704,,9941932,10261000,8953220,9482276,,19179508,17691568,16339700,16398360,,26478932,26708936,23381888,23020824,,1948,1988,16,16,,7403304,9074032,7353032,6951336
19,0,8,6,2,0,0,40003784,68239380,98221388,3968,30782384,,10603064,10651464,9068032,9681224,,18519024,17301580,16228856,16189920,,25818460,26318960,23271456,22812512,,1948,1988,16,16,,7403312,9074040,7353572,6951460
21,0,9,6,2,0,0,39684076,68550660,98532924,3968,30782688,,8965140,11165476,9676972,9876488,,20143764,16784948,15624948,15997000,,27443292,25802352,22667604,22619676,,1948,1988,16,16,,7403468,9074060,7353628,6951532
23,0,10,7,3,0,0,41941148,66289060,96272204,3968,30783712,,9693680,11588520,10176496,10482452,,19413264,16355244,15115968,15404584,,26712932,25372708,22158760,22027804,,1948,1988,16,16,,7403568,9074200,7353756,6952188
25,1,11,7,3,0,0,40012296,68222468,98203184,3968,30781492,,10398088,10054900,10701132,8858176,,18723276,17896224,14585236,17017732,,26023052,26913744,21628308,23638080,,1948,1988,16,16,,7403716,9074308,7354176,6949292
28,0,12,9,2,0,0,42883240,65340552,95325552,3968,30785296,,11218696,10556224,11419632,9688688,,17900968,17382968,13869300,16187316,,25200756,26400496,20912564,22811736,,1948,1988,16,16,,7403724,9074316,7354420,6952836
30,0,13,11,2,0,0,43804612,64428144,94413504,3968,30785756,,10000152,11274032,12025060,10505368,,19123676,16662684,13272296,15369488,,26423560,25680260,20315712,21993972,,1948,1988,16,16,,7403868,9074452,7354576,6952860
32,1,14,12,2,0,0,43651636,64580380,94567396,3968,30786192,,10722760,11001520,10489056,11438300,,18398460,16953308,14807932,14420680,,25698632,25970920,21852584,21045260,,1948,1988,16,16,,7403956,9074528,7354744,6952964
35,0,15,13,1,0,0,46795292,61452368,91442208,3968,30787436,,12140316,10876904,11308936,12469136,,16981460,17074572,13990188,13406148,,24282424,26092272,21035272,20032240,,1948,1988,16,16,,7404116,9074712,7355212,6953396
37,0,16,14,1,0,0,48132128,60050916,90043196,3968,30787904,,11013280,11685820,12037860,13395168,,18092612,16259576,13233212,12465516,,25393584,25278384,20279544,19091684,,1948,1988,16,16,,7404080,9074852,7355500,6953472
39,0,17,15,1,0,0,47513088,60703464,90697896,3968,30788568,,11741220,12698500,10904040,12169328,,17368592,15232392,14396700,13705780,,24669612,24251212,21445000,20332072,,1948,1988,16,16,,7404124,9074868,7356036,6953540
42,0,18,15,1,0,0,51246348,56940576,86937776,3968,30789360,,12562168,13747452,12133496,12803232,,16532868,14183712,13157568,13066428,,23834000,23203604,20205920,19694252,,1948,1988,16,16,,7404292,9075092,7356096,6953880
44,0,19,17,1,0,0,55315464,52904412,82902272,3968,30789792,,13575184,14874200,13168064,13698016,,15536112,13064908,12132928,12170464,,22837264,22085156,19181400,18798452,,1948,1988,16,16,,7404300,9075152,7356300,6954040
46,0,20,16,2,0,0,51139476,57060120,87065532,3968,30794996,,12243332,13940904,12240380,12714860,,16860956,13999584,13049768,13149812,,24162112,23019568,20099940,19783912,,1948,1988,16,16,,7404264,9075028,7356760,6958944
49,0,21,15,1,0,0,50849012,57344308,87356732,3968,30800024,,11037772,14861000,13166740,11783500,,18067384,13075584,12115200,14086140,,25371472,22097860,19165676,20721724,,1948,1988,16,16,,7406428,9077320,7357060,6959216
51,0,22,16,1,0,0,50855312,57298236,87314488,3968,30800872,,10516544,13439172,14088328,12811268,,18574752,14489364,11188284,13045836,,25881956,23512092,18238920,19681520,,1948,1988,16,16,,7406820,9077508,7357224,6959320
53,0,23,18,1,0,0,51486876,56683520,86707520,3968,30806324,,12043020,12623744,12981776,13838336,,17067720,15308172,12291476,12016152,,24375072,24334500,19345608,18652340,,1948,1988,16,16,,7406852,9080072,7359580,6959820
56,0,24,19,1,0,0,49058072,59115812,89148912,3968,30811808,,11453364,12508408,12140816,12955484,,17653804,15423416,13128656,12909936,,24967104,24451076,20184376,19546356,,1948,1988,16,16,,7411580,9080168,7359976,6960084
58,0,25,18,2,0,0,50566076,57602652,87636176,3968,30812156,,12785152,12719072,11324116,13737736,,16304280,15229892,13955964,12112516,,23617696,24257528,21011800,18749152,,1948,1988,16,16,,7411756,9080052,7360004,6960344
