Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,1,35105404,73675680,105949100,5400,33127628,,8516372,8494020,12243224,5851788,,20796592,19648448,16688116,16542524,,28493704,28578120,24465132,24412144,,1988,1988,644,780,,8153392,9030340,7923204,8020692
3,0,1,0,1,0,1,34766024,73995136,106269000,5400,32790456,,8173724,8490348,12249940,5852012,,21135484,19654564,16665756,16539332,,28832652,28584244,24443032,24409072,,1988,1988,644,780,,7815820,9030352,7923464,8020820
5,0,2,0,2,0,0,35125932,73638500,105914672,5400,33082648,,8436616,8592972,12244164,5852180,,20866276,19557012,16672636,16542576,,28565516,28486760,24450004,24412392,,1988,1988,644,780,,8064476,9073708,7923556,8020908
7,0,3,0,3,0,0,35563296,73166188,105442392,5400,33549304,,8499532,8821348,12165300,6077116,,20782644,19325160,16735160,16323224,,28481896,28254312,24512632,24193552,,1988,1988,644,780,,8139112,9299584,7923684,8186924
9,1,4,0,4,0,0,36083384,72668140,104944928,5400,34029004,,8683992,8869304,12318436,6211652,,20620976,19262144,16603788,16181232,,28320288,28191304,24381596,24051740,,1988,1988,644,780,,8318484,9354432,8026540,8329548
12,0,5,1,4,0,0,36491364,72273700,104552232,5400,34430704,,8682504,9044392,12521844,6242624,,20629640,19098492,16397484,16148084,,28328964,28027720,24176812,24018736,,1988,1988,644,780,,8318596,9529448,8225824,8356836
14,0,6,2,4,0,0,37120112,71604480,103883580,5400,34926032,,8984160,9171432,12554156,6410364,,20313068,18968212,16343728,15979472,,28012460,27897524,24123332,23850264,,1988,1988,644,780,,8554780,9589800,8258044,8523408
16,1,7,3,4,0,0,37781288,70899616,103180072,5400,35518100,,9074708,9396248,12893556,6416776,,20222024,18737836,15995100,15944656,,27921424,27667156,23774836,23816656,,1988,1988,644,780,,8637224,9814000,8542056,8524820
19,0,8,4,4,0,0,38361396,70321436,102602640,5400,36061924,,9171636,9436260,13082400,6671100,,20121360,18674456,15809464,15716156,,27820792,27603780,23589700,23588368,,1988,1988,644,780,,8748024,9858476,8732812,8722612
21,0,9,5,4,0,0,38751424,69936044,102217856,5400,36418716,,9376804,9482156,13114716,6777748,,19902840,18652428,15776204,15604572,,27602364,27581788,23556848,23476856,,1988,1988,644,780,,8919832,9902648,8757372,8838864
23,0,10,6,4,0,0,39704104,68978152,101260468,5400,37244004,,9658208,9797076,13293504,6955316,,19632000,18332412,15600056,15413684,,27331568,27261884,23380840,23286176,,1988,1988,644,780,,9169536,10132660,8929532,9012276
26,0,11,7,4,0,0,40501956,68175976,100458732,5400,37993224,,9720108,10055736,13395460,7330652,,19556960,18074908,15507480,15036628,,27256532,27004400,23288392,22909408,,1988,1988,644,780,,9241396,10404928,9030024,9316876
28,0,12,8,4,0,0,41054456,67599528,99881948,5400,38489536,,9912492,10111740,13581148,7449076,,19366128,18009588,15316068,14907744,,27064904,26939088,23097188,22780768,,1988,1988,644,780,,9434248,10461164,9147952,9446172
30,0,13,9,4,0,0,41768052,66868980,99152488,5400,39161048,,10133860,10292088,13775544,7566560,,19144852,17824656,15106484,14792988,,26843656,26754224,22887848,22666760,,1988,1988,644,780,,9622900,10637900,9338468,9561780
33,0,14,10,4,0,0,42568348,66077792,98361908,5400,39889076,,10413836,10607168,13900200,7647144,,18874728,17508340,14973700,14721024,,26573584,26437988,22755424,22594912,,1988,1988,644,780,,9870772,10901584,9474440,9642280
