Start,GetPodsTime,Wanted,Running,Creating,Pending,Terminating,Total Active Memory,Total Free Memory,Total Available,Total Buffers,Total Cached,Active,0,1,2,3,Free,0,1,2,3,Available,0,1,2,3,Buffers,0,1,2,3,Cached,0,1,2,3
0,1,0,0,0,0,2,12851596,108605172,120687808,7920,13581204,,1860608,4284788,3889944,2816256,,29049748,26205220,26251740,27098464,,31376400,29235000,29463876,30612532,,1980,1980,1980,1980,,2701748,3419060,3585296,3875100
4,1,1,0,1,0,1,12884592,108562696,120647660,7920,13583752,,1892276,4287204,3891224,2813888,,29011276,26199916,26242996,27108508,,31338136,29230216,29456428,30622880,,1980,1980,1980,1980,,2701984,3419616,3586540,3875612
7,0,2,0,2,0,1,13449808,108020424,120154732,7920,14053440,,2149328,4289812,3891288,3119380,,28752816,26216992,26252836,26797780,,31079976,29247404,29466360,30360992,,1980,1980,1980,1980,,2929588,3419680,3586636,4117536
10,0,3,0,3,0,1,13874088,107556076,119736044,7920,14431780,,2217360,4288424,4153492,3214812,,28672068,26224580,25963876,26695552,,30999336,29255252,29222568,30258888,,1980,1980,1980,1980,,3007024,3419996,3783552,4221208
12,0,4,0,4,0,1,14259100,107134912,119361156,7920,14754012,,2253164,4486260,4269996,3249680,,28638744,25994916,25865696,26635556,,30966736,29070124,29124780,30199516,,1980,1980,1980,1980,,3037028,3549544,3910548,4256892
15,0,5,1,4,0,1,14557904,106823152,119063640,7920,14995188,,2332480,4645728,4321820,3257876,,28571196,25820100,25797456,26634400,,30902080,28899664,29056864,30205032,,1980,1980,1980,1980,,3041944,3723372,3960476,4269396
18,0,6,2,4,0,1,15118852,106287788,118538700,7920,15489360,,2570480,4718028,4564052,3266292,,28334068,25755932,25569112,26628676,,30665456,28838516,28835408,30199320,,1980,1980,1980,1980,,3286944,3790292,4140732,4271392
20,0,7,3,4,0,1,15579500,105749376,118009392,7920,15894240,,2637152,4746216,4677416,3518716,,28230772,25708152,25442204,26368248,,30562352,28798632,28709000,29939408,,1980,1980,1980,1980,,3363888,3815684,4264636,4450032
23,0,8,4,4,0,1,15847608,105492704,117753184,7920,16161004,,2668536,4888208,4662936,3627928,,28222048,25559608,25458184,26252864,,30554544,28650404,28724044,29824192,,1980,1980,1980,1980,,3391196,3891616,4309216,4568976
26,0,9,5,4,0,0,16106748,105206648,117468628,7920,16395860,,2700032,5063452,4672900,3670364,,28182064,25385396,25449320,26189868,,30514644,28476668,28715940,29761376,,1980,1980,1980,1980,,3391268,4072036,4321304,4611252
