Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,1,0,0,12723852,54344420,,1722700,1508776,3789772,3986816,1715788,,12721816,13299072,7279588,8206324,12837620
1,41,1,0,12834724,54227548,,1725940,1615088,3787740,3985672,1720284,,12724392,13173088,7282484,8207408,12840176
2,99,2,0,13406244,53623704,,1727984,2185968,3789224,3986136,1716932,,12718784,12580188,7279772,8201712,12843248
3,21,3,0,13788352,53240352,,1727516,2560420,3791860,3988692,1719864,,12720316,12210916,7273920,8198056,12837144
4,27,4,0,14338300,52683392,,1728048,3113348,3794632,3981860,1720412,,12717012,11654424,7267512,8202184,12842260
5,7,5,0,14660796,52346176,,1821068,3349192,3786748,3983920,1719868,,12602024,11423904,7278676,8199936,12841636
6,44,6,0,15417520,51581908,,2243556,3673712,3796240,3985028,1718984,,12193532,11088672,7262796,8194804,12842104
7,7,7,0,15737780,51242592,,2242824,3844376,3790804,3990600,1869176,,12185608,10919864,7270980,8189632,12676508
8,12,8,0,16140948,50821996,,2312700,4004792,3791052,3994096,2038308,,12104900,10759696,7270796,8180608,12505996
9,5,9,0,16579372,50381748,,2472508,4068484,3795208,3993068,2250104,,11952272,10695864,7265184,8185048,12283380
10,30,10,0,17441468,49517436,,2759080,4205740,3794464,3994360,2687824,,11666360,10546324,7265344,8183136,11856272
11,23,11,0,17901988,49024812,,2859412,4499356,3795696,3996224,2751300,,11555928,10258364,7239088,8179760,11791672
12,24,12,0,18489828,48408640,,3182080,4641168,3798200,3992728,2875652,,11233384,10122356,7254612,8179332,11618956
13,13,13,0,18874304,48053444,,3280736,4737264,3798776,3994496,3063032,,11138932,10008092,7256348,8177368,11472704
14,32,14,0,19523252,47333208,,3374272,5088136,3797828,3995040,3267976,,11027636,9661076,7252616,8178468,11213412
15,6,15,0,19903508,46992108,,3542252,5158132,3793760,3995116,3414248,,10864780,9587484,7256608,8171152,11112084
16,20,16,0,20426244,46437300,,3832580,5162744,3794684,3994636,3641600,,10555248,9591244,7249716,8157704,10883388
17,28,17,0,21061680,45817612,,4227272,5256280,3793504,3994816,3789808,,10172620,9482152,7253596,8168200,10741044
18,7,18,0,21356112,45493368,,4307744,5477588,3791612,3992444,3786724,,10091672,9248348,7250452,8174124,10728772
19,37,19,0,22090060,44729640,,4400196,6112056,3795608,3994176,3788024,,9985232,8612352,7248080,8162208,10721768
