Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,14429900,51998836,,1854180,1656848,4303248,4459996,2155628,,12324592,13107976,7094504,7268352,12203412
1,29,1,0,14546860,51626636,,1845900,1790072,4305092,4452060,2153736,,12334132,12721012,7088748,7275180,12207564
2,7,2,0,14841496,51324192,,1847284,2070692,4319516,4453972,2150032,,12332860,12432120,7090448,7255772,12212992
3,47,3,0,15541176,50618404,,1851948,2792956,4302964,4450420,2142888,,12328644,11703352,7091380,7274788,12220240
4,34,4,0,16058632,50109284,,1851540,3303048,4305612,4459428,2139004,,12327708,11186692,7087740,7280084,12227060
5,99,5,0,16595668,49529772,,1847204,3836440,4303980,4464160,2143884,,12328064,10635520,7082016,7258812,12225360
6,41,6,0,17125376,49006860,,1850264,4351404,4317212,4465096,2141400,,12328068,10122288,7079296,7252060,12225148
7,53,7,0,17715308,48213688,,1946180,4776896,4348608,4500296,2143328,,11962252,9704576,7073832,7250476,12222552
8,189,8,0,18304756,47376236,,2365944,4772388,4348236,4498308,2319880,,11562464,9710732,7072552,7238436,11792052
9,21,9,0,18604648,47062868,,2444924,4774960,4349896,4500612,2534256,,11461816,9709028,7070276,7246844,11574904
10,43,10,0,19242456,46415588,,2884664,4856740,4346496,4501776,2652780,,11034424,9613648,7069180,7234068,11464268
11,40,11,0,19887124,45785272,,2882392,5257764,4350188,4502148,2894632,,11037184,9217624,7054828,7234732,11240904
12,14,12,0,20213428,45411928,,2968384,5343596,4349560,4537200,3014688,,10924544,9111592,7064168,7219520,11092104
13,41,13,0,20895768,44764540,,3405600,5428312,4348352,4533964,3179540,,10506168,9056868,7062300,7217412,10921792
14,53,14,0,21470404,44173360,,3408132,5841892,4353808,4530112,3336460,,10501956,8651652,7043016,7221792,10754944
15,56,15,0,21970324,43663080,,3408140,5974344,4346688,4537368,3703784,,10499244,8500196,7057572,7209552,10396516
16,34,16,0,22371888,43214460,,3484544,6318476,4351180,4515284,3702404,,10408640,8162128,7047916,7203300,10392476
17,9,17,0,22760964,42821988,,3684960,6383944,4347468,4515740,3828852,,10208328,8099112,7053232,7206132,10255184
18,27,18,0,23343552,42217592,,3919656,6472020,4353496,4513644,4084736,,9964988,7997712,7046532,7205824,10002536
19,44,19,0,23926796,41609964,,3990892,6867256,4350208,4509512,4208928,,9891704,7588412,7043216,7207404,9879228
20,45,20,0,24566656,40986072,,4444632,6899672,4365180,4502196,4354976,,9449160,7576392,7042104,7201512,9716904
21,39,21,0,24993040,40517680,,4546924,6897816,4352040,4505844,4690416,,9328516,7574276,7031744,7182724,9400420
22,82,22,0,25543388,39955324,,4963576,6982208,4348576,4511068,4737960,,8922576,7479812,7034972,7179824,9338140
23,34,23,0,25998600,39491068,,4960564,7312348,4346428,4502180,4877080,,8924812,7151760,7034076,7191568,9188852
24,34,24,0,26453332,39019588,,4967452,7498328,4347492,4504768,5135292,,8916708,6949500,7026976,7188988,8937416
25,12,25,0,26788980,38675144,,5045512,7677460,4345448,4507152,5213408,,8822232,6778548,7032720,7185292,8856352
26,83,26,0,27618972,37814228,,5483384,8030208,4346428,4508896,5250056,,8389060,6409972,7020368,7173976,8820852
27,35,27,0,28014008,37415784,,5561360,8343480,4349000,4504140,5256028,,8300508,6101876,7019064,7179536,8814800
