Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,0,0,0,1,0,12534996,57971224,,3446736,1732456,1897876,3551516,1906412,,10802992,12752004,12368600,9554416,12493212
1,41,1,0,0,0,12237596,58268728,,3478616,1730464,1568608,3554620,1905288,,10767048,12752592,12699728,9551524,12497836
2,45,2,0,0,0,12843720,57634564,,3561120,1728056,2077700,3576172,1900672,,10676680,12753136,12182608,9526536,12495604
3,108,3,0,0,0,13460412,56992244,,3612992,1732300,2636356,3570616,1908148,,10623936,12747460,11619656,9523052,12478140
4,22,4,0,0,0,13853576,56591624,,3617216,1728892,3035040,3575076,1897352,,10617316,12751388,11212452,9522472,12487996
5,49,5,0,0,0,14453288,55925684,,3626552,1731072,3662080,3530068,1903516,,10604180,12747720,10576844,9516032,12480908
6,34,6,0,0,0,14951648,55413104,,3620524,1733040,4171380,3525572,1901132,,10605580,12745392,10058940,9520988,12482204
7,15,7,0,0,0,15338092,55016640,,3622928,1844560,4439632,3528668,1902304,,10601780,12627136,9790044,9516088,12481592
8,53,8,0,0,0,16021980,54316944,,3664540,2254816,4671628,3522228,1908768,,10557248,12216024,9549836,9522648,12471188
9,41,9,0,0,0,16570724,53742212,,3664564,2253600,5214900,3524836,1912824,,10554552,12209892,8998124,9518272,12461372
10,114,10,0,0,0,17033164,53203372,,3626944,2327808,5633740,3527340,1917332,,10524296,12132476,8578160,9506760,12461680
11,14,11,0,0,0,17345264,52876608,,3621656,2652804,5632900,3521408,1916496,,10525520,11798944,8580008,9510876,12461260
12,21,12,0,0,0,17943088,52274460,,3625064,3126520,5755084,3525228,1911192,,10523708,11323148,8449716,9510164,12467724
13,46,13,0,0,0,18635664,51523196,,3626896,3299000,6148144,3521124,2040500,,10510676,11146388,8055200,9484304,12326628
14,26,14,0,0,0,19006296,51131572,,3632756,3383900,6150492,3526500,2312648,,10494768,11056640,8053840,9472124,12054200
15,12,15,0,0,0,19380584,50738016,,3632212,3581432,6146636,3612376,2407928,,10489720,10858984,8053492,9376536,11959284
16,6,16,0,0,0,19747060,50367664,,3631908,3661776,6149936,3748556,2554884,,10493996,10773944,8050508,9236276,11812940
17,21,17,0,0,0,20420096,49692280,,3632328,3812456,6244764,3923356,2807192,,10492964,10626744,7952988,9064180,11555404
18,25,18,0,0,0,21063104,49020944,,3629420,3820692,6622560,4041892,2948540,,10489180,10614196,7559912,8939104,11418552
19,36,19,0,0,0,21681004,48403656,,3626736,3819556,7114860,4046488,3073364,,10489716,10619452,7070868,8936816,11286804
20,28,20,0,0,0,22134332,47934688,,3624776,3914496,7187580,4047536,3359944,,10489448,10517272,6997904,8934600,10995464
21,49,21,0,0,0,22838320,47258664,,3669756,4335280,7185988,4186132,3461164,,10441048,10094892,6999332,8826516,10896876
22,46,22,0,0,0,23282232,46797280,,3674492,4331604,7277116,4529228,3469792,,10434156,10094780,6899132,8480492,10888720
23,30,23,0,0,0,23794184,46274952,,3729576,4409292,7596188,4595048,3464080,,10372304,10014736,6579660,8415336,10892916
24,7,24,0,0,0,24042668,46017292,,3696492,4537536,7648824,4695480,3464336,,10406220,9885960,6522768,8309576,10892768
25,13,25,0,0,0,24495800,45553964,,3690496,4738096,7706612,4893888,3466708,,10413936,9676944,6468476,8104156,10890452
26,22,26,0,0,0,25161064,44880532,,3728408,5140904,7709956,5023932,3557864,,10375136,9271544,6465368,7976136,10792348
27,26,27,0,0,0,25804448,44219724,,3725896,5350148,7783772,5117164,3827468,,10375480,9062572,6383100,7876600,10521972
28,49,28,0,0,0,26501948,43495124,,3730884,5369096,8194464,5228140,3979364,,10363412,9039892,5968252,7754456,10369112
29,34,29,0,0,0,26938136,43058208,,3724848,5365716,8230052,5533388,4084132,,10366832,9046680,5935736,7450796,10258164
30,17,30,0,0,0,27320816,42666620,,3724992,5367316,8224488,5625492,4378528,,10369108,9041472,5942116,7357760,9956164
31,41,31,0,0,0,28047852,41884704,,3697704,5361052,8378564,5666404,4944128,,10365100,9051732,5769368,7309320,9389184
32,27,32,0,0,0,28355080,41574148,,3701524,5434300,8567100,5635076,5017080,,10360124,8971044,5588968,7343732,9310280
33,7,33,0,0,0,28704992,41209672,,3748308,5550580,8625076,5744952,5036076,,10303192,8853884,5531304,7226640,9294652
34,7,34,0,0,0,28971916,40939488,,3702784,5632908,8690604,5921988,5023632,,10353012,8771472,5464324,7042440,9308240
