Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,9,0,1,172,0,6084504,19435852,,0,3536688,2547816,0,0,,0,8388508,11047344,0,0
2,17,0,2,172,0,6167260,19223608,,0,3618956,2548304,0,0,,0,8178008,11045600,0,0
3,26,0,3,171,0,6196060,19065848,,0,3647968,2548092,0,0,,0,8019712,11046136,0,0
4,34,0,4,171,0,6252776,18707804,,0,3704212,2548564,0,0,,0,7662164,11045640,0,0
5,43,0,5,171,0,6354972,18316784,,0,3806520,2548452,0,0,,0,7271112,11045672,0,0
6,52,2,4,171,0,6486336,17720192,,0,3939856,2546480,0,0,,0,6672712,11047480,0,0
7,60,3,4,171,0,6523124,17438684,,0,3975584,2547540,0,0,,0,6392556,11046128,0,0
8,69,4,4,171,0,6644716,16761052,,0,4096476,2548240,0,0,,0,5715172,11045880,0,0
9,77,4,5,171,0,6734728,16124128,,0,4095708,2639020,0,0,,0,5371648,10752480,0,0
10,86,6,4,171,0,6746760,15864524,,0,4104676,2642084,0,0,,0,5276468,10588056,0,0
11,95,9,2,171,0,6870848,14942832,,0,4106284,2764564,0,0,,0,5004824,9938008,0,0
12,103,9,3,171,0,10889164,24085660,,3961348,4162072,2765744,0,0,,9833300,4580844,9671516,0,0
13,112,9,4,171,0,10939792,23623652,,3962904,4158336,2818552,0,0,,9832276,4319820,9471556,0,0
14,120,10,4,171,0,10980232,23448176,,3959948,4202380,2817904,0,0,,9836156,4269876,9342144,0,0
15,129,10,5,171,0,10994436,22980884,,4010364,4166044,2818028,0,0,,9590372,4048636,9341876,0,0
16,137,10,6,171,0,14569324,29317708,,4013072,4164496,2897504,3494252,0,,9417768,4050728,9167804,6681408,0
17,146,10,7,171,0,14580396,29126212,,4043568,4148996,2900348,3487484,0,,9343772,4066108,9021704,6694628,0
18,154,10,8,171,0,14641448,28982784,,4112568,4147320,2902688,3478872,0,,9207544,4067464,9004328,6703448,0
19,163,12,7,171,0,14700284,28317844,,4144872,4146740,2912496,3496176,0,,8998484,4068392,8565784,6685184,0
20,172,14,6,171,0,14793624,27430852,,4192232,4148788,2966800,3485804,0,,8665576,3808712,8260640,6695924,0
21,180,14,7,171,0,14820960,27038184,,4166996,4152912,3003548,3497504,0,,8464984,3804516,8089508,6679176,0
22,189,14,8,171,0,15010404,26394516,,4177748,4149484,3194520,3488652,0,,8332440,3808452,7565680,6687944,0
23,197,14,9,171,0,15024984,26159680,,4178136,4190992,3169796,3486060,0,,8168504,3713908,7582400,6694868,0
24,206,15,9,171,0,15100848,25700080,,4236764,4193936,3178792,3491356,0,,8096464,3388836,7526256,6688524,0
25,215,16,9,171,0,15147812,24305424,,4248656,4190584,3224216,3484356,0,,7791992,2810444,7006808,6696180,0
26,223,17,9,171,0,15398824,23381728,,4244692,4192176,3477132,3484824,0,,7536788,2744852,6403476,6696612,0
27,232,17,10,171,0,15410256,23118988,,4246140,4195520,3477760,3490836,0,,7534868,2733164,6161452,6689504,0
28,240,17,11,171,0,15549800,22681448,,4308312,4196392,3541900,3503196,0,,7186752,2732784,6090572,6671340,0
29,249,19,10,171,0,15529516,22423180,,4327452,4196128,3505156,3500780,0,,6906428,2707204,6132236,6677312,0
30,258,20,10,171,0,15594416,21386936,,4327576,4197144,3574628,3495068,0,,6905964,2211888,5585500,6683584,0
31,266,21,10,171,0,15631584,20854768,,4351540,4195488,3575960,3508596,0,,6586008,2213500,5390628,6664632,0
32,275,22,10,171,0,15694344,20181696,,4352740,4223596,3623108,3494900,0,,6335348,2184272,4979664,6682412,0
33,283,23,10,171,0,15953376,19257060,,4528384,4311020,3622920,3491052,0,,6181292,1833104,4556288,6686376,0
34,292,24,10,171,0,15897944,18589844,,4515344,4248892,3628100,3505608,0,,6045512,1680188,4197752,6666392,0
35,301,24,11,171,0,15959352,17817708,,4566276,4247772,3644948,3500356,0,,5324056,1639300,4179056,6675296,0
36,309,25,11,171,0,16209096,16957760,,4508748,4275268,3912852,3512228,0,,5162724,1401728,3730464,6662844,0
37,318,28,9,171,0,16259564,15442180,,4538124,4291072,3914944,3515424,0,,4856652,862372,3064516,6658640,0
38,327,28,10,171,0,16300844,14356844,,4553432,4296168,3921396,3529848,0,,4692720,588980,2431956,6643188,0
39,335,28,11,171,0,16544016,13949584,,4774744,4322524,3921172,3525576,0,,4362000,560668,2378516,6648400,0
40,344,30,10,171,0,16609408,13200636,,4795768,4347980,3939612,3526048,0,,4036988,160836,2359272,6643540,0
41,352,30,11,171,0,16741340,12651428,,4787840,4344376,4074300,3534824,0,,3875156,177380,1961156,6637736,0
42,361,30,12,171,0,16704740,12693972,,4762380,4351664,4069300,3521396,0,,3904072,172128,1966404,6651368,0
43,370,30,13,171,0,16758652,12322256,,4827228,4334520,4068948,3527956,0,,3294628,417992,1965932,6643704,0
44,378,30,14,171,0,17035056,12041652,,4809284,4294644,4408248,3522880,0,,3307200,151312,1933224,6649916,0
45,387,30,14,171,0,22837208,13835448,,4811060,4174352,10321756,3530040,0,,3305612,1604828,2283576,6641432,0
46,396,30,15,171,0,22951164,13618040,,4840656,4216688,10323996,3569824,0,,3270440,1468952,2279812,6598836,0
47,404,30,16,171,0,23117848,13139072,,4904128,4291488,10381444,3540788,0,,2917488,1380232,2214936,6626416,0
48,413,30,17,171,0,23240208,13008660,,4896236,4338648,10459128,3546196,0,,2924136,1288136,2171652,6624736,0
49,421,30,17,171,0,23207508,12818136,,4864564,4344048,10456824,3542072,0,,2749264,1280064,2161032,6627776,0
50,430,30,18,171,0,23249008,12458616,,4911112,4344872,10438768,3554256,0,,2385656,1274948,2183344,6614668,0
51,439,30,19,171,0,23346868,12213708,,4958400,4405140,10434024,3549304,0,,2004932,1397272,2192028,6619476,0
52,447,30,20,171,0,22109592,12498412,,4943540,4437388,9182512,3546152,0,,1661408,1185832,3029016,6622156,0
53,456,30,20,171,0,22187708,11847528,,4934072,4437108,9251080,3565448,0,,1583012,1185532,2488236,6590748,0
54,465,30,21,171,0,22208088,10975036,,4965856,4436144,9243432,3562656,0,,1043508,1183108,2152408,6596012,0
55,474,30,22,171,0,22255820,10656688,,4987268,4458736,9245108,3564708,0,,741580,1167376,2149612,6598120,0
56,482,30,23,171,0,22196808,10734344,,4961944,4427800,9252684,3554380,0,,716428,1244244,2164544,6609128,0
57,491,30,24,171,0,22237456,10646904,,4969168,4447656,9250592,3570040,0,,681848,1212128,2160380,6592548,0
58,499,30,25,171,0,22328604,10537176,,5041928,4462984,9249724,3573968,0,,601416,1187464,2159496,6588800,0
59,508,30,26,171,0,22251056,13628556,,5036568,4343868,9297192,3573428,0,,609232,4314096,2120340,6584888,0
60,517,34,26,171,0,22296188,13913916,,5098076,4322736,9295384,3579992,0,,1116952,4085196,2130664,6581104,0
