Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,0,1,37,0,13113172,25152624,,0,3948728,2626840,0,6537604,,0,9751760,11647044,0,3753820
2,11,0,2,37,0,13153572,25110340,,0,3966308,2629392,0,6557872,,0,9731104,11644872,0,3734364
3,17,0,3,37,0,13132792,25127612,,0,3971220,2627748,0,6533824,,0,9723124,11646008,0,3758480
4,22,0,4,37,0,13134968,25121768,,0,3978708,2617220,0,6539040,,0,9712988,11657316,0,3751464
5,28,0,5,37,0,13136556,25116184,,0,3996788,2618140,0,6521628,,0,9692244,11655924,0,3768016
6,34,5,1,37,0,13922356,24317520,,0,4778552,2623936,0,6519868,,0,8898656,11649800,0,3769064
7,39,6,1,37,0,15202512,23028012,,0,6057748,2624640,0,6520124,,0,7610500,11649288,0,3768224
8,45,6,2,37,0,16511160,21710764,,0,7336328,2627496,0,6547336,,0,6324524,11645460,0,3740780
9,51,6,3,37,0,18020988,20198324,,0,8874760,2626448,0,6519780,,0,4783104,11647224,0,3767996
10,56,6,4,37,0,20078028,18130620,,0,10922304,2634112,0,6521612,,0,2728200,11636216,0,3766204
11,62,6,5,37,0,21875880,16328844,,0,12715488,2635284,0,6525108,,0,932836,11634868,0,3761140
12,68,6,6,37,0,23154592,15544400,,0,13984908,2647448,0,6522236,,0,160684,11619188,0,3764528
13,74,6,6,37,0,23176200,15523516,,0,13984908,2643492,0,6547800,,0,160684,11623720,0,3739112
14,79,6,7,37,0,23162088,15536772,,0,13984908,2643384,0,6533796,,0,160684,11623884,0,3752204
15,85,6,7,37,0,23148776,15549924,,0,13984908,2637228,0,6526640,,0,160684,11629584,0,3759656
16,91,6,8,37,0,23156236,15539264,,0,13984908,2644888,0,6526440,,0,160684,11619172,0,3759408
17,97,8,7,37,0,24188792,14495268,,0,13984908,3678292,0,6525592,,0,160684,10577048,0,3757536
18,102,9,7,37,0,29497312,22883020,,4533248,14246136,4189756,0,6528172,,8915416,149912,10063660,0,3754032
19,108,10,7,37,0,30802420,21562004,,5044528,14246136,4980944,0,6530812,,8400460,149912,9261232,0,3750400
20,114,10,8,37,0,31564536,20788480,,5303364,14246136,5489356,0,6525680,,8137500,149912,8745168,0,3755900
21,120,11,8,37,0,32583208,19768692,,5297544,14246136,6513132,0,6526396,,8142572,149912,7721380,0,3754828
22,126,11,9,37,0,33613100,18735840,,5554760,14246136,7282756,0,6529448,,7884928,149912,6950220,0,3750780
