Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,1,0,19,0,13179660,40229464,,4040320,2105624,5016764,0,2016952,,8229272,10777672,8920984,0,12301536
2,12,1,1,19,0,13192824,40216276,,4043180,2113620,5019416,0,2016608,,8227212,10768808,8917156,0,12303100
3,17,1,2,19,0,13199140,40206468,,4040376,2116544,5020408,0,2021812,,8229000,10763104,8916600,0,12297764
4,23,1,3,19,0,13216308,40185712,,4044528,2121820,5022608,0,2027352,,8224836,10754668,8914200,0,12292008
5,29,1,4,19,0,15911772,50426072,,4043388,2124416,5018240,2702792,2022936,,8225636,10752176,8918672,10231972,12297616
6,34,3,3,19,0,16726220,49625320,,4043296,2127876,5029636,3509320,2016092,,8225184,10746268,8901700,9448428,12303740
7,40,4,3,19,0,18004324,48339068,,4043792,2130576,5034100,4779076,2016780,,8224276,10743724,8897400,8169696,12303972
8,46,4,4,19,0,19312916,47023776,,4044080,2162764,5027072,6064660,2014340,,8220364,10712256,8908880,6876220,12306056
9,51,6,3,19,0,20437116,45888648,,4041636,2257804,5024712,7093824,2019140,,8221708,10610720,8912100,5841308,12302812
10,57,6,4,19,0,22615492,43691164,,4040100,2924012,5024948,8619332,2007100,,8226764,9935840,8911408,4302644,12314508
11,62,7,4,19,0,24681732,41608768,,4041500,3436380,5029556,10160540,2013756,,8225224,9419428,8906048,2750444,12307624
12,68,7,5,19,0,26448284,39830512,,4041380,3949920,5020848,11433756,2002380,,8224252,8906220,8914040,1467192,12318808
13,74,8,5,19,0,30092120,37279840,,4041804,5222716,5027168,13790272,2010160,,8224828,7627668,8910956,205724,12310664
14,79,9,5,19,0,31460356,36462564,,4040480,5997312,5028740,14385952,2007872,,8224804,6851680,8909004,164140,12312936
15,85,9,6,19,0,32493728,35424328,,4041148,7014512,5028396,14385952,2023720,,8224168,5829712,8909320,164140,12296988
16,91,10,6,19,0,33077136,34911868,,4061608,7395720,5032360,14485876,2101572,,8203140,5447984,8905592,139744,12215408
17,96,12,5,19,0,35156884,32806100,,4055644,9579852,5024888,14485876,2010624,,8200016,3245172,8911564,139744,12309604
18,102,13,4,19,0,37148444,30815136,,4056188,11576288,5024588,14485876,2005504,,8199848,1244072,8916740,139744,12314732
19,108,13,5,19,0,36488072,32321416,,4055324,13607972,5027772,11793772,2003232,,8199448,159920,8913828,2731424,12316796
20,114,14,5,19,0,37330880,31025312,,4055352,13607972,5030192,12621548,2015816,,8199192,159920,8910856,1451020,12304324
21,119,14,5,19,0,38761184,30552412,,4497188,14590808,5029708,12633376,2010104,,7750988,139456,8911156,1440776,12310036
22,125,14,5,19,0,38844396,30462560,,4578896,14590808,5033412,12628000,2013280,,7668708,139456,8907200,1440628,12306568
23,131,16,4,19,0,39885272,29404064,,5093488,14590808,5039600,13148308,2013068,,7147592,139456,8898140,911572,12307304
24,136,16,5,19,0,41186348,28011440,,6112476,14590808,5019976,13447256,2015832,,6120584,139456,8902456,544668,12304276
25,142,16,6,19,0,42313200,27087080,,6623944,14590808,5027532,13975404,2095512,,5607932,139456,8889480,232640,12217572
26,148,17,6,19,0,41472412,27925688,,7410660,12765008,5021896,14261468,2013380,,4812572,1759820,8895396,152532,12305368
27,153,17,8,19,0,42805884,26260820,,8170452,13210020,5019352,14392772,2013288,,4049024,858516,8893212,154360,12305708
28,159,18,7,19,0,44544688,24727208,,8683196,14104844,5295236,14450764,2010648,,3534696,140108,8604684,138968,12308752
29,165,18,8,19,0,45321716,23950760,,9196584,14104844,5551212,14450764,2018312,,3022840,140108,8347988,138968,12300856
30,171,20,7,19,0,47320008,22388864,,10222780,14560316,6073284,14450764,2012864,,1986256,138900,7818540,138968,12306200
31,176,20,7,19,0,49853320,19842344,,11753324,14560316,7076524,14450764,2012392,,448664,138900,6809056,138968,12306756
32,182,21,6,19,0,51732660,18790072,,12834660,14560316,7859200,14465796,2012688,,185644,138900,6020412,138780,12306336
33,188,21,7,19,0,52811860,18042600,,13140564,14560316,8627844,14465796,2017340,,213680,138900,5249540,138780,12301700
34,194,22,7,19,0,54426484,17195668,,13983028,14560644,9401812,14465796,2015204,,146056,138940,4467840,138780,12304052
35,199,23,7,19,0,53563156,17827996,,14341940,14560644,10178584,12467696,2014292,,139524,138940,3681116,1564096,12304320
36,205,23,7,19,0,54555484,16832604,,14341940,14560644,11182236,12456916,2013748,,139524,138940,2677280,1571408,12305452
37,211,23,8,19,0,55097908,16286772,,14341940,14560644,11697648,12452452,2045224,,139524,138940,2155544,1578972,12273792
38,216,23,9,19,0,56348928,15003988,,14341940,14560644,12966984,12457344,2022016,,139524,138940,884648,1551364,12289512
39,222,23,10,19,0,56849608,14497016,,14341940,14558796,13477696,12451828,2019348,,139524,138996,371364,1555932,12291200
40,228,26,9,19,0,58159492,13397952,,14341940,14558796,13821072,13417556,2020128,,139524,138996,257080,571264,12291088
41,234,28,9,19,0,59017404,13003912,,14341940,14558796,14082960,13981648,2052060,,139524,138996,228000,240020,12257372
42,240,28,9,19,0,59946256,12411612,,14341940,14558796,14082960,14413700,2548860,,139524,138996,228000,149220,11755872
43,246,28,9,19,0,60200868,12159300,,14341940,14558796,14082960,14426472,2790700,,139524,138996,228000,139276,11513504
44,254,28,8,19,0,58446188,13236588,,14341940,12280724,14082960,14426472,3314092,,139524,1743332,228000,139276,10986456
45,263,30,8,19,0,59485816,12178576,,14341940,12303448,14082960,14426472,4330996,,139524,1706004,228000,139276,9965772
46,272,33,6,19,0,62019568,9619320,,14341940,13817048,14082960,14426472,5351148,,139524,170752,228000,139276,8941768
47,280,33,6,19,0,59800732,11272736,,12155408,14546188,14279036,12948948,5871152,,1562084,138856,143788,1007860,8420148
48,289,33,7,19,0,60840212,10240132,,12179516,14546188,14279036,12946876,6888596,,1556632,138856,143788,1003240,7397616
49,297,39,4,19,0,63717292,7561216,,12469668,14546188,14279036,14000520,8421880,,1248072,138856,143788,163316,5867184
50,306,41,4,19,0,66525524,5908960,,14348936,14546188,14279036,14409600,8941764,,140132,138856,143788,139432,5346752
51,315,41,5,19,0,67810096,4618944,,14348936,14546188,14279036,14406648,10229288,,140132,138856,143788,140952,4055216
52,323,41,2,19,0,65645600,6348416,,14370340,14546188,11073508,14406648,11248916,,139568,138856,2897924,140952,3031116
53,329,41,3,19,0,66306768,4602376,,14370340,14546188,11482488,14406648,11501104,,139568,138856,1404152,140952,2778848
54,335,41,5,19,0,65362252,4835404,,14370340,14546188,11771588,12665932,12008204,,139568,138856,1057472,1229096,2270412
55,341,43,5,19,0,66634648,3537648,,14370340,14546188,12279936,12657580,12780604,,139568,138856,529772,1235120,1494332
56,347,47,4,19,0,69946968,1448724,,14370340,14546188,13732300,13237788,14060352,,139568,138856,285280,674028,210992
57,352,47,7,19,0,69256720,2562728,,14370340,12807584,13732300,13783260,14563236,,139568,1789416,285280,154636,193828
58,363,47,8,19,0,70485144,1157656,,14370340,13506332,13732300,14230860,14645312,,139568,449596,285280,144400,138812
59,371,47,8,19,0,66898812,4558248,,14370340,14026984,13732300,14230860,10538328,,139568,180848,285280,144400,3808152
60,380,46,9,19,0,65141860,4640740,,12241180,14263628,13732300,14360704,10544048,,236476,206188,285280,138784,3774012
61,388,49,7,19,0,65661236,4568272,,12748404,14280752,13732300,14363512,10536268,,195008,177176,285280,140652,3770156
62,397,49,8,19,0,66675068,4527068,,13759900,14280752,13732300,14363512,10538604,,167776,177176,285280,140652,3756184
63,405,51,7,19,0,68218544,3479088,,14265208,14280752,13732300,14363512,11576772,,167840,177176,285280,140652,2708140
64,414,53,7,19,0,67446456,4367840,,14265208,12744688,13732300,14363512,12340748,,167840,1834460,285280,140652,1939608
65,423,54,5,19,0,70904764,903916,,14325524,14034016,13732300,14377156,14435768,,139224,188724,285280,138540,152148
66,431,54,5,19,0,71612396,751156,,14325524,14408256,14065692,14377156,14435768,,139224,181624,139620,138540,152148
67,440,54,5,19,0,69051816,2455112,,14325524,14408256,12414048,13468220,14435768,,139224,181624,1508740,473376,152148
68,449,54,6,19,0,69937900,1904968,,14325524,14521144,12637508,14017956,14435768,,139224,140172,1290828,182596,152148
69,455,54,7,19,0,70644480,788760,,14325524,14521144,13353092,14008952,14435768,,139224,140172,162112,195104,152148
70,461,54,8,19,0,70842568,781916,,14325524,14521144,13354084,14206048,14435768,,139224,140172,172096,178276,152148
71,467,54,8,19,0,71240760,792712,,14325524,14521144,13406992,14348176,14638924,,139224,140172,228700,145812,138804
72,473,55,9,19,0,69995980,1432932,,12856856,14521144,13636720,14342336,14638924,,800016,140172,196868,157072,138804
73,479,55,10,19,0,70228852,1398484,,12861252,14521144,13865196,14342336,14638924,,806600,140172,155836,157072,138804
74,485,55,11,19,0,70421520,1429008,,12826760,14521144,14092356,14342336,14638924,,808504,140172,184456,157072,138804
75,491,55,11,19,0,68734348,2988064,,12828504,12832228,14092356,14342336,14638924,,788056,1719676,184456,157072,138804
76,497,54,13,19,0,64945332,5722944,,12808556,12986148,14226456,14352476,10571696,,776916,914280,154044,142056,3735648
77,506,59,12,19,0,66423940,4921148,,12815544,14430692,14226456,14363108,10588140,,772216,140828,154044,139048,3715012
78,519,63,9,19,0,68367512,3811092,,14209484,14430692,14248320,14363108,11115908,,173188,140828,138980,139048,3219048
79,536,64,8,19,0,69306544,2971224,,14290204,14495636,14248320,14363108,11909276,,138528,138564,138980,139048,2416104
80,556,69,6,19,0,71153768,806880,,14290204,14495636,14241784,13901208,14224936,,138528,138564,140172,164708,224908
81,565,68,6,19,0,69654468,2167840,,12789900,14496640,14241784,13901208,14224936,,1498588,139464,140172,164708,224908
82,574,69,4,19,0,69190292,1912172,,14106684,14496640,12460824,13901208,14224936,,172960,139464,1210132,164708,224908
83,580,68,5,19,0,69953880,1053032,,14104376,14496640,13226720,13901208,14224936,,174204,139464,349748,164708,224908
84,586,69,5,19,0,70081756,963676,,14212736,13501552,13416936,14323040,14627492,,152108,365224,155284,152448,138612
85,592,70,6,19,0,70221112,1033872,,14211248,13491272,13568060,14323040,14627492,,169196,376240,197376,152448,138612
86,598,71,6,19,0,68749700,2625912,,14211248,13842068,14010624,14323040,12362720,,169196,201768,179500,152448,1923000
87,604,74,4,19,0,70727164,1120532,,14296100,14112832,14192844,14323040,13802348,,139004,227032,139188,152448,462860
88,612,74,4,19,0,70897584,1061460,,14296100,14271308,14192844,14334984,13802348,,139004,180776,139188,139632,462860
89,618,74,4,19,0,71024292,1070016,,14296100,14398016,14192844,14334984,13802348,,139004,189332,139188,139632,462860
90,624,74,6,19,0,70864996,1112920,,14296100,14413656,14184244,14168648,13802348,,139004,172392,139216,199448,462860
91,634,74,6,19,0,70888860,1095268,,14296100,14413656,14184244,14192512,13802348,,139004,172392,139216,181796,462860
92,643,74,6,19,0,70941064,1052960,,14296100,14460648,14184244,14197724,13802348,,139004,139012,139216,172868,462860
93,651,74,7,19,0,71752212,725104,,14296100,14460648,14184244,14203972,14607248,,139004,139012,139216,168912,138960
94,660,74,8,19,0,71728028,753776,,14296100,14460648,14184244,14179788,14607248,,139004,139012,139216,197584,138960
95,669,74,8,19,0,71728028,753776,,14296100,14460648,14184244,14179788,14607248,,139004,139012,139216,197584,138960
96,678,74,8,19,0,71838384,694920,,14296100,14460648,14184244,14290144,14607248,,139004,139012,139216,138728,138960
97,686,74,8,19,0,71838384,694920,,14296100,14460648,14184244,14290144,14607248,,139004,139012,139216,138728,138960
98,695,73,10,19,0,69129688,2985620,,14296100,14460648,14184244,14290144,11898552,,139004,139012,139216,138728,2429660
99,704,76,13,19,0,67081828,4241460,,13225560,14460648,14184244,13030300,12181076,,416788,139012,139216,1366084,2180360
100,712,80,11,19,0,68574384,3481852,,14212132,14460648,14184244,13030300,12687060,,161528,139012,139216,1366084,1676012
101,721,80,12,19,0,68845424,3188364,,14218728,14460648,14184244,13030300,12951504,,141432,139012,139216,1366084,1402620
102,730,80,12,19,0,70897528,1182492,,14244788,14460648,14184244,14277196,13730652,,162784,139012,139216,139016,602464
103,738,79,13,19,0,70549080,893884,,14244788,14454444,13321068,14277196,14251584,,162784,139152,198284,139016,254648
104,744,81,12,19,0,70866364,871664,,14256108,14454444,13631472,14272756,14251584,,138876,139152,198152,140836,254648
105,750,83,12,19,0,71206412,827100,,14256108,14454444,13971520,14272756,14251584,,138876,139152,153588,140836,254648
106,757,83,12,19,0,71393712,827056,,14256108,14454444,14158820,14272756,14251584,,138876,139152,153544,140836,254648
