Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,0,1,37,0,11674660,25060784,,0,3797568,2198768,0,5678324,,0,8022996,11812840,0,5224948
2,12,0,2,37,0,11742496,24863240,,0,3876156,2194888,0,5671452,,0,7807260,11823460,0,5232520
3,17,0,2,37,0,11832388,24624920,,0,3942548,2210204,0,5679636,,0,7592360,11807960,0,5224600
4,23,0,3,37,0,11867720,24343704,,0,4012044,2189212,0,5666464,,0,7277288,11829360,0,5237056
5,29,0,4,37,0,11906016,24094160,,0,4045936,2196172,0,5663908,,0,7034980,11821500,0,5237680
6,34,1,4,37,0,11931776,23774904,,0,4064364,2197664,0,5669748,,0,6723084,11820720,0,5231100
7,40,1,5,37,0,11963372,23563004,,0,4099832,2197280,0,5666260,,0,6510012,11820264,0,5232728
8,46,1,6,37,0,12057848,23216172,,0,4194284,2194476,0,5669088,,0,6163340,11823708,0,5229124
9,51,3,5,37,0,12098496,22912076,,0,4232780,2195860,0,5669856,,0,5861620,11821680,0,5228776
10,57,5,5,37,0,12188732,21850504,,0,4255068,2262188,0,5671476,,0,5101892,11521272,0,5227340
11,63,5,6,37,0,12250160,21192548,,0,4258104,2323688,0,5668368,,0,4717432,11245204,0,5229912
12,68,5,7,37,0,12393804,20881036,,0,4373612,2356640,0,5663552,,0,4621080,11025596,0,5234360
13,74,7,6,37,0,12425224,20489364,,0,4371640,2368948,0,5684636,,0,4347580,10929092,0,5212692
14,80,9,5,37,0,12440348,20053696,,0,4375024,2396892,0,5668432,,0,4144448,10684072,0,5225176
15,85,9,6,37,0,12482712,19400092,,0,4376712,2438400,0,5667600,,0,3985108,10189656,0,5225328
16,91,9,7,37,0,12497260,18979056,,0,4376524,2461776,0,5658960,,0,3881840,9864988,0,5232228
17,97,9,8,37,0,12498912,18906256,,0,4372208,2463068,0,5663636,,0,3886228,9794284,0,5225744
18,102,11,7,37,0,16455552,27907096,,3944064,4373676,2471884,0,5665928,,9320240,3838288,9524348,0,5224220
19,108,12,7,37,0,16633920,27275408,,4119932,4374780,2476468,0,5662740,,8947296,3621728,9479628,0,5226756
20,114,12,8,37,0,16702464,26828868,,4143228,4375236,2522552,0,5661448,,8836144,3621544,9143328,0,5227852
21,119,12,9,37,0,16767580,26551816,,4154400,4388288,2554004,0,5670888,,8825824,3610416,8898548,0,5217028
22,125,12,10,37,0,16767508,26260168,,4143108,4387344,2571644,0,5665412,,8830692,3611896,8595596,0,5221984
23,131,12,11,37,0,19761396,34512752,,4190076,4378816,2597544,2928956,5666004,,8603384,3620008,8542148,8526356,5220856
24,136,12,12,37,0,19834956,33860252,,4243448,4386436,2616760,2918648,5669664,,8525136,3355072,8225440,8537648,5216956
25,142,13,12,37,0,20007556,33404008,,4318444,4486232,2620200,2923220,5659460,,8262956,3162748,8222136,8533472,5222696
26,148,13,13,37,0,20106224,32801976,,4356964,4489276,2672432,2929936,5657616,,7973764,3033628,8042700,8526272,5225612
27,153,14,13,37,0,20244496,32212560,,4489692,4485700,2672984,2930744,5665376,,7553048,3036228,7880832,8525544,5216908
28,159,15,13,37,0,20197784,31555448,,4431428,4488388,2673696,2939884,5664388,,7428720,2781252,7612836,8515076,5217564
29,165,15,14,37,0,20281008,31080324,,4490148,4490088,2696536,2940112,5664124,,7128056,2630900,7588928,8514436,5218004
30,170,18,12,37,0,20369600,30445844,,4540876,4488704,2732844,2946504,5660672,,6944388,2498956,7272824,8508328,5221348
31,176,18,13,37,0,20381152,29466404,,4553588,4495532,2741284,2926788,5663960,,6646284,2165936,6914196,8522832,5217156
32,182,21,11,37,0,20498596,27908216,,4546412,4594804,2773164,2919752,5664464,,6564696,1345452,6249832,8532064,5216172
33,188,21,12,37,0,20531472,26910340,,4580300,4584936,2783480,2914808,5667948,,6334700,1009204,5816580,8537240,5212616
34,193,22,12,37,0,20582224,25833504,,4614448,4586056,2770248,2940108,5671364,,5812296,666148,5632008,8513956,5209096
35,199,24,11,37,0,20708984,25302644,,4645292,4587204,2806916,2951568,5718004,,5521448,632120,5489512,8501700,5157864
