Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,0,1,37,0,14914428,19504408,,0,3847096,4765976,0,6301356,,0,9807652,6355292,0,3341464
2,11,1,1,37,0,15442608,18969604,,0,4367272,4769656,0,6305680,,0,9280752,6352708,0,3336144
3,17,1,2,37,0,15696720,18709576,,0,4630004,4769676,0,6297040,,0,9014100,6351116,0,3344360
4,23,2,2,37,0,16213816,18184540,,0,5146524,4768664,0,6298628,,0,8490464,6352424,0,3341652
5,28,3,2,37,0,16741056,17650780,,0,5671908,4770716,0,6298432,,0,7958984,6350296,0,3341500
6,34,4,2,37,0,17769072,16617164,,0,6689592,4766804,0,6312676,,0,6936636,6353940,0,3326588
7,40,4,3,37,0,18438904,15945052,,0,7369416,4766924,0,6302564,,0,6254300,6353860,0,3336892
8,45,4,4,37,0,19571040,14805248,,0,8484272,4787576,0,6299192,,0,5135068,6329644,0,3340536
9,51,4,5,37,0,20841276,13521996,,0,9771600,4771772,0,6297904,,0,3841592,6339548,0,3340856
10,57,5,5,37,0,21874044,12483408,,0,10803952,4774684,0,6295408,,0,2804976,6335640,0,3342792
11,62,5,6,37,0,23167352,11190144,,0,12085148,4775456,0,6306748,,0,1521364,6335656,0,3333124
12,68,5,7,37,0,24446120,9907840,,0,13363088,4785732,0,6297300,,0,242220,6323144,0,3342476
13,74,5,8,37,0,24759012,9800788,,0,13671652,4785160,0,6302200,,0,139632,6323208,0,3337948
14,79,6,8,37,0,25022916,9533316,,0,13671652,5047108,0,6304156,,0,139632,6057352,0,3336332
15,85,7,8,37,0,25705332,9271064,,0,14083656,5318860,0,6302816,,0,151660,5782832,0,3336572
16,91,8,8,37,0,26198456,8775180,,0,14083656,5815648,0,6299152,,0,151660,5284352,0,3339168
17,97,8,9,37,0,26966656,8001000,,0,14083656,6576764,0,6306236,,0,151660,4518288,0,3331052
18,102,8,10,37,0,32018676,16320752,,4547276,14083656,7087288,0,6300456,,8826076,151660,4005996,0,3337020
