Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,0,1,1,0,8242248,30486476,,0,1995760,2654108,0,3592380,,0,12182224,10077176,0,8227076
2,11,0,2,1,0,8210512,30532796,,0,1961376,2657920,0,3591216,,0,12224536,10080824,0,8227436
3,16,0,3,1,0,8211124,30533336,,0,1960892,2659352,0,3590880,,0,12225288,10079056,0,8228992
4,22,0,4,1,0,8210984,30533416,,0,1963692,2657124,0,3590168,,0,12222516,10081420,0,8229480
5,28,1,4,1,0,8207316,30536648,,0,1961892,2655636,0,3589788,,0,12224412,10082536,0,8229700
6,33,2,4,1,0,8232496,30508468,,0,1988228,2654568,0,3589700,,0,12196048,10083720,0,8228700
7,39,3,4,1,0,8259344,30133116,,0,2013068,2656612,0,3589664,,0,11821596,10081920,0,8229600
8,44,3,5,1,0,8300180,30057748,,0,2042720,2655992,0,3601468,,0,11760844,10082732,0,8214172
9,50,4,5,1,0,8370660,29768904,,0,2040764,2656584,0,3673312,,0,11763148,10081872,0,7923884
10,56,5,5,1,0,8587164,28775212,,0,2234572,2653628,0,3698964,,0,10870784,10084208,0,7820220
11,61,5,6,1,0,8610456,28550932,,0,2171980,2655580,0,3782896,,0,10813916,10082852,0,7654164
12,67,5,7,1,0,8671784,28297684,,0,2172232,2658456,0,3841096,,0,10813528,10079564,0,7404592
13,73,7,6,1,0,8741648,27951364,,0,2232404,2660644,0,3848600,,0,10704236,10077024,0,7170104
14,78,10,4,1,0,8759556,27319796,,0,2232188,2660068,0,3867300,,0,10326528,10078148,0,6915120
15,84,10,5,1,0,8816412,26609244,,0,2260064,2658116,0,3898232,,0,9948024,10080116,0,6581104
16,90,11,5,1,0,8868016,26254180,,0,2308500,2657524,0,3901992,,0,9617012,10081048,0,6556120
17,95,12,5,1,0,8903576,25669612,,0,2331884,2657772,0,3913920,,0,9304124,10080860,0,6284628
18,101,14,4,1,0,13896764,30243788,,4942464,2336636,2661648,0,3956016,,5437944,8977644,10076884,0,5751316
19,107,16,3,1,0,13976112,29548984,,4969864,2385460,2663096,0,3957692,,5342660,8684560,10074976,0,5446788
20,112,16,4,1,0,13976008,29057460,,4952960,2365684,2664640,0,3992724,,5360164,8296080,10074028,0,5327188
21,118,16,5,1,0,14066888,28668436,,4953908,2369760,2671816,0,4071404,,5358888,8128228,10064584,0,5116736
22,124,17,5,1,0,14067012,28402436,,4953720,2370364,2691020,0,4051908,,5359684,8126824,10044508,0,4871420
23,130,17,6,1,0,18184880,32530380,,4950184,2379524,2718864,4084052,4052256,,5362784,7930276,9671136,4710184,4856000
24,135,18,6,1,0,18217536,32313160,,4952128,2372444,2754144,4079220,4059600,,5358432,7864336,9584132,4715604,4790656
25,141,20,5,1,0,18349908,31388080,,4961480,2380316,2827704,4075440,4104968,,5348556,7680140,9249824,4723212,4386348
26,147,21,5,1,0,18398272,30639424,,4980912,2380240,2838536,4088704,4109880,,5142676,7598876,9136308,4708736,4052828
27,152,21,6,1,0,18410892,30126620,,4973552,2382500,2843928,4100876,4110036,,4820860,7596360,8974660,4695876,4038864
28,158,23,5,1,0,18458312,29918428,,4959384,2405120,2881024,4093900,4118884,,4834844,7566376,8930124,4703568,3883516
29,163,23,6,1,0,18459620,29093372,,4961504,2430856,2855072,4093156,4119032,,4832756,7266116,8703624,4704312,3586564
30,169,24,6,1,0,18503392,28598696,,4956464,2424040,2888396,4116112,4118380,,4838476,7134576,8434096,4679236,3512312
31,175,24,7,1,0,18567012,28265200,,4967228,2434716,2910332,4104276,4150460,,4827452,6991660,8359696,4691320,3395072
32,180,25,7,1,0,18559292,27900852,,4976652,2425852,2959288,4098424,4099076,,4816844,7000824,8136884,4698044,3248256
33,186,26,7,1,0,18656892,26259616,,5002892,2424020,3017820,4101320,4110840,,4581244,6497088,7662340,4690992,2827952
34,192,27,7,1,0,18752272,25751836,,5043356,2423236,3076488,4098044,4111148,,4472568,6497484,7350536,4693716,2737532
35,197,27,8,1,0,18726872,25421932,,5012656,2412420,3076988,4112004,4112804,,4501372,6485436,7017344,4682388,2735392
36,203,27,9,1,0,18760028,25037684,,5000976,2427780,3086124,4121824,4123324,,4417772,6242496,6980648,4672068,2724700
37,209,27,10,1,0,18842564,24332576,,5017760,2457960,3085644,4123612,4157588,,4030480,6179280,6981392,4670740,2470684
38,214,29,9,1,0,18904976,23143504,,5041588,2472368,3112384,4118064,4160572,,3584472,5718864,6891900,4675452,2272816
39,220,30,9,1,0,18937156,22191516,,5037820,2475764,3142356,4120820,4160396,,3451084,5637996,6483300,4672652,1946484
40,226,31,9,1,0,19010188,21344768,,5029024,2488108,3197872,4122012,4173172,,3458816,5452668,6101676,4671904,1659704
41,231,31,10,1,0,19018652,20793160,,5065088,2486200,3166936,4130004,4170424,,3215988,5115264,6136956,4663040,1661912
42,237,32,10,1,0,19133976,19873064,,5101768,2485064,3242224,4135132,4169788,,2853112,4974680,5724768,4657716,1662788
43,243,32,11,1,0,19133192,18866980,,5091584,2483416,3251564,4141444,4165184,,2603864,4860140,5318240,4646580,1438156
44,248,33,11,1,0,19172828,18340900,,5068696,2480668,3284268,4138152,4201044,,2628168,4804136,5131984,4649648,1126964
45,254,35,10,1,0,19238532,17532684,,5081312,2498920,3312796,4133512,4211992,,2577404,4586244,4712628,4657524,998884
46,260,35,11,1,0,19276808,16268604,,5090144,2525912,3309512,4137440,4213800,,2346960,4296028,4323468,4662632,639516
47,266,37,10,1,0,19294292,15500452,,5111704,2533320,3287336,4152528,4209404,,2073516,4252296,4015584,4646608,512448
48,271,37,11,1,0,19353956,14805168,,5132660,2532804,3279316,4166588,4242588,,2017296,4252912,3711940,4631492,191528
