Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,0,1,0,0,18526584,14097828,,0,6135032,5255052,0,7136500,,0,6296208,6966324,0,835296
2,12,0,2,0,0,18537160,14089216,,0,6138876,5260144,0,7138140,,0,6293500,6961804,0,833912
3,17,0,3,0,0,18529032,14097716,,0,6139684,5246216,0,7143132,,0,6292900,6975992,0,828824
4,23,0,4,0,0,18544032,14082156,,0,6142780,5255804,0,7145448,,0,6289684,6965688,0,826784
5,29,0,5,0,0,18546256,14080764,,0,6142076,5258064,0,7146116,,0,6290988,6963600,0,826176
6,35,0,5,0,0,18547596,14077992,,0,6142124,5259036,0,7146436,,0,6290800,6962752,0,824440
7,40,0,5,0,0,18546584,14077736,,0,6145868,5257092,0,7143624,,0,6285500,6964312,0,827924
8,46,0,6,0,0,18585864,13794300,,0,6184960,5261952,0,7138952,,0,6002436,6959752,0,832112
9,52,0,5,0,0,18729996,13133904,,0,6244892,5257288,0,7227816,,0,5723788,6963736,0,446380
10,57,1,5,0,0,18794760,12680504,,0,6253736,5257164,0,7283860,,0,5436580,6963924,0,280000
11,63,1,6,0,0,18850776,12472168,,0,6250848,5259752,0,7340176,,0,5334416,6961256,0,176496
12,69,2,6,0,0,18881128,12440780,,0,6280344,5256764,0,7344020,,0,5257008,6964152,0,219620
13,74,3,6,0,0,18943244,11934096,,0,6333764,5262088,0,7347392,,0,4769800,6958936,0,205360
14,80,4,7,0,0,18998288,11608272,,0,6366232,5262452,0,7369604,,0,4443472,6958176,0,206624
15,86,6,7,0,0,19029644,11516844,,0,6367944,5261264,0,7400436,,0,4387844,6959336,0,169664
16,91,9,5,0,0,19109060,11029960,,0,6423404,5262672,0,7422984,,0,3885860,6958248,0,185852
17,97,11,6,0,0,19225820,10628692,,0,6462380,5263184,0,7500256,,0,3469084,6957592,0,202016
18,103,12,6,0,0,19314156,10387736,,0,6468076,5259980,0,7586100,,0,3247712,6960456,0,179568
19,108,14,5,0,0,28707136,10331736,,9255628,6531480,5259352,0,7660676,,228104,2928880,6961568,0,213184
20,114,15,5,0,0,28710656,9917180,,9269040,6504912,5254152,0,7682552,,208192,2556852,6967424,0,184712
21,120,16,5,0,0,28759380,9796156,,9270204,6505208,5261824,0,7722144,,206340,2453064,6955340,0,181412
22,125,17,5,0,0,28855348,9731300,,9291980,6506840,5284228,0,7772300,,180152,2450572,6935392,0,165184
23,131,18,5,0,0,28884840,9531860,,9278944,6505172,5318004,0,7782720,,194920,2452316,6683956,0,200668
24,137,18,6,0,0,33405360,9498540,,9268284,6505196,5362000,4425752,7844128,,203608,2452164,6438684,228060,176024
25,142,21,4,0,0,33367796,9169680,,9264360,6510036,5362916,4428576,7801908,,198652,2254916,6311244,221748,183120
26,148,23,3,0,0,33258680,8777404,,9089928,6510788,5431480,4429060,7797424,,187796,2186220,5979748,221632,202008
27,154,23,4,0,0,33289084,8287788,,9043860,6582148,5423336,4442172,7797568,,161600,2101572,5614036,209872,200708
28,159,23,5,0,0,33112180,8057728,,8898824,6547360,5429624,4433700,7802672,,175144,1913980,5551836,219068,197700
29,165,23,6,0,0,33069456,7750128,,8832148,6578312,5421232,4432124,7805640,,184616,1591064,5559904,220444,194100
30,170,24,6,0,0,33083368,7754092,,8831188,6579456,5444032,4422860,7805832,,236892,1557092,5536052,230116,193940
31,176,24,7,0,0,33135044,7662960,,8842588,6582520,5463164,4442004,7804768,,213068,1451008,5597632,209988,191264
32,182,25,7,0,0,33188572,6928496,,8836524,6586296,5518688,4446452,7800612,,217924,1293640,5030096,204920,181916
33,187,26,7,0,0,33174436,6705728,,8795020,6590016,5562516,4447812,7779072,,171208,1289504,4844792,202444,197780
34,193,27,7,0,0,33114264,6351528,,8682976,6603928,5570656,4444652,7812052,,178368,1088812,4656888,230380,197080
35,199,28,7,0,0,33004996,6233668,,8603532,6607868,5562856,4446036,7784704,,173824,1008308,4649852,226904,174780
36,204,28,8,0,0,32897040,6000216,,8491708,6607020,5563984,4446772,7787556,,175108,1009076,4386800,230636,198596
37,210,29,8,0,0,32793736,5906392,,8312912,6667900,5565396,4451868,7795660,,160280,946080,4384432,224116,191484
