Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,1,0,0,0,8330852,32838920,,0,1634528,2902748,0,3793576,,0,12538732,11088288,0,9211900
2,12,1,1,0,0,8332936,32842116,,0,1635528,2905224,0,3792184,,0,12538152,11087028,0,9216936
3,17,1,2,0,0,8331040,32843340,,0,1634744,2904900,0,3791396,,0,12538624,11087492,0,9217224
4,23,1,3,0,0,8326688,32846792,,0,1636808,2897788,0,3792092,,0,12535856,11094516,0,9216420
5,28,1,4,0,0,8328912,32845132,,0,1635928,2900696,0,3792288,,0,12537084,11092100,0,9215948
6,34,2,4,0,0,8329320,32840568,,0,1634504,2901624,0,3793192,,0,12535464,11090804,0,9214300
7,40,3,4,0,0,8350896,32819712,,0,1653464,2902820,0,3794612,,0,12517668,11089232,0,9212812
8,45,3,5,0,0,8877020,32285924,,0,2177240,2904072,0,3795708,,0,11985912,11088656,0,9211356
9,51,5,4,0,0,8848452,32308332,,0,2148080,2903860,0,3796512,,0,12014848,11088420,0,9205064
10,57,9,1,0,0,9375080,31782928,,0,2683340,2897704,0,3794036,,0,11477272,11094520,0,9211136
11,63,10,1,0,0,9393292,31762020,,0,2691824,2897460,0,3804008,,0,11468880,11095072,0,9198068
12,68,11,1,0,0,9386900,31762848,,0,2679752,2900276,0,3806872,,0,11477652,11092392,0,9192804
13,74,12,1,0,0,10209192,30928380,,0,3218292,2902048,0,4088852,,0,10934436,11090388,0,8903556
14,79,12,2,0,0,10429928,30708424,,0,3198768,2901640,0,4329520,,0,10953572,11091320,0,8663532
15,85,14,1,0,0,10703588,30430008,,0,3210488,2902396,0,4590704,,0,10941320,11090800,0,8397888
16,91,14,2,0,0,10937552,30196084,,0,3194408,2903324,0,4839820,,0,10957432,11090420,0,8148232
17,97,14,3,0,0,10950168,30168276,,0,3203096,2900184,0,4846888,,0,10937840,11092696,0,8137740
18,102,14,4,0,0,20976640,33118320,,10006948,3221812,2899848,0,4848032,,2989860,10919156,11092880,0,8116424
19,108,14,5,0,0,20955588,33130920,,10002584,3205668,2899064,0,4848272,,2991072,10931376,11093500,0,8114972
20,114,14,6,0,0,21007540,33082320,,10006900,3229736,2899904,0,4871000,,2987108,10908084,11092512,0,8094616
21,119,15,6,0,0,21013588,33073604,,10026632,3230952,2900988,0,4855016,,2964800,10908296,11092008,0,8108500
22,125,16,6,0,0,21278828,32795848,,10281160,3240060,2901424,0,4856184,,2705496,10896164,11087980,0,8106208
23,131,19,4,0,0,25661420,37832404,,10786892,3215560,2902796,3898760,4857412,,2190372,10920936,11086936,5528912,8105248
24,137,21,3,0,0,28220936,35238192,,11279148,3733424,2903408,3900836,6404120,,1692120,10393912,11086376,5526736,6539048
25,142,22,3,0,0,28781352,34672296,,11291748,4251840,2904872,3924572,6408320,,1680940,9869660,11085164,5501648,6534884
26,148,22,4,0,0,29052668,34391720,,11562888,4251532,2906804,3925512,6405932,,1402640,9870804,11079816,5501100,6537360
27,154,23,4,0,0,29365100,34068544,,11562984,4544016,2905204,3944728,6408168,,1402444,9570556,11080836,5480472,6534236
28,160,23,5,0,0,29595176,33823440,,11558012,4772108,2909380,3944800,6410876,,1402076,9337572,11077600,5480644,6525548
29,166,23,6,0,0,29608816,33801352,,11556376,4763736,2908892,3946956,6432856,,1403980,9345660,11077860,5473252,6500600
30,171,23,7,0,0,29664336,33739432,,11563216,4779260,2941780,3965768,6414312,,1397036,9330156,11043060,5448852,6520328
31,177,24,7,0,0,30153468,33223996,,11557420,5281916,2927256,3965612,6421264,,1386072,8822600,11058844,5447760,6508720
32,183,26,6,0,0,31176084,32189364,,11547280,5282220,3431948,3971120,6943516,,1395644,8822140,10550120,5440616,5980844
33,189,26,7,0,0,31185068,32180324,,11562644,5282424,3447856,3948600,6943544,,1379404,8821648,10532496,5470924,5975852
34,195,29,5,0,0,31982144,31367592,,11818392,5289768,3689520,3947940,7236524,,1120424,8814460,10285060,5471584,5676064
