Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
0,10,0,0,1,0,14737284,55789020,,4545132,1902784,1885796,4323028,2080544,,9481700,11610864,12615296,9799420,12281740
1,23,0,1,1,0,14746888,55772460,,4548932,1905988,1888196,4324532,2079240,,9477484,11603396,12609748,9797516,12284316
2,36,0,2,0,0,14225736,56300308,,4550868,1904420,1368344,4324288,2077816,,9472176,11610492,13134776,9796796,12286068
3,49,0,3,0,0,14243924,56273576,,4553364,1905844,1380180,4327020,2077516,,9472960,11609228,13115912,9789560,12285916
4,61,4,0,0,0,14937040,55568740,,4539636,1904572,2081572,4325588,2085672,,9486120,11610784,12403648,9794096,12274092
5,74,5,0,0,0,16765320,53729432,,4541852,1909316,3906888,4323468,2083796,,9483292,11601100,10568660,9796208,12280172
6,87,6,0,0,0,17237784,53247332,,4572352,1898892,4367600,4318128,2080812,,9447188,11615824,10099972,9800976,12283372
7,100,6,1,0,0,17323844,53153832,,4547956,1909696,4468820,4318892,2078480,,9473484,11601792,9992816,9799452,12286288
8,113,7,0,0,0,17711560,52753856,,4544888,1905224,4863476,4324772,2073200,,9475600,11606516,9594288,9792376,12285076
9,126,7,1,0,0,17857324,52609060,,4548728,1914276,4995012,4327244,2072064,,9471236,11595112,9462592,9789276,12290844
10,139,9,0,0,0,18197292,52254324,,4553016,1915500,5322336,4333184,2073256,,9466944,11592904,9126932,9778008,12289536
11,151,9,1,0,0,18906276,51531508,,4546384,2437244,5509232,4335116,2078300,,9472716,11067068,8932252,9777296,12282176
12,164,10,2,0,0,18928188,51498000,,4550460,2463396,5508332,4332888,2073112,,9467092,11036580,8932328,9775076,12286924
13,177,10,3,0,0,19415028,51002088,,4550184,2943424,5508196,4332584,2080640,,9465896,10554880,8926528,9780428,12274356
14,190,12,2,0,0,20271032,50136940,,4538908,3456468,5863712,4329384,2082560,,9469552,10033460,8573968,9782488,12277472
15,203,14,1,0,0,21281004,49109588,,4541724,3971156,6357336,4331828,2078960,,9461788,9515064,8071628,9780484,12280624
