Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,1,0,0,0,15210340,55908176,,4663160,1929316,2000516,4501996,2115352,,8739532,12656308,12531368,9788280,12192688
2,11,1,1,0,0,15219224,55895436,,4657676,1929076,2000308,4511308,2120856,,8744556,12658076,12527576,9777612,12187616
3,16,1,2,0,0,15194944,55906400,,4662788,1928756,1998328,4511108,2093964,,8734136,12658732,12529556,9773616,12210360
4,22,1,3,0,0,15204676,55900408,,4673452,1929192,1998668,4509116,2094248,,8723460,12658228,12525288,9783456,12209976
5,28,1,4,0,0,15204256,55900764,,4669944,1930116,2000936,4479856,2123404,,8730256,12656948,12520764,9811788,12181008
6,33,1,5,0,0,15191452,55915872,,4676036,1931436,2015396,4479972,2088612,,8724300,12655988,12504824,9811476,12219284
7,39,1,6,0,0,15214932,55888928,,4674120,1964200,2003304,4480300,2093008,,8725048,12621968,12514872,9811048,12215992
8,45,1,7,0,0,15240476,55853532,,4676776,1929224,2019436,4505436,2109604,,8722608,12649428,12497668,9785360,12198468
9,50,2,7,0,0,15223420,55868280,,4674792,1936528,2002900,4479076,2130124,,8724100,12641776,12512608,9811684,12178112
10,56,3,7,0,0,15904212,55174472,,4680588,1942040,2707404,4476976,2097204,,8717736,12636936,11794960,9813400,12211440
11,62,4,7,0,0,16481000,54583460,,4682264,1939332,3282628,4478176,2098600,,8716276,12639252,11206704,9811424,12209804
12,67,5,7,0,0,16970232,54081832,,4686072,1940420,3768932,4481624,2093184,,8712008,12634664,10716340,9803740,12215080
13,73,6,7,0,0,17562512,53472860,,4679532,1944268,4232724,4509240,2196748,,8713036,12631284,10251876,9775356,12101308
14,79,8,6,0,0,17972068,53067240,,4678180,2133548,4562848,4491236,2106256,,8714244,12438620,9920456,9797812,12196108
15,84,10,5,0,0,18616052,52415804,,4681392,2394476,4942580,4494444,2103160,,8714900,12174968,9531520,9795272,12199144
16,90,12,4,0,0,19566732,51453972,,4690296,2703932,5557828,4494604,2120072,,8705420,11861784,8909264,9794000,12183504
17,96,12,5,0,0,20919952,50086600,,4688168,2986516,6125608,4498748,2620912,,8707028,11574316,8340032,9786672,11678552
18,101,14,4,0,0,21103064,49891936,,4658860,3011356,6300800,4498492,2633556,,8736088,11543684,8159956,9786088,11666120
19,107,15,4,0,0,21921692,49069360,,4673848,3340248,6626640,4507804,2773152,,8720840,11217312,7834152,9773996,11523060
20,113,17,3,0,0,22800596,48176880,,4659196,3935272,6635012,4512904,3058212,,8735516,10614596,7820148,9768780,11237840
21,118,17,4,0,0,23425544,47532272,,4660256,4416440,6630100,4573960,3144788,,8733112,10132928,7818236,9698944,11149052
22,124,18,4,0,0,23547204,47406616,,4662304,4518752,6718044,4516392,3131712,,8731668,10029716,7724952,9759504,11160776
23,130,19,4,0,0,23858192,47085584,,4663420,4529172,7016824,4517600,3131176,,8725200,10017576,7427092,9759036,11156680
24,136,20,2,0,0,24487760,46445112,,4662032,4857928,7325228,4516088,3126484,,8726352,9681912,7110728,9760980,11165140
25,141,20,2,0,0,24885556,46048732,,4662868,5038860,7533028,4519972,3130828,,8730024,9501048,6902488,9757212,11157960
26,147,20,3,0,0,25012356,45913812,,4665780,5039448,7663200,4516196,3127732,,8726076,9495892,6771728,9759424,11160692
27,153,20,3,0,0,25041088,45880572,,4665800,5039800,7665736,4541128,3128624,,8726712,9490676,6770076,9732568,11160540
28,159,20,3,0,0,25025408,45891028,,4663168,5033864,7674500,4525384,3128492,,8727448,9496732,6758584,9747848,11160416
29,164,20,2,0,0,25031952,45882776,,4664676,5037544,7665356,4524720,3139656,,8726156,9496900,6763260,9747656,11148804
30,170,20,3,0,0,25027184,45885348,,4663204,5037712,7669064,4528060,3129144,,8727472,9497084,6759320,9744912,11156560
31,176,20,4,0,0,25020196,45880012,,4661500,5037656,7660064,4529948,3131028,,8729648,9497236,6763004,9738408,11151716
32,182,21,5,0,0,25267524,45622036,,4662996,5037924,7664640,4776564,3125400,,8723140,9497428,6763112,9484772,11153584
33,187,21,6,0,0,25477844,45410636,,4665352,5035780,7663836,4981252,3131624,,8719972,9495916,6764276,9283884,11146588
34,193,22,6,0,0,25546896,45344968,,4656156,5031636,7662352,5067876,3128876,,8732508,9500480,6765252,9193304,11153424
35,199,24,6,0,0,25783616,45096968,,4663068,5032488,7909380,5050536,3128144,,8725552,9499548,6508564,9209836,11153468
36,204,26,5,0,0,26418244,44439808,,4664060,5075280,8285312,5263368,3130224,,8724212,9444176,6125064,8994264,11152092
37,210,29,5,0,0,27392788,43454680,,4664900,5200456,8695484,5513240,3318708,,8722788,9316596,5714452,8739692,10961152
38,216,30,5,0,0,29600776,41232780,,4674560,5545660,9211428,5984036,4185092,,8710112,8970428,5196992,8267860,10087388
39,222,33,3,0,0,30333524,40481052,,4674160,5881648,9212604,6070936,4494176,,8710140,8622300,5195464,8179796,9773352
40,228,37,3,0,0,31850220,38931576,,4676404,6484648,9222516,6613404,4853248,,8707916,8018972,5176764,7617004,9410920
41,233,37,4,0,0,33088828,37688840,,4676664,6945012,9202980,7161944,5102228,,8707104,7557580,5196632,7071288,9156236
42,239,38,4,0,0,33807296,36962008,,4682424,7100964,9203080,7633100,5187728,,8696396,7401416,5200676,6596540,9066980
