Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,5,1,0,37,0,13415104,18324444,,0,3322140,4412448,0,5680516,,0,8055236,5842356,0,4426852
2,11,1,1,37,0,13502988,18169708,,0,3400528,4416732,0,5685728,,0,7903928,5844076,0,4421704
3,17,1,2,37,0,13542680,17929760,,0,3444788,4418132,0,5679760,,0,7660304,5842140,0,4427316
4,22,1,3,37,0,13601752,17670204,,0,3499364,4410840,0,5691548,,0,7405012,5849876,0,4415316
5,28,1,4,37,0,13623476,17397948,,0,3526140,4413500,0,5683836,,0,7128648,5846856,0,4422444
6,34,1,5,37,0,13687336,17077816,,0,3581996,4415836,0,5689504,,0,6817424,5844012,0,4416380
7,39,1,6,37,0,13732812,16775428,,0,3623004,4416552,0,5693256,,0,6520436,5842276,0,4412716
8,45,1,7,37,0,13746788,16508164,,0,3645328,4414016,0,5687444,,0,6245284,5845300,0,4417580
9,51,1,8,37,0,13752496,16386824,,0,3647284,4412636,0,5692576,,0,6128216,5846908,0,4411700
10,56,1,9,37,0,13815284,16113652,,0,3647112,4473984,0,5694188,,0,6128048,5575644,0,4409960
11,62,7,4,37,0,13948336,15549024,,0,3662096,4598660,0,5687580,,0,5777496,5355696,0,4415832
12,68,7,5,37,0,13954164,14811860,,0,3662936,4602260,0,5688968,,0,5269104,5127984,0,4414772
13,73,7,6,37,0,13994568,14408052,,0,3702808,4602768,0,5688992,,0,4874572,5119368,0,4414112
14,79,7,7,37,0,14026164,14082260,,0,3702764,4634404,0,5688996,,0,4583020,5085760,0,4413480
15,85,7,8,37,0,14065168,13519984,,0,3706716,4667832,0,5690620,,0,4284988,4823892,0,4411104
16,90,8,8,37,0,14099444,12901752,,0,3708984,4702056,0,5688404,,0,4025404,4463472,0,4412876
17,96,8,9,37,0,14096712,12615948,,0,3708640,4707356,0,5680716,,0,3738532,4456788,0,4420628
18,102,9,9,37,0,18344516,21514860,,4232092,3710680,4716796,0,5684948,,9105692,3736504,4257076,0,4415588
19,107,10,9,37,0,18477424,20739956,,4312132,3707312,4767580,0,5690400,,8634332,3733008,3962940,0,4409676
20,113,11,9,37,0,18509576,20361812,,4311696,3711264,4794516,0,5692100,,8635988,3728816,3589324,0,4407684
21,119,13,8,37,0,18665456,19756380,,4400468,3708612,4868720,0,5687656,,8444500,3731532,3168320,0,4412028
22,124,13,9,37,0,18635792,19052684,,4427720,3708948,4817332,0,5681792,,8077392,3731188,2826676,0,4417428
23,130,14,9,37,0,20893448,29576760,,4468972,3708440,4821256,2213064,5681716,,7787356,3731340,2774216,10866132,4417716
24,136,14,10,37,0,21038864,28873708,,4580732,3739140,4822252,2213100,5683640,,7514100,3567020,2511180,10867600,4413808
25,141,15,10,37,0,21098932,28416700,,4581972,3750556,4868180,2212720,5685504,,7407964,3423776,2305360,10868064,4411536
26,147,16,10,37,0,21181716,27699336,,4600828,3755232,4929340,2214060,5682256,,7125396,3419508,1873156,10866332,4414944
