Iteration,Elapsed,Running,Creating,Terminating,Evicted,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,Free,0,1,2,3,4
1,6,1,0,46,0,9060540,10079244,,0,0,3552624,0,5507916,,0,0,7470896,0,2608348
2,11,1,1,43,0,9065644,10074704,,0,0,3552464,0,5513180,,0,0,7471056,0,2603648
3,17,1,2,43,0,9065776,10072264,,0,0,3552844,0,5512932,,0,0,7469928,0,2602336
4,23,1,3,43,0,9057120,10083340,,0,0,3551512,0,5505608,,0,0,7471660,0,2611680
5,29,1,4,43,0,9059384,10079148,,0,0,3553148,0,5506236,,0,0,7469088,0,2610060
6,34,1,5,43,0,9049144,10093756,,0,0,3546700,0,5502444,,0,0,7480148,0,2613608
7,40,1,6,43,0,9047616,10075044,,0,0,3556784,0,5490832,,0,0,7468272,0,2606772
8,46,1,7,43,0,9058780,10057340,,0,0,3563240,0,5495540,,0,0,7456076,0,2601264
9,51,1,8,41,0,19187916,13783624,,0,10131736,3563248,0,5492932,,0,3721760,7456560,0,2605304
10,57,1,9,39,0,19284476,12178980,,0,10235324,3561572,0,5487580,,0,2108944,7460480,0,2609556
11,63,1,10,39,0,19323908,12106160,,0,10264116,3565720,0,5494072,,0,2055656,7449876,0,2600628
12,68,1,11,39,0,19335956,12079156,,0,10267932,3574516,0,5493508,,0,2042748,7435516,0,2600892
13,74,1,11,39,0,19334680,12073624,,0,10253960,3575372,0,5505348,,0,2050720,7434320,0,2588584
14,80,1,11,39,0,19318276,12084860,,0,10256048,3575540,0,5486688,,0,2044292,7433652,0,2606916
15,85,1,11,39,0,15038380,16376284,,0,5903516,3576568,0,5558296,,0,6413316,7433004,0,2529964
16,91,1,11,37,0,15022080,16393040,,0,5933464,3582516,0,5506100,,0,6381556,7425128,0,2586356
17,97,1,12,37,0,15014088,16395840,,0,5936464,3576216,0,5501408,,0,6374240,7431100,0,2590500
18,102,1,12,37,0,18577700,26367228,,3566468,5919292,3575276,0,5516664,,9976020,6386212,7429172,0,2575824
19,108,1,13,37,0,18563528,26378628,,3566656,5922464,3582728,0,5491680,,9975604,6382736,7420580,0,2599708
20,114,1,12,37,0,18572708,26365500,,3565436,5931112,3574068,0,5502092,,9973676,6373228,7428824,0,2589772
21,119,1,13,37,0,18573868,26366036,,3572200,5932184,3577016,0,5492468,,9966168,6371976,7428464,0,2599428
22,125,1,14,37,0,18582376,26353404,,3571356,5924136,3575596,0,5511288,,9967300,6372380,7434348,0,2579376
23,131,1,15,37,0,18602300,26332444,,3594528,5923204,3576296,0,5508272,,9943300,6373244,7434152,0,2581748
24,136,1,16,37,0,20185856,38998512,,3575396,5952916,3585940,1540476,5531128,,9959536,6342024,7423688,12718884,2554380
25,142,2,16,37,0,20116524,39067732,,3571328,5933660,3575024,1544476,5492036,,9963196,6358224,7434460,12714720,2597132
26,148,2,16,37,0,20908764,38261716,,3585768,6708852,3576200,1544456,5493488,,9945604,5572960,7432648,12714584,2595920
27,153,2,15,37,0,21184520,37988704,,3580460,6969440,3571084,1555576,5507960,,9950756,5311880,7442556,12703316,2580196
28,159,2,14,37,0,21428588,37729552,,3588392,7221884,3576396,1554644,5487272,,9939032,5058772,7433856,12696384,2601508
29,165,2,13,37,0,21699588,37456864,,3576056,7474840,3576980,1567188,5504524,,9951456,4805032,7433156,12683252,2583968
30,170,2,13,37,0,21976148,37183136,,3593228,7742232,3575836,1567736,5497116,,9934284,4534628,7438344,12686232,2589648
