Iteration,Elapsed,Running,Creating,Total Active Memory,Total Free Memory, Active,0,1,2,3,4,5,Free,0,1,2,3,4,5
0,0,0,0,16510784,264648332,,4438784,2139004,1850980,2556868,1834268,3690880,,42135096,44941680,45006328,43905152,45405896,43254180
1,9,1,0,24551536,255822736,,4451456,2141676,5833556,2563360,5869932,3691556,,42114452,44937952,40760676,43900588,40865656,43243412
2,1,1,1,24585244,255787348,,4452100,2166624,5834532,2563740,5878164,3690084,,42126612,44880912,40763056,43894660,40859920,43262188
3,2,3,0,28590356,251266156,,4452368,6174128,5838432,2571412,5860864,3693152,,42124280,40391628,40764576,43884980,40859780,43240912
4,16,4,0,32618556,246644324,,4463360,6187564,5821896,6600524,5851288,3693924,,42076016,40350104,40759460,39350164,40874404,43234176
5,1,4,1,32732996,245345484,,4458324,6185728,5833252,6581136,5839596,3834960,,42127168,40359040,40754608,39347716,40883824,41873128
6,24,6,0,38274492,239500520,,6142452,6170108,5819752,6577580,5831532,7733068,,39474080,40362900,40768520,39347860,40884048,38663112
7,3,6,1,42057036,235866052,,8517972,6151196,7251488,6584940,5835476,7715964,,37523452,40383760,39062672,39340024,40875948,38680196
8,15,7,0,44728592,232210364,,8515376,6279520,9829404,6575256,5841040,7687996,,37517392,39026780,36758280,39344664,40858332,38704916
9,14,8,0,52631764,225489676,,8507996,10153816,9833576,6580196,9840320,7715860,,37521656,36365340,36743664,39347936,36842472,38668608
10,5,9,1,53104896,224584972,,8927456,10166904,9838728,6586636,9848552,7736620,,36626468,36372728,36741072,39339700,36863928,38641076
11,60,10,0,56581436,221522948,,12484012,10154260,9834688,6563724,9831412,7713340,,33506592,36380472,36753056,39364064,36869136,38649628
12,25,11,0,64632452,213513028,,12471944,10151604,9841212,10599824,9837396,11730472,,33555556,36385076,36751724,35308360,36870144,34642168
13,56,12,0,64889836,211867884,,12459148,10382112,9849560,10557180,9840764,11801072,,33526324,34803228,36728364,35367460,36872372,34570136
14,51,13,0,68885408,209155576,,12644804,14181060,9861124,10525744,9846520,11826156,,33365700,32315528,36718200,35381160,36863472,34511516
15,130,14,0,72787996,205029460,,12773024,14187464,13501552,10540412,9873472,11912072,,33242164,32300068,32818436,35383220,36840772,34444800
16,109,0,0,73398880,204542728,,12875968,14193276,13890560,10569404,9877140,11992532,,33109420,32314132,32659812,35335876,36817772,34305716
17,80,0,0,73419060,204467444,,12851828,14198208,13898216,10595256,9889848,11985704,,33103820,32286076,32664752,35318256,36808608,34285932
18,185,0,1,77621092,200198112,,12939728,14213280,13919488,10599924,13875888,12072784,,32929288,32293568,32646480,35313776,32808176,34206824
19,27,15,0,77579056,200275128,,12859248,14195104,13918020,10605696,13886140,12114848,,33054568,32305992,32656012,35311512,32798880,34148164
20,163,15,0,77720140,200052332,,12886704,14213824,13917316,10608764,13891748,12201784,,33011428,32294512,32630128,35307788,32788540,34019936
21,156,0,0,77657900,200057820,,12815256,14218140,13928552,10604872,13890184,12200896,,33009912,32282844,32642400,35286692,32799944,34036028
22,58,15,0,77729820,199977832,,12908296,14220344,13933588,10603580,13877604,12186408,,32938084,32266840,32629112,35314632,32810304,34018860
23,58,15,0,77750896,199946168,,12897156,14218176,13919060,10612344,13886200,12217960,,32938572,32269608,32638668,35292104,32797376,34009840
24,49,15,0,77867420,199837508,,12970772,14230064,13953104,10614808,13875692,12222980,,32875960,32269616,32610304,35300748,32826164,33954716
25,53,15,0,77863984,199793344,,12966012,14223152,13924468,10621760,13883636,12244956,,32844048,32266964,32647280,35298432,32796012,33940608
26,33,15,0,77954188,199740780,,12988516,14226272,13950368,10634836,13892880,12261316,,32835736,32276376,32626720,35269424,32818448,33914076
27,142,15,0,77917196,199642272,,13032916,14218852,13922480,10614288,13889192,12239468,,32733628,32276448,32631044,35276580,32802476,33922096
28,40,15,0,77992540,199567532,,13052380,14230332,13917428,10610860,13896776,12284764,,32730744,32258992,32638636,35290524,32787212,33861424
29,119,15,0,78111976,199466020,,13120152,14226452,13927660,10619160,13898728,12319824,,32658800,32268324,32620320,35293140,32788704,33836732
30,79,15,0,78162000,199442928,,13094140,14232288,13922812,10636088,13907232,12369440,,32692760,32264304,32644864,35289148,32790704,33761148
31,84,15,0,78272456,199260428,,13194848,14207824,13928364,10618196,13909844,12413380,,32595080,32269880,32641588,35295232,32759548,33699100
32,29,15,0,81997968,194232756,,13141256,14219756,13942344,10952356,13911692,15830564,,32636296,32260372,32594300,34653280,32733184,29355324
33,105,0,0,110043952,167353360,,17057072,18207732,17909164,18603080,17882620,20384284,,28667304,28287804,28633108,27287512,28781348,25696284
34,49,0,0,109904236,167481468,,16973276,18188416,17892376,18568124,17879376,20402668,,28719704,28296384,28646992,27340268,28784060,25694060
35,146,0,0,110051392,167343052,,17090900,18184416,17894444,18573092,17882744,20425796,,28654772,28302984,28652780,27306564,28784508,25641444
36,73,0,0,110142164,167256112,,17099868,18194620,17894904,18601876,17893972,20456924,,28619756,28288264,28648232,27307848,28787536,25604476
37,33,0,0,110055560,167305496,,17041592,18193836,17896216,18580156,17881664,20462096,,28667520,28284372,28653728,27318276,28780552,25601048
38,22,0,0,110202864,167114668,,17114724,18194472,17894884,18571848,17883064,20543872,,28604412,28262764,28650112,27305860,28775212,25516308
39,2,0,0,110187692,167133224,,17169468,18197812,17900040,18579452,17884600,20456320,,28506516,28286220,28657808,27313844,28772704,25596132
40,114,0,0,110206320,167041824,,17185692,18192836,17901184,18574596,17889672,20462340,,28481928,28282676,28639756,27304616,28769344,25563504
41,33,0,0,110296240,167016312,,17208308,18192616,17901768,18583616,17887440,20522492,,28509216,28275348,28638908,27293312,28767876,25531652
42,4,0,0,110395008,166885708,,17255836,18194260,17907656,18580408,17887712,20569136,,28414424,28277796,28636808,27298356,28778324,25480000
43,68,0,0,110190728,167107248,,17120144,18201600,17913316,18587192,17889388,20479088,,28547492,28280172,28641524,27295764,28772200,25570096
44,34,0,0,110213860,167037320,,17124796,18198720,17915444,18587004,17888764,20499132,,28561816,28268360,28628584,27282896,28768060,25527604
45,3,0,0,110370100,166870328,,17221084,18211596,17902976,18588556,17889144,20556744,,28412916,28280600,28629992,27297324,28772220,25477276
46,193,0,0,110278208,166945240,,17180908,18205212,17911976,18594344,17900564,20485204,,28489396,28264168,28630844,27275484,28759452,25525896
47,64,0,0,110251556,166998152,,17126208,18212672,17908836,18586200,17889240,20528400,,28530956,28252688,28646480,27294960,28762252,25510816
48,3,0,0,110383292,166875712,,17219816,18211132,17907532,18587640,17893288,20563884,,28441248,28263800,28635044,27293016,28769540,25473064
49,147,0,0,110344668,166866280,,17137312,18219564,17907760,18591172,17894572,20594288,,28534584,28259936,28622408,27299368,28739308,25410676
50,4,0,0,110516400,166609116,,17263812,18217204,17916724,18590796,17897524,20630340,,28320540,28250432,28629580,27288292,28761720,25358552
51,107,0,0,110496464,166677932,,17304628,18219916,17917636,18607328,17898656,20548300,,28332384,28251752,28615868,27277808,28741112,25459008
52,4,0,0,110533980,166513768,,17345288,18215988,17917028,18595856,17899084,20560736,,28192384,28254768,28634568,27261660,28766336,25404052
53,3,0,0,110421556,166605880,,17209388,18214740,17911832,18599100,17901012,20585484,,28252776,28248828,28628340,27269004,28744864,25462068
54,59,0,0,110182304,166722404,,17141920,18215524,17917540,18605212,17930424,20371684,,28405096,28250000,28614368,27267844,28733916,25451180
55,2,0,0,110309000,166576512,,17191776,18219348,17915532,18608900,17899720,20473724,,28323888,28248540,28617704,27286112,28750784,25349484
56,4,0,0,110359864,166567272,,17276244,18217260,17923384,18603336,17905072,20434568,,28254308,28258188,28615356,27237172,28753688,25448560
57,89,0,0,110173904,166681044,,17169052,18223168,17918300,18604300,17904780,20354304,,28341276,28245516,28613732,27264380,28725940,25490200
58,44,0,0,110327760,166547040,,17179536,18225160,17919204,18604104,17906284,20493472,,28307156,28242112,28600168,27272508,28741596,25383500
59,4,0,0,110383120,166479444,,17249020,18221636,17924016,18601480,17901032,20485936,,28231288,28228444,28613088,27271960,28756968,25377696
60,139,0,0,110460764,166423132,,17298736,18230564,17920344,18625716,17909384,20476020,,28173572,28237972,28624844,27255924,28740072,25390748
61,4,0,0,110558588,166312156,,17257332,18228928,17925260,18612300,17915992,20618776,,28241792,28220256,28606876,27258880,28736048,25248304
62,4,0,0,110567176,166147748,,17414148,18228380,17922076,18620120,17911256,20471196,,28042136,28236380,28620804,27263812,28735816,25248800
63,71,0,0,110050332,167052452,,17206760,18230516,17939820,18612628,17921332,20139276,,28497944,28227328,28604028,27227892,28722324,25772936
